compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C10H16N2O3,960.73,7.15,706.092,Lipid
Adrenaline,C2H3N3O10,227.65,9.17,854.514,Organic Compound
Urea,C15H22N3O9,846.21,4.49,970.725,Hormone
Adrenaline,C5H5N2O4,290.8,7.01,868.891,Neurotransmitter
Dopamine,C9H5N4O6,412.51,N/A,782.377,Carbohydrate
Aspirin,C16H8N2O6,127.71,7.88,596.721,Alcohol
Ethanol,C16H10N1O1,695.51,6.9,213.302,Hormone
Ethanol,C5H10N0O2,262.77,13.12,999.674,Alkaloid
Glucose,C20H24N3O2,61.76,N/A,885.845,Carbohydrate
Adrenaline,C9H5N5O0,765.12,11.38,215.704,Carbohydrate
Glucose,C15H35N4O10,234.08,11.65,873.168,Amide
Ethanol,C10H19N5O7,551.76,12.69,604.537,Amide
Glucose,C1H30N0O0,308.15,5.96,108.527,Hormone
Dopamine,C20H34N5O9,118.48,6.04,303.764,Alcohol
Caffeine,C17H35N5O3,776.4,6.01,141.335,Hormone
Aspirin,C13H29N3O9,493.07,12.94,801.529,Amide
Cholesterol,C8H31N3O0,577.58,9.97,598.507,Nucleotide
Ethanol,C18H36N2O9,864.23,3.7,26.248,Alcohol
Adenosine triphosphate,C2H15N0O5,260.26,2.84,548.326,Alcohol
Glucose,C16H18N1O10,735.41,13.98,530.534,Neurotransmitter
Urea,C4H15N5O1,399.62,N/A,538.173,Lipid
Ethanol,C11H15N4O2,770.46,1.13,599.976,Alcohol
Glucose,C12H17N3O6,505.21,N/A,31.043,Alkaloid
Adenosine triphosphate,C15H6N0O9,96.23,10.4,1.287,Lipid
Cholesterol,C17H13N5O9,929.53,N/A,843.422,Organic Compound
Adenosine triphosphate,C14H7N0O10,499.19,9.97,743.824,Alkaloid
Ethanol,C15H38N2O2,772.26,1.04,717.666,Neurotransmitter
Dopamine,C5H14N2O7,125.37,1.02,248.79,Alcohol
Ethanol,C3H27N0O10,167.03,N/A,973.887,Amide
Aspirin,C7H29N3O7,319.82,11.26,450.605,Organic Compound
Aspirin,C8H38N5O9,504.21,N/A,614.318,Nucleotide
Serotonin,C14H17N0O7,275.87,7.65,265.907,Carbohydrate
Urea,C3H20N4O9,545.22,3.4,371.992,Lipid
Adenosine triphosphate,C1H33N0O4,378.03,9.85,57.438,Lipid
Ethanol,C9H24N3O9,63.76,12.48,872.087,Lipid
Serotonin,C11H7N5O4,167.24,N/A,277.362,Alkaloid
Aspirin,C7H17N3O10,670.25,6.73,739.574,Alcohol
Adenosine triphosphate,C17H23N5O7,317.95,5.86,400.01,Alkaloid
Adrenaline,C15H28N2O8,546.89,N/A,769.002,Lipid
Urea,C7H2N4O0,754.15,2.63,781.291,Organic Compound
Dopamine,C16H30N4O9,997.27,N/A,238.372,Hormone
Serotonin,C9H27N2O4,70.56,13.8,715.888,Lipid
Adenosine triphosphate,C6H7N0O7,772.54,6.95,77.353,Alcohol
Urea,C3H21N1O9,311.71,7.48,604.293,Neurotransmitter
Ethanol,C6H19N3O4,624.05,4.83,510.409,Alcohol
Ethanol,C15H4N5O4,977.88,10.66,299.102,Alcohol
Adrenaline,C3H26N4O1,369.63,10.87,977.788,Carbohydrate
Adrenaline,C19H3N0O7,452.66,6.21,992.956,Hormone
Adrenaline,C6H40N3O0,799.59,N/A,785.114,Neurotransmitter
Dopamine,C14H32N1O1,315.52,N/A,592.797,Nucleotide
Aspirin,C3H37N1O2,74.78,6.74,660.439,Neurotransmitter
Glucose,C5H31N4O6,472.14,4.19,242.276,Carbohydrate
Caffeine,C14H40N0O5,335.82,N/A,160.699,Nucleotide
Urea,C6H5N0O10,564.1,N/A,841.257,Organic Compound
Adenosine triphosphate,C15H12N0O4,412.14,4.94,813.479,Alcohol
Adenosine triphosphate,C3H30N0O7,518.55,11.07,83.803,Lipid
Urea,C1H37N3O6,751.18,N/A,746.909,Nucleotide
Urea,C19H28N0O8,886.26,6.78,638.587,Amide
Aspirin,C5H5N1O5,839.47,1.48,265.776,Hormone
Urea,C9H33N0O10,786.85,2.03,563.547,Hormone
