compound,formula,mw,pka,solubility_mg_ml,class
Cholesterol,C18H32N2O2,429.46,10.53,934.462,Alcohol
Cholesterol,C10H36N2O9,762.77,N/A,678.856,Alkaloid
Adenosine triphosphate,C5H31N5O5,985.88,7.34,825.585,Nucleotide
Dopamine,C20H30N4O9,589.52,N/A,296.379,Carbohydrate
Urea,C10H20N3O8,248.3,3.18,598.173,Carbohydrate
Caffeine,C13H21N1O4,870.79,N/A,484.843,Organic Compound
Dopamine,C19H26N4O0,365.83,N/A,841.584,Hormone
Urea,C14H33N2O5,680.26,8.56,718.761,Nucleotide
Serotonin,C14H18N5O7,140.53,5.3,348.004,Carbohydrate
Serotonin,C12H21N3O10,830.96,1.83,899.851,Amide
Aspirin,C14H25N3O9,341.36,1.57,810.027,Neurotransmitter
Adrenaline,C11H12N0O5,882.68,N/A,944.537,Lipid
Dopamine,C16H3N0O8,622.86,3.08,848.744,Alkaloid
Adrenaline,C18H39N3O5,283.4,1.33,33.858,Organic Compound
Adrenaline,C17H10N5O3,540.61,8.6,623.536,Lipid
Adenosine triphosphate,C19H4N4O6,744.97,5.81,898.176,Amide
Serotonin,C18H20N3O2,667.17,10.51,391.69,Nucleotide
Glucose,C5H38N4O7,684.76,11.84,681.381,Nucleotide
Urea,C6H33N3O6,650.97,6.93,949.838,Nucleotide
Caffeine,C1H27N2O0,70.63,12.04,692.999,Alcohol
Aspirin,C20H7N4O3,169.65,10.13,857.384,Amide
Dopamine,C8H21N2O8,200.5,6.53,912.236,Lipid
Urea,C17H33N4O0,104.0,4.71,959.708,Nucleotide
Caffeine,C10H36N5O7,735.81,N/A,375.318,Organic Compound
Cholesterol,C5H22N2O4,306.35,N/A,954.83,Neurotransmitter
Cholesterol,C6H15N3O5,227.36,11.34,455.886,Nucleotide
Adenosine triphosphate,C4H12N4O5,420.56,14.0,124.512,Nucleotide
Urea,C1H40N3O1,433.87,9.55,182.523,Lipid
Caffeine,C17H24N5O8,293.76,6.6,767.74,Nucleotide
Aspirin,C15H33N1O8,764.44,12.57,275.525,Nucleotide
Adrenaline,C7H25N0O5,150.36,3.74,754.952,Hormone
Cholesterol,C12H27N0O9,304.8,1.12,17.548,Alkaloid
Urea,C2H13N3O4,964.78,1.06,402.794,Lipid
Cholesterol,C2H39N5O8,863.85,10.26,352.564,Hormone
Serotonin,C3H20N5O2,304.01,4.24,33.448,Alkaloid
Glucose,C15H14N0O1,358.91,7.77,129.162,Alcohol
Glucose,C15H10N1O1,349.21,N/A,43.118,Organic Compound
Urea,C14H40N1O2,225.23,10.32,54.186,Hormone
Urea,C7H25N3O9,512.96,N/A,237.748,Alcohol
Caffeine,C13H9N0O7,974.8,10.74,902.681,Neurotransmitter
Caffeine,C20H6N5O8,365.54,N/A,935.816,Alcohol
Aspirin,C14H11N0O5,431.41,10.06,763.798,Organic Compound
Adrenaline,C5H1N1O8,906.9,12.11,513.276,Amide
Urea,C12H25N3O3,363.43,11.14,800.381,Lipid
Aspirin,C17H36N3O6,792.34,4.83,241.975,Lipid
Glucose,C18H4N0O0,714.74,12.04,534.169,Hormone
Cholesterol,C2H37N0O0,540.83,8.72,181.469,Amide
Ethanol,C5H31N3O6,290.71,3.49,299.841,Alkaloid
Ethanol,C15H18N3O9,755.83,9.9,230.183,Lipid
Glucose,C2H18N1O0,157.24,12.63,458.736,Amide
Aspirin,C19H16N3O7,827.98,10.1,444.143,Amide
Urea,C18H6N5O3,569.08,7.77,775.888,Hormone
Ethanol,C16H38N1O9,659.23,3.92,942.884,Lipid
Glucose,C7H34N3O3,730.47,7.78,124.213,Nucleotide
Cholesterol,C8H27N4O2,471.93,13.75,519.894,Amide
Urea,C2H36N0O2,918.26,N/A,973.124,Amide
Serotonin,C17H13N4O3,445.53,5.91,559.473,Carbohydrate
Urea,C11H2N0O5,151.93,2.32,208.525,Amide
Cholesterol,C4H15N2O5,439.87,7.09,857.463,Neurotransmitter
Ethanol,C8H26N3O5,762.34,8.12,306.256,Alkaloid
Dopamine,C20H34N2O10,896.57,13.34,546.307,Neurotransmitter
Adenosine triphosphate,C1H11N4O6,776.69,N/A,480.652,Alkaloid
Urea,C10H15N5O9,580.68,8.15,204.263,Lipid
Adrenaline,C1H7N4O0,916.72,N/A,758.104,Alkaloid
Serotonin,C20H1N1O9,164.17,7.18,853.89,Alkaloid
Urea,C20H21N1O6,753.64,13.01,74.234,Carbohydrate
Caffeine,C11H10N2O4,860.14,13.88,18.198,Organic Compound
Aspirin,C4H18N3O1,553.69,1.77,260.612,Organic Compound
Adrenaline,C15H10N2O10,628.47,N/A,220.544,Nucleotide
Urea,C12H16N1O7,158.38,6.34,834.529,Alcohol
Ethanol,C13H37N5O5,569.04,6.75,568.675,Lipid
Adrenaline,C2H39N0O10,619.5,11.69,898.366,Carbohydrate
Caffeine,C17H27N0O6,414.24,6.28,0.696,Alkaloid
Caffeine,C18H6N2O7,761.51,6.3,734.134,Amide
Adrenaline,C2H8N0O9,348.14,3.46,878.447,Lipid
Urea,C13H10N2O10,263.37,8.03,117.237,Hormone
Adenosine triphosphate,C19H23N4O4,145.0,3.41,533.811,Carbohydrate
Caffeine,C4H38N2O9,606.14,9.75,163.719,Amide
Ethanol,C20H28N1O5,643.87,12.89,85.262,Organic Compound
Urea,C16H34N0O2,398.94,11.58,630.225,Nucleotide
Adenosine triphosphate,C9H9N3O5,250.56,1.45,716.245,Lipid
Ethanol,C19H9N1O2,918.09,7.73,382.429,Carbohydrate
Caffeine,C19H19N5O8,997.52,10.15,643.167,Hormone
Glucose,C16H25N3O10,404.64,10.19,969.473,Lipid
