compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C1H29N3O3,811.09,8.95,69.291,Alkaloid
Adenosine triphosphate,C11H20N5O1,495.9,11.16,244.877,Neurotransmitter
Serotonin,C2H12N2O5,937.65,8.79,928.067,Nucleotide
Caffeine,C16H1N0O7,431.78,6.87,510.209,Alcohol
Adenosine triphosphate,C14H5N1O7,209.63,13.45,500.102,Alcohol
Ethanol,C2H29N1O7,313.72,9.66,23.786,Hormone
Ethanol,C16H34N5O9,649.09,3.09,600.125,Carbohydrate
Caffeine,C19H27N5O6,812.18,7.08,863.951,Alkaloid
Adrenaline,C19H25N1O4,729.44,7.99,12.765,Neurotransmitter
Ethanol,C8H23N4O3,618.44,5.01,660.394,Organic Compound
Aspirin,C15H21N2O1,374.34,10.97,627.012,Carbohydrate
Caffeine,C9H7N5O5,827.85,11.16,694.467,Alcohol
Glucose,C1H24N4O6,551.2,4.52,682.597,Amide
Adrenaline,C3H16N1O0,702.45,3.1,409.564,Amide
Ethanol,C12H30N4O8,560.68,N/A,431.826,Hormone
Urea,C10H22N3O7,404.9,7.25,124.03,Alcohol
Cholesterol,C17H16N0O6,988.34,12.32,525.938,Nucleotide
Aspirin,C6H15N5O1,219.54,13.34,670.91,Amide
Ethanol,C11H12N5O3,970.8,4.57,26.216,Neurotransmitter
Adenosine triphosphate,C20H7N3O3,113.2,13.93,657.151,Alcohol
Glucose,C9H18N4O7,772.95,3.48,930.933,Lipid
Cholesterol,C7H16N2O2,898.7,10.48,893.196,Amide
Aspirin,C16H37N5O8,727.91,4.13,200.002,Alcohol
Serotonin,C4H34N5O10,472.67,N/A,811.032,Hormone
Glucose,C2H5N2O7,724.73,1.91,336.459,Neurotransmitter
Adenosine triphosphate,C6H32N2O3,687.78,6.26,402.078,Amide
Ethanol,C5H31N3O6,117.75,N/A,443.573,Nucleotide
Dopamine,C20H11N5O1,922.95,1.48,668.497,Neurotransmitter
Serotonin,C7H39N0O6,987.31,2.16,79.735,Organic Compound
Adenosine triphosphate,C10H23N3O8,448.71,10.66,963.937,Neurotransmitter
