compound,formula,mw,pka,solubility_mg_ml,class
Serotonin,C11H6N2O10,392.76,N/A,772.751,Amide
Glucose,C8H32N5O7,845.2,7.98,493.242,Neurotransmitter
Adrenaline,C7H3N2O7,514.6,8.11,642.014,Lipid
Cholesterol,C16H38N1O2,600.14,N/A,717.405,Hormone
Caffeine,C15H14N1O0,805.66,13.75,419.59,Neurotransmitter
Serotonin,C6H24N4O8,638.23,9.35,876.019,Alkaloid
Adrenaline,C11H35N0O5,950.17,N/A,822.729,Neurotransmitter
Adrenaline,C19H29N4O8,629.0,N/A,948.783,Nucleotide
Ethanol,C18H19N3O9,52.78,11.51,928.947,Alkaloid
Cholesterol,C16H18N1O5,515.3,9.14,54.851,Hormone
Adenosine triphosphate,C14H25N5O4,608.43,N/A,729.149,Alkaloid
Glucose,C7H38N0O7,898.26,11.24,471.301,Amide
Ethanol,C14H20N3O6,738.37,7.4,428.933,Nucleotide
Adenosine triphosphate,C7H13N3O6,720.72,5.42,316.699,Carbohydrate
Ethanol,C19H4N3O6,646.14,8.55,150.029,Neurotransmitter
Adrenaline,C4H35N2O5,901.75,2.77,491.241,Alkaloid
Ethanol,C6H4N3O1,796.89,13.57,88.26,Hormone
Dopamine,C1H16N0O5,912.18,11.16,365.577,Amide
Caffeine,C13H5N4O5,779.35,10.51,362.349,Hormone
Dopamine,C6H15N5O1,127.95,5.21,884.862,Hormone
Dopamine,C15H36N2O4,496.27,9.93,429.137,Amide
Adenosine triphosphate,C7H33N0O8,329.24,11.02,651.607,Alkaloid
Glucose,C9H23N4O4,416.39,8.82,665.813,Alkaloid
Aspirin,C1H2N2O9,906.03,4.22,50.818,Nucleotide
Dopamine,C19H32N4O5,950.19,N/A,747.681,Organic Compound
Ethanol,C7H36N0O4,555.33,9.2,221.097,Lipid
Cholesterol,C20H20N0O0,65.86,8.37,70.842,Amide
Adenosine triphosphate,C5H22N2O7,665.63,6.78,708.258,Alkaloid
Adenosine triphosphate,C3H11N0O7,532.56,4.23,753.8,Carbohydrate
Serotonin,C9H15N5O8,265.87,11.38,77.829,Hormone
Cholesterol,C1H25N5O6,967.12,2.0,571.092,Nucleotide
Glucose,C6H11N1O7,683.24,3.22,127.117,Alkaloid
Adrenaline,C19H1N2O10,554.43,2.44,108.662,Alkaloid
Adrenaline,C6H12N3O2,419.96,6.42,110.058,Neurotransmitter
Adrenaline,C5H9N5O1,593.71,8.96,115.034,Amide
Dopamine,C13H3N0O6,796.45,7.34,506.095,Carbohydrate
Adrenaline,C6H15N4O6,243.63,5.02,634.944,Alkaloid
Urea,C11H39N4O2,65.2,N/A,129.035,Alcohol
Serotonin,C3H7N5O6,175.44,6.49,997.722,Carbohydrate
Caffeine,C10H17N3O9,985.83,3.63,289.985,Lipid
Serotonin,C16H29N4O10,837.58,4.47,528.168,Carbohydrate
Serotonin,C11H38N0O1,827.86,5.14,505.615,Alcohol
Glucose,C5H27N1O4,907.0,3.69,460.522,Carbohydrate
Ethanol,C14H8N3O2,834.64,4.28,330.598,Alkaloid
Dopamine,C9H3N3O0,335.63,13.13,42.697,Neurotransmitter
Aspirin,C2H20N1O1,347.15,N/A,412.131,Neurotransmitter
Dopamine,C12H34N3O0,924.58,11.5,237.248,Neurotransmitter
Urea,C18H27N0O6,133.25,13.31,176.54,Alkaloid
Adenosine triphosphate,C8H9N5O9,886.77,12.77,12.595,Amide
Cholesterol,C9H39N1O9,894.01,11.02,937.008,Organic Compound
Serotonin,C19H13N0O5,159.2,2.25,2.165,Neurotransmitter
Cholesterol,C7H8N5O0,904.83,2.0,248.947,Nucleotide
Adenosine triphosphate,C14H34N1O6,565.36,3.35,872.759,Hormone
Dopamine,C16H3N0O6,949.23,N/A,973.447,Nucleotide
Aspirin,C12H35N5O10,571.75,1.99,281.251,Amide
Urea,C14H30N5O10,349.32,2.94,0.776,Alcohol
Aspirin,C1H13N0O3,127.19,N/A,294.312,Hormone
Ethanol,C6H35N2O4,235.22,10.21,514.436,Hormone
