compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C19H35N2O7,729.54,5.36,519.343,Carbohydrate
Adenosine triphosphate,C8H3N0O7,450.5,13.38,516.041,Organic Compound
Cholesterol,C1H6N5O10,772.95,6.58,361.119,Hormone
Adrenaline,C19H20N2O3,701.07,N/A,843.694,Organic Compound
Ethanol,C16H3N2O7,728.84,4.6,643.192,Organic Compound
Caffeine,C7H16N2O8,627.19,7.06,2.335,Neurotransmitter
Cholesterol,C17H7N5O8,569.78,8.63,702.408,Alcohol
Adenosine triphosphate,C19H21N0O2,976.97,8.77,393.429,Neurotransmitter
Serotonin,C12H31N2O5,778.9,5.65,831.706,Carbohydrate
Aspirin,C1H33N5O6,698.2,10.86,658.355,Organic Compound
Ethanol,C4H31N1O9,463.17,11.43,157.263,Organic Compound
Serotonin,C18H6N5O0,968.9,12.73,45.959,Carbohydrate
Serotonin,C8H19N0O3,790.04,8.29,564.983,Organic Compound
Adenosine triphosphate,C16H21N1O7,300.88,N/A,364.048,Neurotransmitter
Dopamine,C8H10N2O9,754.66,1.06,365.102,Alkaloid
Urea,C18H34N1O4,639.04,3.62,149.374,Alkaloid
Serotonin,C19H12N4O1,507.65,11.1,641.11,Organic Compound
Cholesterol,C15H6N2O4,363.09,2.93,289.344,Organic Compound
Cholesterol,C6H32N0O10,519.67,11.88,562.033,Alkaloid
Glucose,C5H19N4O3,57.83,13.01,701.84,Hormone
Aspirin,C1H10N5O8,171.86,1.26,198.07,Carbohydrate
Ethanol,C16H19N5O8,311.5,11.37,885.032,Lipid
Urea,C16H30N0O0,665.06,N/A,366.655,Alcohol
Adrenaline,C7H18N2O3,555.07,5.93,654.135,Alkaloid
Ethanol,C19H30N1O10,172.02,2.31,381.18,Nucleotide
Adenosine triphosphate,C17H28N0O2,336.69,8.86,45.633,Neurotransmitter
Adrenaline,C5H20N5O8,512.87,N/A,831.274,Hormone
Serotonin,C14H19N0O4,198.6,2.67,426.437,Alcohol
Glucose,C8H5N3O7,906.83,12.18,516.959,Organic Compound
Urea,C10H33N4O8,994.89,N/A,805.665,Hormone
Urea,C1H31N2O3,898.52,8.11,683.767,Alcohol
Urea,C11H7N4O10,705.5,N/A,508.094,Nucleotide
Urea,C1H32N4O8,140.5,N/A,912.55,Lipid
Cholesterol,C7H18N1O1,760.86,N/A,953.537,Hormone
Adenosine triphosphate,C7H34N4O7,348.83,5.18,441.373,Hormone
Dopamine,C18H10N1O1,544.33,N/A,62.754,Amide
Urea,C10H3N5O8,597.81,1.94,752.377,Lipid
Glucose,C10H28N4O7,577.91,2.28,852.47,Amide
Dopamine,C17H4N4O10,994.71,5.06,223.027,Amide
Adrenaline,C8H15N3O4,505.96,6.16,261.333,Lipid
Urea,C2H4N2O5,269.91,13.94,365.03,Organic Compound
Dopamine,C14H39N2O9,164.15,9.17,834.76,Lipid
Adenosine triphosphate,C10H20N5O7,689.71,8.71,293.529,Neurotransmitter
Caffeine,C2H4N2O6,263.06,11.28,391.838,Amide
Caffeine,C3H17N2O8,374.96,N/A,861.751,Alcohol
Urea,C16H38N3O0,407.91,N/A,672.7,Hormone
Cholesterol,C16H16N2O10,601.97,2.55,600.897,Alcohol
Dopamine,C3H17N2O10,413.28,10.22,631.83,Alcohol
Ethanol,C1H12N2O5,682.09,13.89,642.721,Hormone
Dopamine,C2H14N3O5,246.11,5.13,665.251,Amide
Urea,C6H37N2O5,220.47,7.72,90.93,Lipid
Caffeine,C3H9N2O5,98.94,N/A,25.535,Lipid
Urea,C13H28N5O6,286.41,6.49,980.074,Organic Compound
Serotonin,C9H5N0O1,218.43,12.04,695.931,Neurotransmitter
Dopamine,C7H29N0O9,711.07,3.11,531.54,Hormone
Adenosine triphosphate,C16H16N0O8,274.96,3.25,797.741,Alcohol
Glucose,C16H11N2O2,455.93,11.09,142.004,Organic Compound
Adenosine triphosphate,C4H4N0O2,180.73,1.37,616.722,Lipid
Glucose,C10H37N1O2,489.5,9.06,545.096,Alkaloid
Dopamine,C6H36N4O7,980.53,3.24,941.314,Lipid
Urea,C6H17N3O4,428.67,1.56,927.586,Neurotransmitter
Caffeine,C8H40N5O8,100.07,3.81,719.437,Alkaloid
Aspirin,C17H9N3O6,237.59,9.49,187.222,Alcohol
Urea,C15H20N5O4,876.22,12.12,542.731,Carbohydrate
Urea,C7H4N3O9,586.72,10.59,853.876,Nucleotide
Serotonin,C14H33N1O8,396.47,N/A,862.272,Amide
Adenosine triphosphate,C2H24N4O10,352.51,6.61,396.987,Organic Compound
Dopamine,C10H32N0O10,998.89,N/A,715.684,Alcohol
Cholesterol,C13H26N3O7,856.31,N/A,349.673,Organic Compound
Glucose,C12H33N2O8,261.1,8.31,420.686,Organic Compound
Serotonin,C20H34N5O0,785.32,N/A,537.457,Alcohol
Caffeine,C12H25N3O0,507.36,12.76,759.463,Nucleotide
Caffeine,C5H33N2O4,877.81,8.51,952.332,Alcohol
