compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C4H4N4O7,128.78,12.46,82.625,Amide
Urea,C10H21N3O8,551.94,7.07,626.507,Alkaloid
Caffeine,C20H8N2O2,149.93,2.98,351.707,Hormone
Urea,C12H12N0O1,194.24,2.62,380.101,Carbohydrate
Urea,C19H22N5O2,426.64,8.23,611.522,Neurotransmitter
Adrenaline,C18H10N1O8,434.72,3.33,280.086,Alcohol
Urea,C10H40N1O1,465.78,2.97,60.181,Carbohydrate
Ethanol,C5H11N0O3,759.03,3.9,125.106,Alkaloid
Glucose,C3H20N1O3,915.03,9.76,61.472,Organic Compound
Urea,C3H20N5O1,231.49,7.59,626.651,Hormone
Adrenaline,C6H25N3O10,881.63,7.67,217.943,Organic Compound
Aspirin,C6H38N4O5,780.27,1.29,603.822,Hormone
Adrenaline,C1H34N2O5,459.43,8.12,394.074,Amide
Ethanol,C12H25N4O9,848.53,6.65,147.477,Hormone
Ethanol,C14H33N5O1,298.59,1.05,266.02,Lipid
Ethanol,C6H31N3O7,507.64,N/A,89.774,Organic Compound
Caffeine,C9H8N3O5,634.85,10.78,785.452,Amide
Dopamine,C8H10N3O0,473.85,12.83,891.527,Nucleotide
Dopamine,C17H27N4O5,532.22,2.09,845.71,Neurotransmitter
Caffeine,C7H15N4O9,150.06,N/A,88.28,Organic Compound
Caffeine,C18H31N0O5,236.26,9.44,527.658,Carbohydrate
Cholesterol,C2H12N1O3,133.69,13.78,580.8,Nucleotide
Glucose,C19H28N5O3,321.04,13.9,710.687,Hormone
Glucose,C6H21N3O4,297.26,1.29,928.533,Alkaloid
Ethanol,C4H1N1O7,834.5,4.61,234.995,Alkaloid
Glucose,C11H40N1O0,354.83,11.92,843.118,Carbohydrate
Caffeine,C17H30N4O6,144.66,5.4,5.435,Amide
Caffeine,C8H33N5O6,357.94,13.1,273.765,Organic Compound
Glucose,C9H22N0O1,842.45,10.83,43.347,Carbohydrate
Cholesterol,C4H2N0O1,250.95,N/A,859.652,Amide
Glucose,C4H14N4O3,993.15,1.88,907.708,Alcohol
Serotonin,C1H39N0O8,628.92,1.92,961.087,Amide
Adenosine triphosphate,C9H29N5O4,709.42,6.07,387.139,Alkaloid
Caffeine,C15H1N2O8,249.93,1.02,917.642,Alcohol
Adenosine triphosphate,C7H22N2O9,288.05,4.38,10.22,Carbohydrate
Ethanol,C17H27N4O8,658.24,12.14,919.115,Hormone
Urea,C15H29N2O5,930.64,5.12,7.55,Organic Compound
Aspirin,C6H30N2O5,163.45,N/A,662.397,Alcohol
Serotonin,C4H21N5O2,923.22,7.92,182.359,Amide
Cholesterol,C20H9N4O3,255.04,7.03,107.573,Lipid
Cholesterol,C3H18N0O8,69.89,N/A,525.652,Hormone
Glucose,C19H21N5O1,53.91,13.37,517.362,Lipid
Ethanol,C20H6N0O8,959.44,8.54,953.046,Alkaloid
Cholesterol,C14H24N2O5,249.67,N/A,472.546,Organic Compound
Adrenaline,C8H35N5O10,192.58,2.26,932.218,Nucleotide
Caffeine,C3H15N4O0,414.98,N/A,916.295,Alkaloid
Adenosine triphosphate,C14H8N3O5,863.72,4.86,767.074,Organic Compound
Adenosine triphosphate,C3H28N0O1,330.59,10.51,633.245,Organic Compound
Glucose,C1H19N5O10,204.64,3.05,413.427,Neurotransmitter
Adrenaline,C19H3N2O0,487.34,2.23,484.199,Carbohydrate
Aspirin,C8H9N1O8,700.42,13.99,12.215,Nucleotide
Cholesterol,C17H30N1O3,353.3,9.05,404.707,Carbohydrate
Adrenaline,C14H5N4O10,756.5,3.76,21.28,Alcohol
Dopamine,C14H6N4O0,616.86,7.64,847.197,Carbohydrate
Ethanol,C8H29N5O3,587.09,12.97,88.791,Carbohydrate
Cholesterol,C13H19N1O5,141.03,4.68,534.968,Alcohol
Aspirin,C9H19N2O0,144.05,N/A,302.096,Neurotransmitter
Dopamine,C1H12N4O7,999.42,1.32,855.52,Nucleotide
Adrenaline,C18H19N3O3,954.63,12.45,965.877,Carbohydrate
Adenosine triphosphate,C19H4N3O3,667.55,N/A,466.208,Alkaloid
Serotonin,C19H4N0O10,990.94,10.5,102.059,Lipid
Caffeine,C11H30N4O1,628.15,4.83,725.309,Carbohydrate
Serotonin,C19H19N2O1,387.04,12.74,927.562,Alcohol
Cholesterol,C2H3N1O6,471.08,9.91,41.641,Carbohydrate
Adrenaline,C3H33N2O0,742.55,10.58,159.748,Hormone
Adrenaline,C4H17N1O2,196.89,8.6,353.986,Organic Compound
Ethanol,C14H40N2O10,70.91,N/A,826.657,Neurotransmitter
Urea,C11H15N4O1,125.46,1.24,813.206,Nucleotide
Cholesterol,C7H31N1O1,991.8,N/A,394.881,Amide
Adenosine triphosphate,C9H22N5O3,596.35,13.63,310.501,Lipid
Aspirin,C15H7N4O0,348.35,N/A,651.534,Nucleotide
Aspirin,C2H37N0O2,879.05,N/A,309.884,Hormone
Cholesterol,C5H21N2O10,234.52,N/A,296.573,Carbohydrate
Glucose,C17H33N3O10,645.11,8.02,830.87,Amide
Aspirin,C17H22N5O3,104.84,13.25,370.27,Nucleotide
Aspirin,C17H28N3O6,716.79,11.63,245.612,Neurotransmitter
Glucose,C11H25N4O5,64.55,1.06,919.629,Nucleotide
Ethanol,C20H26N1O7,617.34,N/A,392.882,Nucleotide
Cholesterol,C9H7N2O1,152.89,N/A,419.972,Nucleotide
Adrenaline,C14H3N4O4,388.16,13.93,32.296,Lipid
Ethanol,C10H19N5O10,128.95,12.81,331.944,Alcohol
Adenosine triphosphate,C9H27N4O1,685.21,3.46,107.027,Alcohol
Adenosine triphosphate,C4H1N5O8,696.97,1.83,350.617,Amide
Adenosine triphosphate,C15H7N5O6,837.86,13.24,649.645,Nucleotide
Urea,C13H16N4O10,753.12,N/A,274.727,Amide
Dopamine,C8H27N4O1,159.06,3.61,42.673,Alcohol
Glucose,C7H36N3O7,813.76,6.86,611.039,Amide
Adenosine triphosphate,C3H7N2O6,435.63,9.81,784.296,Alkaloid
Adenosine triphosphate,C9H4N2O1,312.58,6.02,889.002,Alcohol
Serotonin,C5H38N1O0,982.11,13.13,376.883,Amide
Dopamine,C4H14N3O10,983.62,8.64,530.356,Hormone
Serotonin,C15H10N2O3,582.12,9.88,428.407,Alcohol
Caffeine,C1H33N2O3,537.61,2.51,432.58,Alcohol
Dopamine,C20H28N5O5,815.73,11.02,547.665,Amide
Adenosine triphosphate,C2H30N5O4,840.65,13.02,166.907,Alcohol
Dopamine,C5H8N1O2,369.31,6.96,649.982,Hormone
Dopamine,C4H26N3O4,439.34,10.44,402.848,Alkaloid
Serotonin,C3H26N4O4,992.74,9.17,312.823,Carbohydrate
Dopamine,C8H22N2O0,278.34,2.93,174.653,Carbohydrate
Ethanol,C13H33N5O0,439.37,12.11,850.631,Hormone
Adenosine triphosphate,C11H26N2O5,351.26,9.35,584.033,Amide
Aspirin,C19H23N5O10,741.83,7.13,378.954,Carbohydrate
Dopamine,C15H30N4O3,660.78,N/A,40.727,Carbohydrate
