compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C9H40N1O7,174.5,N/A,501.397,Neurotransmitter
Urea,C17H11N3O0,826.31,8.05,14.765,Hormone
Adenosine triphosphate,C18H9N4O8,718.64,4.48,878.293,Hormone
Glucose,C8H11N4O0,162.52,8.59,448.141,Lipid
Cholesterol,C11H15N4O5,722.07,N/A,830.848,Alcohol
Adrenaline,C6H32N0O8,451.56,2.66,401.64,Alcohol
Caffeine,C4H5N1O6,606.89,7.3,823.81,Amide
Urea,C16H24N4O4,80.98,N/A,405.906,Hormone
Dopamine,C15H4N4O8,687.99,N/A,267.913,Nucleotide
Serotonin,C2H2N0O4,492.89,12.81,866.636,Amide
Urea,C12H2N5O9,157.05,1.8,127.854,Organic Compound
Ethanol,C3H25N0O5,545.33,4.86,451.065,Lipid
Serotonin,C8H1N2O8,283.29,N/A,283.058,Hormone
Ethanol,C4H24N5O9,912.71,6.86,195.105,Hormone
Caffeine,C4H9N2O4,525.8,1.46,100.312,Lipid
Urea,C17H17N3O7,831.25,N/A,798.147,Alkaloid
Ethanol,C14H27N1O7,329.89,N/A,391.118,Carbohydrate
Dopamine,C16H14N1O8,464.55,N/A,26.966,Alcohol
Aspirin,C20H33N3O7,906.67,11.01,722.916,Amide
Aspirin,C1H19N1O7,776.51,6.94,852.226,Alcohol
Ethanol,C17H26N3O9,303.28,11.43,332.332,Amide
Caffeine,C11H30N0O8,128.6,1.2,80.858,Alkaloid
Adenosine triphosphate,C6H9N2O7,183.27,11.89,747.529,Lipid
Aspirin,C5H23N0O9,891.21,6.32,96.207,Lipid
Caffeine,C20H37N3O9,730.4,12.61,34.691,Neurotransmitter
Dopamine,C19H36N3O2,671.81,13.84,907.081,Hormone
Adenosine triphosphate,C14H26N2O8,490.33,7.7,337.518,Alcohol
Urea,C12H25N2O8,701.76,3.19,879.304,Alkaloid
Aspirin,C4H1N3O3,627.73,N/A,692.104,Alkaloid
Urea,C5H2N2O0,972.88,4.68,537.962,Neurotransmitter
Aspirin,C1H19N3O9,135.84,9.87,282.956,Hormone
Cholesterol,C10H35N0O2,370.65,7.22,734.624,Alkaloid
Adrenaline,C4H35N0O8,460.64,6.05,613.817,Carbohydrate
Cholesterol,C20H8N0O7,57.86,8.66,592.852,Hormone
Urea,C18H19N5O7,376.82,N/A,412.426,Organic Compound
Urea,C3H3N4O6,60.51,N/A,717.757,Nucleotide
Adenosine triphosphate,C8H17N3O3,107.48,4.12,830.512,Alcohol
Caffeine,C9H29N3O2,558.04,9.89,825.029,Nucleotide
Adrenaline,C4H29N0O6,893.38,2.82,561.933,Organic Compound
Adrenaline,C3H31N1O3,461.95,N/A,809.404,Organic Compound
Adenosine triphosphate,C13H37N0O1,529.56,12.1,882.268,Carbohydrate
Adrenaline,C19H36N3O9,542.51,13.68,149.992,Hormone
Caffeine,C6H19N4O1,514.18,11.55,230.011,Organic Compound
Aspirin,C3H32N3O0,860.12,7.69,134.884,Amide
Dopamine,C18H33N1O5,262.33,2.42,189.425,Nucleotide
Glucose,C20H21N2O0,84.25,10.11,923.485,Alcohol
Adrenaline,C2H16N4O7,399.27,N/A,565.965,Amide
Aspirin,C3H29N5O9,877.46,4.71,517.287,Amide
Cholesterol,C5H21N3O1,163.93,12.03,797.091,Alkaloid
Glucose,C10H27N4O9,222.59,11.62,544.914,Alkaloid
Caffeine,C19H38N3O1,264.54,3.19,336.003,Lipid
Cholesterol,C6H8N1O10,534.27,13.75,251.985,Amide
Aspirin,C17H15N2O2,95.25,3.08,760.675,Alkaloid
