compound,formula,mw,pka,solubility_mg_ml,class
Urea,C4H16N0O2,578.91,3.81,556.371,Neurotransmitter
Glucose,C15H15N1O4,155.74,11.28,476.997,Amide
Aspirin,C6H2N4O8,890.45,8.96,964.712,Alcohol
Urea,C19H34N5O8,607.51,4.01,790.957,Amide
Glucose,C9H37N4O2,187.43,1.3,108.716,Lipid
Serotonin,C7H22N4O1,782.08,N/A,545.519,Alkaloid
Serotonin,C1H3N2O5,369.68,5.0,716.931,Hormone
Ethanol,C5H40N0O7,802.85,N/A,980.554,Organic Compound
Urea,C15H36N1O1,609.56,7.04,869.175,Carbohydrate
Caffeine,C6H31N3O0,147.96,10.39,217.246,Alcohol
Aspirin,C18H17N0O10,460.61,11.65,604.976,Nucleotide
Cholesterol,C17H40N1O5,275.47,11.79,222.295,Lipid
Glucose,C14H36N4O7,188.81,N/A,986.374,Alkaloid
Serotonin,C13H26N4O3,532.26,11.47,406.972,Neurotransmitter
Glucose,C11H20N1O1,78.86,8.06,809.564,Hormone
Adrenaline,C19H23N3O10,769.01,8.73,772.565,Lipid
Ethanol,C9H3N5O9,707.83,8.79,893.589,Alcohol
Ethanol,C5H13N3O2,840.66,10.1,821.908,Nucleotide
Cholesterol,C8H23N1O3,798.75,4.65,162.639,Lipid
Adrenaline,C15H10N5O2,509.2,8.12,348.769,Organic Compound
Ethanol,C2H34N0O9,619.57,9.58,284.308,Organic Compound
Adrenaline,C14H29N2O10,339.27,13.66,987.274,Carbohydrate
Glucose,C1H19N3O4,746.59,N/A,120.805,Organic Compound
Dopamine,C20H25N4O10,907.19,5.85,391.371,Neurotransmitter
Serotonin,C18H38N2O9,749.02,1.85,264.325,Neurotransmitter
Ethanol,C19H9N2O4,923.98,4.49,208.262,Lipid
Adenosine triphosphate,C9H25N3O0,210.89,9.22,916.166,Nucleotide
Adrenaline,C6H15N1O2,380.06,8.25,133.707,Amide
Dopamine,C7H36N2O4,508.37,6.19,333.753,Alkaloid
Aspirin,C17H36N0O3,906.89,8.76,700.197,Carbohydrate
Caffeine,C1H23N0O10,619.68,6.89,459.095,Neurotransmitter
Adrenaline,C13H13N2O3,147.92,4.28,294.976,Hormone
Cholesterol,C16H21N5O5,307.71,2.08,264.352,Organic Compound
Glucose,C7H39N5O6,146.63,4.9,27.334,Lipid
Aspirin,C14H22N4O2,340.81,3.46,421.046,Carbohydrate
Dopamine,C5H20N5O10,699.14,6.48,690.946,Carbohydrate
Adrenaline,C13H39N3O8,631.04,7.79,204.119,Amide
