compound,formula,mw,pka,solubility_mg_ml,class
Ethanol,C10H13N0O10,837.1,10.85,206.16,Nucleotide
Adenosine triphosphate,C17H40N0O9,621.44,11.16,72.625,Neurotransmitter
Cholesterol,C1H19N1O3,863.81,4.85,534.154,Nucleotide
Caffeine,C17H5N1O3,103.97,9.15,966.588,Nucleotide
Dopamine,C3H21N4O1,931.81,1.03,201.448,Alcohol
Serotonin,C14H23N5O5,323.83,4.22,630.427,Neurotransmitter
Serotonin,C20H25N4O4,651.42,7.86,414.684,Hormone
Glucose,C20H17N0O5,842.27,12.86,451.281,Alkaloid
Serotonin,C18H25N3O10,300.28,5.45,553.801,Neurotransmitter
Cholesterol,C6H38N5O7,252.16,8.82,187.481,Hormone
Glucose,C9H13N3O2,599.69,8.48,411.483,Alcohol
Serotonin,C4H5N5O6,766.78,8.64,531.194,Carbohydrate
Caffeine,C10H16N5O5,594.52,5.04,789.918,Neurotransmitter
Ethanol,C11H22N4O9,377.33,N/A,396.725,Lipid
Dopamine,C15H3N5O6,790.17,N/A,247.613,Alkaloid
Dopamine,C20H7N0O6,742.97,12.81,424.104,Hormone
Dopamine,C9H4N0O7,747.98,7.02,479.625,Lipid
Cholesterol,C17H25N5O9,767.09,2.61,310.927,Hormone
Adrenaline,C12H15N5O7,216.03,9.85,409.538,Nucleotide
Adrenaline,C9H27N2O0,633.29,5.99,803.057,Nucleotide
Dopamine,C1H3N0O4,910.52,3.45,612.203,Carbohydrate
Cholesterol,C19H15N3O10,162.81,1.18,745.362,Carbohydrate
Serotonin,C20H7N4O1,281.02,9.32,790.046,Organic Compound
Cholesterol,C5H24N2O1,944.15,11.96,674.255,Hormone
Urea,C3H5N3O2,105.84,7.1,563.476,Organic Compound
Adrenaline,C9H37N5O3,685.45,4.26,393.543,Alcohol
Ethanol,C4H24N0O3,584.24,5.2,541.267,Hormone
Urea,C3H23N1O4,410.68,6.41,381.058,Carbohydrate
Ethanol,C1H4N5O6,301.58,N/A,498.491,Organic Compound
Urea,C19H15N4O7,615.87,7.89,12.884,Carbohydrate
Caffeine,C15H20N0O3,945.0,N/A,280.968,Alcohol
Cholesterol,C15H31N3O4,549.34,4.19,849.213,Organic Compound
