compound,formula,mw,pka,solubility_mg_ml,class
Caffeine,C14H39N0O5,334.29,10.52,210.615,Hormone
Aspirin,C2H36N1O10,633.98,N/A,669.257,Lipid
Glucose,C5H11N4O5,134.82,1.3,220.897,Nucleotide
Ethanol,C17H30N2O1,785.54,11.27,163.565,Alkaloid
Adenosine triphosphate,C14H24N5O2,192.01,N/A,195.357,Neurotransmitter
Cholesterol,C9H21N2O7,458.93,12.76,696.767,Neurotransmitter
Caffeine,C5H35N0O4,444.78,2.03,797.278,Organic Compound
Serotonin,C6H7N5O7,981.92,5.67,126.607,Lipid
Caffeine,C12H10N3O2,511.97,3.8,951.942,Organic Compound
Dopamine,C5H3N4O8,940.27,5.96,812.042,Lipid
Serotonin,C20H4N0O6,967.81,11.01,546.568,Organic Compound
Serotonin,C2H12N4O6,892.7,9.0,163.277,Lipid
Adrenaline,C7H16N5O5,445.47,N/A,833.442,Lipid
Dopamine,C16H8N1O0,716.86,1.69,874.243,Hormone
Serotonin,C18H29N5O5,266.08,2.82,87.64,Amide
Ethanol,C8H36N4O1,51.02,3.89,885.628,Lipid
Ethanol,C3H17N4O9,860.5,N/A,990.68,Amide
Glucose,C16H7N0O7,693.96,6.36,117.022,Organic Compound
Adrenaline,C11H18N2O3,508.89,4.85,581.55,Neurotransmitter
Ethanol,C2H13N2O0,422.57,N/A,391.702,Amide
Serotonin,C13H5N4O0,769.06,7.55,478.869,Alkaloid
Ethanol,C20H12N1O5,761.45,N/A,187.757,Neurotransmitter
Urea,C1H34N1O7,270.91,7.27,241.423,Hormone
Urea,C18H35N1O3,226.37,N/A,436.009,Alkaloid
Ethanol,C17H26N0O7,885.7,N/A,923.667,Carbohydrate
Serotonin,C18H15N0O4,707.71,1.06,411.244,Nucleotide
Urea,C10H39N3O4,146.58,3.88,668.766,Amide
Serotonin,C11H10N3O10,816.84,N/A,829.994,Lipid
Adrenaline,C20H7N0O2,980.32,10.42,429.568,Organic Compound
Aspirin,C16H14N1O8,256.53,6.41,830.438,Amide
Adenosine triphosphate,C6H19N2O10,154.24,1.16,276.82,Organic Compound
Dopamine,C5H4N4O6,665.5,9.8,516.327,Lipid
Adrenaline,C20H33N0O7,564.49,N/A,532.387,Alkaloid
Adenosine triphosphate,C16H3N4O9,995.59,8.6,348.448,Alkaloid
Adrenaline,C15H17N3O3,542.71,13.14,252.793,Alkaloid
Adrenaline,C4H36N1O7,533.81,9.73,780.963,Nucleotide
Aspirin,C2H6N4O9,532.16,6.45,582.708,Neurotransmitter
Dopamine,C17H21N1O5,362.67,9.74,272.351,Alcohol
Cholesterol,C6H9N2O5,393.13,6.34,461.79,Alcohol
Ethanol,C4H37N4O3,812.24,2.0,492.02,Organic Compound
Adenosine triphosphate,C9H12N4O10,630.43,6.08,928.657,Amide
Cholesterol,C10H22N2O5,585.64,10.13,444.158,Neurotransmitter
Adenosine triphosphate,C17H15N5O3,412.29,6.74,135.613,Lipid
Glucose,C9H20N5O8,740.12,5.89,584.462,Hormone
Serotonin,C1H20N5O0,700.63,N/A,68.45,Alkaloid
Ethanol,C9H15N3O7,939.9,3.71,436.278,Amide
Serotonin,C9H18N0O8,920.15,2.0,905.984,Hormone
Cholesterol,C19H31N0O4,135.73,N/A,520.83,Alkaloid
Cholesterol,C19H12N1O0,61.23,4.03,582.414,Amide
Urea,C11H12N5O3,269.15,8.89,467.88,Neurotransmitter
Adrenaline,C16H34N3O10,531.37,7.37,73.475,Organic Compound
Aspirin,C20H15N2O8,321.22,4.19,129.407,Alkaloid
Serotonin,C8H9N3O9,962.57,9.52,566.611,Amide
Urea,C15H19N1O2,379.14,7.18,267.455,Nucleotide
Urea,C16H40N2O9,904.64,2.97,814.364,Nucleotide
Aspirin,C20H4N2O6,306.12,4.12,633.503,Nucleotide
Urea,C18H30N2O10,960.14,8.18,975.775,Alkaloid
Urea,C1H35N3O6,604.73,8.96,216.371,Neurotransmitter
Glucose,C3H38N1O4,211.68,10.87,934.378,Amide
Dopamine,C14H16N2O4,593.47,12.32,613.977,Amide
Dopamine,C2H11N5O9,306.66,3.46,921.98,Lipid
Ethanol,C3H36N0O8,632.1,4.4,896.71,Alkaloid
Serotonin,C4H40N4O1,911.57,2.44,685.02,Alcohol
Dopamine,C2H6N3O0,857.26,12.04,151.615,Alkaloid
Ethanol,C5H39N3O5,489.79,6.43,416.398,Carbohydrate
Dopamine,C17H3N2O1,323.38,1.54,491.56,Nucleotide
Dopamine,C14H15N5O6,646.24,1.13,859.047,Nucleotide
Adenosine triphosphate,C10H20N3O8,790.98,11.5,871.812,Organic Compound
Adenosine triphosphate,C9H9N3O4,745.3,3.61,963.495,Alkaloid
Adenosine triphosphate,C19H1N3O9,744.69,5.09,794.212,Alkaloid
Cholesterol,C9H30N5O7,63.97,7.83,433.149,Neurotransmitter
Glucose,C10H40N4O9,346.05,7.98,143.49,Organic Compound
Caffeine,C6H21N5O2,837.33,2.36,247.489,Alkaloid
Ethanol,C16H6N4O2,875.68,9.95,397.271,Alkaloid
Dopamine,C20H17N2O4,737.81,7.95,932.373,Amide
Urea,C6H13N5O3,767.32,7.46,396.274,Hormone
Adenosine triphosphate,C17H27N0O5,629.74,4.7,982.742,Nucleotide
Urea,C6H39N2O3,147.0,N/A,743.15,Alkaloid
Caffeine,C6H31N5O5,140.83,12.43,341.622,Neurotransmitter
Caffeine,C2H34N4O6,246.3,N/A,351.876,Alkaloid
Adenosine triphosphate,C20H4N0O8,174.38,2.24,495.881,Organic Compound
Caffeine,C9H8N5O10,995.94,N/A,575.265,Alkaloid
Adrenaline,C2H14N1O1,572.85,2.67,888.104,Organic Compound
Glucose,C4H29N0O6,202.84,12.83,572.431,Alcohol
Glucose,C16H27N4O2,938.93,10.7,488.909,Carbohydrate
Serotonin,C17H27N3O2,992.71,1.61,609.365,Hormone
Glucose,C2H3N0O1,959.91,7.11,686.981,Carbohydrate
Glucose,C16H19N4O6,181.58,13.41,39.39,Amide
Glucose,C4H18N1O6,283.7,N/A,85.001,Organic Compound
Serotonin,C17H37N4O5,384.64,N/A,453.6,Alkaloid
Dopamine,C8H15N5O6,651.04,N/A,227.847,Organic Compound
Serotonin,C8H15N1O7,392.03,N/A,574.757,Neurotransmitter
Glucose,C18H4N1O7,246.03,1.99,945.652,Amide
Cholesterol,C14H36N3O8,492.4,2.63,470.506,Alcohol
Glucose,C9H30N5O9,54.49,4.55,978.281,Carbohydrate
Urea,C9H18N2O1,965.23,11.65,452.461,Organic Compound
Aspirin,C16H31N3O10,221.21,6.66,975.922,Alcohol
Caffeine,C16H13N0O5,490.51,N/A,247.597,Nucleotide
Ethanol,C20H36N2O4,958.01,12.94,700.944,Carbohydrate
Dopamine,C12H37N2O8,531.85,5.27,403.559,Lipid
Ethanol,C1H27N1O0,957.25,2.07,772.151,Alkaloid
Adenosine triphosphate,C11H30N3O5,85.64,1.92,316.811,Organic Compound
Ethanol,C18H31N1O8,854.69,13.42,954.829,Hormone
Caffeine,C19H39N1O3,945.71,9.09,499.284,Alkaloid
Aspirin,C13H4N5O3,189.52,8.07,136.423,Carbohydrate
Serotonin,C17H38N2O0,839.99,8.05,934.955,Alcohol
Aspirin,C13H39N4O9,526.97,13.65,432.271,Lipid
Aspirin,C17H29N2O0,135.21,2.5,411.016,Amide
Dopamine,C11H10N4O1,651.87,6.49,183.827,Carbohydrate
Glucose,C11H21N2O0,674.86,13.28,685.062,Alkaloid
Ethanol,C13H18N1O2,668.08,6.53,571.322,Neurotransmitter
Ethanol,C20H14N2O2,752.77,1.36,684.618,Organic Compound
Adrenaline,C6H38N5O0,271.3,7.72,527.776,Organic Compound
Caffeine,C2H18N5O7,883.86,1.59,370.411,Alcohol
Caffeine,C19H32N2O7,463.06,N/A,87.33,Hormone
Urea,C13H33N3O4,184.59,5.29,277.078,Neurotransmitter
Aspirin,C7H30N0O5,558.63,N/A,683.789,Carbohydrate
Caffeine,C8H27N4O3,169.32,10.05,223.181,Hormone
Urea,C6H33N5O8,302.0,3.73,271.893,Carbohydrate
Ethanol,C11H32N1O7,88.23,N/A,289.287,Hormone
Caffeine,C4H7N1O8,818.52,3.13,447.873,Hormone
Caffeine,C12H34N4O8,374.21,5.46,526.257,Amide
Urea,C17H40N1O1,285.55,N/A,451.924,Nucleotide
Ethanol,C1H27N1O10,592.89,3.76,832.62,Alkaloid
Urea,C9H24N2O0,787.89,13.98,373.561,Alcohol
Serotonin,C12H18N1O0,799.08,13.35,619.014,Alkaloid
Serotonin,C15H30N0O4,539.38,N/A,313.345,Lipid
Aspirin,C20H40N1O2,698.02,13.05,260.86,Nucleotide
Ethanol,C12H2N5O9,912.46,13.09,289.06,Carbohydrate
Aspirin,C12H6N0O6,682.56,7.83,774.046,Amide
Glucose,C20H18N4O4,638.9,N/A,158.161,Lipid
Cholesterol,C13H7N4O5,811.22,6.01,407.2,Carbohydrate
Adrenaline,C12H22N2O2,460.46,6.27,709.449,Nucleotide
Serotonin,C2H34N1O10,396.72,1.83,920.201,Alkaloid
Serotonin,C7H13N4O10,687.69,N/A,454.41,Neurotransmitter
Adrenaline,C2H37N3O8,421.45,6.26,401.212,Organic Compound
Adenosine triphosphate,C16H18N4O8,537.35,N/A,870.892,Hormone
