compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C7H19N5O2,700.01,2.58,834.225,Alcohol
Dopamine,C19H15N3O1,557.99,7.9,369.797,Lipid
Cholesterol,C16H2N2O7,733.3,4.89,584.955,Amide
Dopamine,C13H24N1O6,763.5,N/A,707.43,Neurotransmitter
Ethanol,C3H3N1O9,123.12,11.84,991.661,Neurotransmitter
Ethanol,C17H27N1O0,608.52,7.1,939.571,Hormone
Urea,C15H8N3O0,487.31,8.97,723.394,Amide
Adrenaline,C5H13N0O6,163.74,13.3,253.526,Amide
Glucose,C15H3N5O8,589.98,6.26,966.174,Nucleotide
Serotonin,C15H9N4O10,96.4,10.91,920.291,Neurotransmitter
Adrenaline,C15H38N4O0,445.24,7.38,990.855,Organic Compound
Adrenaline,C3H22N1O0,100.41,4.19,681.596,Nucleotide
Urea,C9H23N0O4,934.4,9.07,799.004,Hormone
Glucose,C1H13N0O5,245.71,8.08,544.79,Alcohol
Aspirin,C7H38N0O7,463.17,6.73,72.709,Carbohydrate
Adenosine triphosphate,C6H30N5O3,469.99,9.68,363.894,Organic Compound
Adrenaline,C5H5N2O7,315.27,9.86,609.123,Alcohol
Serotonin,C4H17N5O5,322.02,4.9,91.12,Alcohol
Urea,C5H23N5O6,483.31,9.51,671.974,Carbohydrate
Serotonin,C12H35N2O8,185.52,5.86,211.696,Nucleotide
Serotonin,C9H28N5O7,196.17,N/A,789.542,Alcohol
Caffeine,C20H34N0O4,733.87,13.73,869.724,Carbohydrate
Ethanol,C19H9N2O7,712.66,13.68,349.592,Nucleotide
Glucose,C10H35N1O10,764.27,2.61,698.38,Lipid
Aspirin,C3H13N2O2,430.73,8.79,560.854,Amide
Adrenaline,C3H14N3O1,471.36,9.04,528.697,Organic Compound
Glucose,C19H21N3O7,167.41,N/A,211.669,Lipid
Adenosine triphosphate,C15H2N0O6,760.29,13.7,964.047,Nucleotide
Caffeine,C20H10N3O6,69.4,N/A,744.173,Nucleotide
Adenosine triphosphate,C6H21N3O2,677.23,1.74,566.985,Alcohol
Adrenaline,C4H27N2O8,808.49,8.04,395.421,Hormone
Adenosine triphosphate,C3H37N1O3,279.76,2.16,590.898,Hormone
Aspirin,C4H5N0O8,386.46,3.47,664.581,Nucleotide
Adrenaline,C10H4N3O0,390.81,12.39,215.576,Nucleotide
Adrenaline,C8H2N0O3,487.93,3.38,991.041,Nucleotide
Adrenaline,C19H29N1O4,317.56,12.14,784.179,Organic Compound
