compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C16H15N1O7,852.39,N/A,923.818,Organic Compound
Adenosine triphosphate,C11H15N2O8,833.14,N/A,965.449,Hormone
Ethanol,C4H8N2O1,67.12,12.07,879.813,Lipid
Glucose,C2H14N3O8,739.54,10.03,234.006,Lipid
Urea,C15H26N4O10,698.89,8.3,907.542,Lipid
Adrenaline,C20H14N3O3,614.69,8.67,600.14,Lipid
Ethanol,C12H29N1O4,387.58,N/A,620.235,Alkaloid
Aspirin,C18H2N2O8,707.72,4.83,82.522,Carbohydrate
Glucose,C8H25N4O3,962.65,4.51,878.274,Hormone
Dopamine,C7H8N0O4,641.64,N/A,814.129,Carbohydrate
Adenosine triphosphate,C9H21N1O8,135.38,1.52,882.526,Hormone
Caffeine,C13H27N2O8,354.15,N/A,614.91,Carbohydrate
Aspirin,C8H30N1O4,546.35,6.59,982.76,Neurotransmitter
Adrenaline,C1H1N4O10,780.51,N/A,912.769,Organic Compound
Urea,C2H18N4O4,554.28,1.81,15.201,Neurotransmitter
Adrenaline,C5H23N1O1,638.4,4.49,554.41,Alkaloid
Adenosine triphosphate,C9H3N0O8,936.08,3.15,47.805,Lipid
Adrenaline,C8H4N0O7,536.52,N/A,925.253,Amide
Caffeine,C4H9N2O0,990.03,N/A,641.275,Nucleotide
Ethanol,C5H31N5O9,714.71,10.67,914.975,Alkaloid
Adenosine triphosphate,C13H21N1O7,906.9,N/A,221.973,Nucleotide
Glucose,C18H10N2O8,376.55,N/A,290.214,Organic Compound
Adrenaline,C5H19N3O3,630.58,5.79,198.909,Organic Compound
Glucose,C9H16N2O1,470.28,10.86,648.78,Nucleotide
Urea,C16H36N4O10,813.53,12.24,466.843,Nucleotide
Serotonin,C15H34N3O2,557.03,4.06,541.809,Lipid
Aspirin,C12H36N1O8,899.22,11.03,882.872,Alkaloid
Ethanol,C19H23N3O4,936.01,12.9,348.301,Carbohydrate
Glucose,C15H22N1O0,167.99,N/A,657.069,Organic Compound
Urea,C13H9N0O2,819.95,8.89,414.905,Carbohydrate
Dopamine,C4H19N1O7,208.64,N/A,399.277,Organic Compound
Aspirin,C15H38N1O9,415.8,1.5,390.559,Lipid
