compound,formula,mw,pka,solubility_mg_ml,class
Urea,C2H36N4O9,797.06,4.48,834.282,Lipid
Serotonin,C13H38N2O2,146.34,2.9,547.904,Lipid
Adrenaline,C17H26N2O4,529.4,10.27,536.912,Alcohol
Cholesterol,C3H7N5O2,267.96,7.85,612.675,Carbohydrate
Adrenaline,C20H19N1O5,630.93,N/A,590.982,Organic Compound
Dopamine,C3H35N0O4,701.04,11.41,306.667,Alcohol
Serotonin,C1H1N4O4,184.26,13.62,365.631,Carbohydrate
Ethanol,C8H32N0O0,971.03,10.48,268.696,Carbohydrate
Urea,C13H16N3O7,779.32,N/A,280.487,Nucleotide
Caffeine,C15H8N0O0,684.11,3.71,186.752,Lipid
Cholesterol,C8H15N1O1,316.31,13.83,512.434,Organic Compound
Ethanol,C9H25N5O10,987.96,4.33,92.654,Alcohol
Dopamine,C4H20N4O7,186.6,3.36,421.345,Nucleotide
Glucose,C18H32N0O10,676.5,13.6,326.355,Alcohol
Adrenaline,C9H11N5O10,762.26,13.64,812.533,Amide
Dopamine,C13H39N5O10,252.53,13.12,907.345,Amide
Adenosine triphosphate,C20H33N5O3,68.77,1.6,641.794,Nucleotide
Caffeine,C6H34N1O9,461.75,12.97,498.143,Hormone
Adenosine triphosphate,C14H23N5O5,78.23,10.78,995.846,Amide
Caffeine,C18H33N0O10,949.81,12.23,753.933,Carbohydrate
Urea,C2H28N1O6,714.94,13.21,757.492,Organic Compound
Aspirin,C19H34N5O9,367.61,N/A,332.391,Nucleotide
Ethanol,C4H16N2O5,182.76,13.89,69.454,Hormone
Adrenaline,C6H28N2O2,438.22,12.37,999.319,Neurotransmitter
Dopamine,C2H24N0O9,564.0,11.48,420.303,Alcohol
Ethanol,C19H35N0O1,554.51,4.95,771.826,Nucleotide
Dopamine,C8H15N5O7,67.1,13.7,748.525,Neurotransmitter
Caffeine,C10H37N1O7,579.15,13.32,205.267,Neurotransmitter
Aspirin,C5H6N1O8,227.55,N/A,300.244,Carbohydrate
Glucose,C9H5N5O4,938.99,N/A,127.552,Nucleotide
Adenosine triphosphate,C13H14N5O9,308.46,6.34,249.203,Lipid
Aspirin,C9H17N4O6,297.49,N/A,916.903,Hormone
Caffeine,C4H12N2O2,779.98,2.24,188.991,Amide
Ethanol,C6H9N3O9,918.58,6.99,683.647,Alcohol
Cholesterol,C12H10N2O10,156.82,13.31,302.787,Neurotransmitter
Adrenaline,C7H13N5O10,944.71,6.26,858.324,Hormone
Glucose,C1H30N5O0,734.44,5.23,776.772,Alkaloid
Aspirin,C4H35N2O7,321.26,6.63,802.896,Carbohydrate
Aspirin,C18H28N4O9,872.68,12.91,654.825,Lipid
Dopamine,C5H31N4O1,875.68,7.14,699.538,Hormone
Serotonin,C8H19N0O8,906.41,8.54,905.414,Amide
Ethanol,C20H39N1O7,335.57,9.09,405.839,Organic Compound
Serotonin,C18H7N5O4,474.68,N/A,246.448,Nucleotide
Glucose,C5H21N5O7,539.85,7.84,578.981,Nucleotide
Glucose,C1H13N1O1,960.99,1.77,825.375,Lipid
Urea,C9H25N1O9,84.24,9.4,256.341,Amide
Dopamine,C9H8N2O2,153.11,3.58,52.647,Carbohydrate
Cholesterol,C2H32N0O2,969.34,4.47,250.841,Amide
Dopamine,C6H28N2O0,548.17,4.09,192.292,Neurotransmitter
Aspirin,C11H31N2O7,451.98,N/A,40.993,Nucleotide
Adenosine triphosphate,C11H23N5O1,819.89,5.18,524.197,Lipid
Urea,C1H38N0O5,492.32,1.38,287.426,Neurotransmitter
Glucose,C15H13N3O2,911.98,4.4,984.876,Lipid
Adrenaline,C3H5N0O5,503.09,N/A,906.145,Neurotransmitter
Adrenaline,C8H26N2O1,752.25,N/A,785.852,Amide
Serotonin,C9H24N0O10,411.27,11.98,633.562,Neurotransmitter
Caffeine,C6H39N0O1,165.21,2.14,817.276,Lipid
Adenosine triphosphate,C4H25N2O2,257.41,3.27,406.753,Carbohydrate
Ethanol,C18H2N2O3,843.34,6.15,70.84,Carbohydrate
Cholesterol,C9H7N1O10,940.02,13.69,194.572,Alkaloid
Caffeine,C3H21N0O5,53.31,5.39,283.353,Amide
Caffeine,C16H31N1O0,552.26,6.36,654.789,Lipid
Adrenaline,C10H13N4O4,924.39,2.49,929.687,Carbohydrate
Glucose,C19H35N2O6,584.05,1.78,311.796,Alcohol
Adenosine triphosphate,C9H31N5O3,680.31,3.84,730.116,Alkaloid
Glucose,C3H11N1O3,991.7,3.73,702.704,Nucleotide
Dopamine,C1H14N3O4,629.24,3.91,932.922,Hormone
Urea,C3H13N0O0,827.8,3.5,248.282,Hormone
Urea,C1H1N4O0,677.29,12.7,851.487,Amide
Serotonin,C5H15N5O7,761.49,4.38,734.487,Alcohol
Cholesterol,C19H40N2O8,938.48,N/A,234.453,Amide
Ethanol,C11H25N4O9,185.71,4.14,739.842,Alcohol
