compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C20H9N0O4,352.37,3.36,362.892,Alkaloid
Serotonin,C17H20N4O10,592.31,7.83,852.507,Neurotransmitter
Ethanol,C19H32N0O8,267.81,N/A,704.058,Alkaloid
Glucose,C8H20N1O8,818.84,8.48,523.905,Neurotransmitter
Adrenaline,C4H22N2O7,581.71,7.79,355.661,Hormone
Aspirin,C5H8N3O4,97.15,13.91,600.149,Hormone
Aspirin,C2H38N5O6,807.26,N/A,329.378,Alcohol
Caffeine,C3H33N4O8,635.79,N/A,182.224,Nucleotide
Ethanol,C12H37N5O3,860.33,5.88,582.357,Alkaloid
Glucose,C8H32N4O0,825.63,4.03,514.164,Neurotransmitter
Serotonin,C17H11N0O8,646.63,1.36,784.465,Alcohol
Dopamine,C19H15N2O4,761.07,10.99,995.227,Organic Compound
Dopamine,C3H22N2O5,822.97,10.5,556.024,Hormone
Adenosine triphosphate,C10H17N2O0,164.0,9.23,758.352,Amide
Dopamine,C6H5N5O4,963.41,7.26,449.696,Lipid
Dopamine,C14H13N5O6,576.77,6.13,215.134,Amide
Serotonin,C18H32N1O4,159.33,10.89,926.602,Nucleotide
Dopamine,C7H20N1O0,171.47,7.93,175.112,Carbohydrate
Ethanol,C17H7N0O10,98.47,11.63,236.449,Alcohol
Caffeine,C15H6N0O8,369.0,3.54,335.293,Carbohydrate
Ethanol,C16H13N4O3,140.15,N/A,788.352,Carbohydrate
Glucose,C11H25N0O6,708.87,12.2,580.652,Carbohydrate
Cholesterol,C13H36N3O0,161.2,13.31,919.839,Alkaloid
Dopamine,C13H4N5O3,369.18,N/A,699.045,Carbohydrate
Adrenaline,C8H36N3O1,718.02,13.78,815.381,Alcohol
Ethanol,C20H27N4O2,133.93,8.99,589.296,Alkaloid
Glucose,C14H40N0O2,749.58,8.6,677.711,Organic Compound
Urea,C3H10N3O4,917.9,6.72,53.756,Amide
Adrenaline,C8H39N4O10,684.0,3.77,494.227,Amide
Serotonin,C20H19N0O5,709.3,1.03,67.209,Alkaloid
Dopamine,C4H34N1O8,923.32,4.01,182.303,Nucleotide
Aspirin,C20H18N1O5,120.54,6.34,814.348,Organic Compound
Glucose,C8H24N5O5,153.27,1.07,280.127,Carbohydrate
Glucose,C13H12N3O7,777.84,N/A,519.731,Alkaloid
Serotonin,C16H24N5O6,606.53,11.69,703.729,Alkaloid
Cholesterol,C4H27N3O7,755.27,4.18,815.352,Amide
