compound,formula,mw,pka,solubility_mg_ml,class
Urea,C4H4N2O3,273.38,2.94,590.526,Hormone
Adenosine triphosphate,C10H25N4O3,447.83,12.38,843.418,Organic Compound
Adrenaline,C6H4N1O9,895.98,N/A,442.568,Nucleotide
Ethanol,C12H25N4O7,512.67,9.4,578.454,Alcohol
Adenosine triphosphate,C12H35N0O6,150.32,N/A,818.699,Carbohydrate
Caffeine,C14H1N3O3,717.84,12.76,905.809,Hormone
Adrenaline,C7H13N5O6,461.03,4.31,610.352,Alkaloid
Urea,C3H8N3O4,721.5,6.52,968.759,Amide
Glucose,C5H27N1O1,237.14,5.33,690.887,Lipid
Ethanol,C12H29N2O10,774.0,N/A,272.196,Alcohol
Glucose,C6H14N5O1,143.72,13.93,280.545,Alkaloid
Caffeine,C9H24N5O4,878.74,N/A,500.422,Amide
Urea,C13H3N3O8,276.81,2.3,111.327,Nucleotide
Adenosine triphosphate,C10H33N5O1,184.93,N/A,628.921,Alcohol
Ethanol,C18H3N1O7,412.13,3.18,236.52,Neurotransmitter
Glucose,C8H7N1O10,640.54,11.52,610.048,Carbohydrate
Urea,C14H38N2O7,382.54,N/A,750.638,Alcohol
Cholesterol,C10H31N1O5,163.91,7.54,997.11,Alcohol
Urea,C2H6N4O10,603.5,N/A,174.892,Amide
Glucose,C12H35N2O7,585.82,2.14,475.114,Alcohol
Caffeine,C2H23N2O1,927.65,N/A,419.535,Organic Compound
Aspirin,C9H12N2O3,158.14,7.76,243.228,Organic Compound
Cholesterol,C1H20N0O8,377.79,10.15,466.13,Neurotransmitter
Cholesterol,C3H17N4O3,567.67,5.2,112.133,Amide
Adrenaline,C19H5N0O4,766.98,4.43,745.745,Nucleotide
Urea,C20H27N0O7,183.48,N/A,338.769,Carbohydrate
Dopamine,C1H16N3O5,622.25,4.44,323.486,Carbohydrate
Cholesterol,C3H37N5O6,601.64,N/A,358.39,Alcohol
Ethanol,C6H33N3O0,994.88,10.95,673.437,Alcohol
Adrenaline,C5H38N1O3,720.35,6.42,957.297,Nucleotide
Caffeine,C15H5N3O7,679.59,8.55,18.724,Hormone
Dopamine,C9H14N3O6,953.52,5.6,36.312,Amide
Adenosine triphosphate,C8H18N5O0,304.77,8.54,667.225,Neurotransmitter
Caffeine,C12H19N0O0,533.08,6.98,478.961,Neurotransmitter
Cholesterol,C3H31N0O8,174.24,9.16,148.959,Nucleotide
Aspirin,C7H35N0O1,936.31,10.5,769.839,Alcohol
Urea,C7H6N3O7,519.75,N/A,32.687,Lipid
Cholesterol,C4H8N4O10,106.42,N/A,838.207,Hormone
Cholesterol,C20H29N1O2,170.22,11.37,516.308,Alcohol
Cholesterol,C3H24N0O3,596.6,11.35,594.896,Lipid
Urea,C10H21N4O1,389.22,12.71,913.376,Neurotransmitter
Dopamine,C10H21N2O1,165.23,N/A,90.908,Organic Compound
Ethanol,C15H16N3O10,311.21,9.32,723.541,Carbohydrate
Cholesterol,C15H36N4O6,229.36,11.64,756.516,Carbohydrate
Cholesterol,C1H16N2O2,666.89,10.63,638.187,Amide
Dopamine,C7H9N2O9,143.93,12.99,139.763,Neurotransmitter
Aspirin,C8H20N1O7,137.38,6.26,154.935,Amide
Caffeine,C16H36N2O1,387.8,8.41,63.746,Carbohydrate
Urea,C16H33N5O0,71.0,3.12,946.055,Nucleotide
Glucose,C6H28N5O4,642.52,12.75,94.268,Hormone
Glucose,C11H8N2O6,726.09,7.14,70.888,Amide
Serotonin,C9H38N1O10,306.58,8.81,188.126,Carbohydrate
Serotonin,C10H38N1O7,135.06,1.95,378.509,Carbohydrate
Aspirin,C16H14N5O8,435.62,2.99,723.277,Organic Compound
Serotonin,C18H18N2O9,195.06,N/A,928.917,Alcohol
Adenosine triphosphate,C15H12N4O9,595.07,N/A,368.761,Neurotransmitter
Serotonin,C7H39N5O8,727.26,8.01,390.358,Lipid
Adrenaline,C18H19N5O8,271.71,N/A,459.58,Carbohydrate
Adenosine triphosphate,C11H1N2O7,77.81,13.91,438.204,Amide
Urea,C20H2N4O7,563.92,4.65,538.481,Organic Compound
Urea,C5H28N5O8,165.92,13.61,657.844,Carbohydrate
Glucose,C4H37N3O6,138.36,N/A,732.816,Alcohol
Aspirin,C3H20N4O2,436.16,9.47,693.929,Alcohol
Caffeine,C1H5N0O0,132.13,1.41,646.516,Organic Compound
Ethanol,C10H1N0O10,502.62,5.38,999.395,Lipid
Caffeine,C9H21N4O8,451.03,1.43,421.388,Organic Compound
Caffeine,C1H15N3O4,384.63,7.68,991.203,Alcohol
Ethanol,C8H2N0O1,58.68,10.5,164.231,Nucleotide
Adenosine triphosphate,C16H38N5O9,744.66,10.9,227.072,Amide
Caffeine,C10H28N5O8,136.29,12.46,566.927,Hormone
Adrenaline,C11H14N1O0,366.26,10.12,814.389,Nucleotide
Cholesterol,C9H3N1O7,421.38,N/A,152.013,Nucleotide
Urea,C7H22N5O8,199.28,9.93,224.488,Neurotransmitter
Adrenaline,C17H28N1O2,267.25,12.51,526.496,Lipid
Urea,C10H16N2O2,389.49,N/A,245.971,Alkaloid
Cholesterol,C3H3N4O10,481.8,11.13,286.167,Lipid
Urea,C9H11N5O5,519.38,N/A,419.543,Neurotransmitter
Dopamine,C6H29N3O0,993.89,10.35,375.772,Alcohol
Caffeine,C11H6N4O9,697.2,10.75,408.223,Alcohol
Adenosine triphosphate,C19H39N3O5,282.32,2.61,365.602,Hormone
Glucose,C13H23N0O5,148.28,3.88,236.372,Alcohol
Aspirin,C3H33N5O9,757.45,4.6,994.092,Carbohydrate
Glucose,C2H37N4O0,566.62,2.03,381.022,Carbohydrate
Ethanol,C6H26N0O8,374.79,4.22,392.554,Hormone
Dopamine,C2H27N5O1,645.66,10.88,100.846,Hormone
Aspirin,C20H7N0O5,690.21,6.94,833.107,Lipid
Dopamine,C10H30N1O0,748.16,7.65,562.75,Hormone
Adrenaline,C6H27N3O7,530.85,10.93,895.543,Lipid
Cholesterol,C8H32N0O0,977.93,7.16,907.537,Alkaloid
Glucose,C4H17N0O8,652.87,9.94,315.48,Alcohol
Cholesterol,C18H23N5O8,680.58,N/A,281.965,Hormone
Serotonin,C17H34N4O7,178.01,3.32,710.291,Lipid
Adenosine triphosphate,C20H22N5O10,80.66,10.91,522.035,Alkaloid
Dopamine,C15H30N5O1,871.04,3.89,784.887,Amide
Adenosine triphosphate,C19H5N1O9,811.5,3.67,600.573,Alkaloid
Aspirin,C10H23N5O2,271.22,N/A,477.946,Nucleotide
Dopamine,C7H28N3O4,247.16,2.88,867.546,Alkaloid
Caffeine,C12H10N4O0,377.53,8.13,15.822,Lipid
Adenosine triphosphate,C4H24N3O2,533.13,1.66,691.547,Alkaloid
Urea,C11H24N5O1,765.94,4.12,380.18,Amide
Aspirin,C11H12N5O1,654.22,1.7,258.719,Lipid
Caffeine,C3H37N2O0,291.07,N/A,129.9,Lipid
Adrenaline,C6H15N5O5,450.7,N/A,191.761,Alcohol
Glucose,C10H28N0O10,403.96,13.17,954.77,Nucleotide
Cholesterol,C15H12N5O8,411.58,N/A,168.708,Neurotransmitter
Adenosine triphosphate,C17H1N0O10,816.65,13.28,926.711,Hormone
Dopamine,C5H4N5O7,757.05,3.84,738.327,Lipid
Aspirin,C2H25N4O2,657.57,4.89,3.112,Organic Compound
Cholesterol,C2H22N1O4,977.49,2.37,606.849,Lipid
Dopamine,C2H23N5O2,839.05,13.82,109.941,Hormone
Cholesterol,C16H3N4O7,986.25,1.62,698.844,Amide
Dopamine,C17H23N1O8,971.01,12.58,917.939,Hormone
Ethanol,C17H38N5O3,509.32,13.5,185.744,Organic Compound
Adenosine triphosphate,C6H2N5O10,309.2,N/A,781.161,Hormone
Glucose,C14H30N5O1,338.64,10.11,984.392,Amide
Caffeine,C12H25N4O3,790.11,N/A,708.594,Hormone
Caffeine,C15H15N3O0,519.2,11.01,746.48,Lipid
Serotonin,C15H24N2O0,676.22,8.33,461.157,Neurotransmitter
Glucose,C7H36N0O0,915.07,N/A,65.115,Carbohydrate
Cholesterol,C2H34N3O6,862.22,5.77,292.901,Lipid
Cholesterol,C7H36N0O3,805.27,2.89,609.963,Nucleotide
Serotonin,C20H10N3O9,861.21,N/A,217.627,Carbohydrate
Urea,C12H16N4O7,183.92,12.35,773.747,Alkaloid
Aspirin,C14H6N3O0,609.71,13.84,413.355,Nucleotide
Cholesterol,C19H27N2O2,514.5,3.07,758.862,Alkaloid
Cholesterol,C2H21N4O6,521.6,10.21,172.451,Alcohol
Urea,C20H34N0O1,905.81,11.89,570.557,Lipid
Dopamine,C17H18N0O9,566.59,12.24,327.062,Carbohydrate
Adenosine triphosphate,C2H19N0O3,775.88,3.99,411.212,Neurotransmitter
Glucose,C15H19N2O1,77.87,1.97,293.032,Nucleotide
Cholesterol,C7H31N2O10,875.91,6.03,436.326,Nucleotide
Adenosine triphosphate,C19H11N1O7,765.93,10.79,915.59,Neurotransmitter
Adrenaline,C9H6N4O7,984.96,12.42,546.766,Amide
Adenosine triphosphate,C1H14N2O3,979.38,4.49,89.124,Carbohydrate
Glucose,C6H7N1O3,735.86,3.7,905.156,Nucleotide
Dopamine,C9H33N3O3,773.29,N/A,221.806,Amide
Adenosine triphosphate,C3H39N5O7,174.34,1.01,360.089,Alkaloid
Adenosine triphosphate,C20H16N2O1,353.37,12.39,858.273,Neurotransmitter
Adenosine triphosphate,C1H24N4O6,81.8,13.6,52.343,Hormone
Glucose,C15H20N0O5,750.79,N/A,821.036,Carbohydrate
Aspirin,C9H26N1O10,992.21,10.32,223.707,Alcohol
Urea,C7H26N5O0,519.48,9.03,365.178,Organic Compound
Serotonin,C14H30N1O0,983.09,8.35,902.297,Lipid
Urea,C5H28N0O9,67.22,6.83,207.277,Organic Compound
Adenosine triphosphate,C15H9N5O4,317.04,N/A,238.353,Lipid
Ethanol,C1H19N4O9,541.21,N/A,668.404,Hormone
Serotonin,C4H35N5O3,375.51,5.47,496.491,Alkaloid
Urea,C6H29N2O10,255.52,8.59,862.56,Organic Compound
Dopamine,C17H8N0O1,716.75,2.45,171.056,Alkaloid
Urea,C7H36N3O8,778.84,8.7,89.169,Neurotransmitter
Adrenaline,C7H37N2O7,318.32,3.29,269.735,Neurotransmitter
Caffeine,C20H32N0O7,772.37,9.54,591.48,Alkaloid
Glucose,C20H39N4O8,88.33,7.74,918.315,Amide
Ethanol,C1H19N2O5,335.92,9.25,433.075,Lipid
Cholesterol,C10H31N4O0,138.85,N/A,191.225,Carbohydrate
Glucose,C1H11N1O7,293.92,9.89,574.169,Hormone
Dopamine,C5H21N2O8,242.3,5.26,278.338,Carbohydrate
Cholesterol,C6H27N3O3,557.14,9.49,807.725,Carbohydrate
Caffeine,C19H21N2O5,889.23,7.31,889.488,Nucleotide
Adenosine triphosphate,C18H7N2O2,162.85,6.83,543.258,Lipid
Adenosine triphosphate,C15H40N5O9,668.51,5.58,832.369,Neurotransmitter
Dopamine,C5H5N5O0,389.37,13.28,297.232,Organic Compound
Adrenaline,C11H2N2O7,841.09,9.04,295.196,Lipid
Cholesterol,C3H6N2O4,963.08,7.47,934.836,Neurotransmitter
Cholesterol,C1H3N3O10,498.43,9.95,912.029,Hormone
Dopamine,C14H13N3O8,307.1,N/A,983.127,Lipid
Caffeine,C19H20N4O3,98.26,6.31,169.628,Hormone
Caffeine,C14H17N1O2,520.99,13.54,39.078,Alkaloid
Urea,C7H10N5O8,266.83,1.52,772.286,Neurotransmitter
Urea,C8H40N1O5,78.98,12.37,916.378,Carbohydrate
Adenosine triphosphate,C10H32N4O3,585.03,N/A,79.178,Amide
Caffeine,C5H28N3O4,55.27,13.62,710.919,Alcohol
Dopamine,C6H19N4O6,358.33,12.33,330.475,Amide
Glucose,C18H11N3O4,726.5,8.83,234.845,Organic Compound
Caffeine,C18H9N0O4,190.55,3.99,842.557,Hormone
Ethanol,C4H22N0O3,83.23,4.16,238.84,Nucleotide
Ethanol,C9H10N1O10,748.38,8.67,33.637,Hormone
Adrenaline,C19H32N0O4,126.78,N/A,598.773,Hormone
Adenosine triphosphate,C4H26N2O4,88.75,2.86,573.004,Alcohol
Aspirin,C18H34N4O9,214.93,7.06,530.224,Lipid
Adrenaline,C8H9N1O5,855.76,6.86,90.448,Neurotransmitter
Ethanol,C19H20N4O5,679.37,6.69,424.362,Alcohol
Adenosine triphosphate,C14H22N2O5,258.2,4.75,241.706,Neurotransmitter
Cholesterol,C8H13N0O10,405.56,7.81,166.293,Lipid
Adrenaline,C20H29N3O7,374.62,N/A,967.924,Neurotransmitter
Dopamine,C2H16N2O7,626.05,3.9,286.233,Nucleotide
Cholesterol,C10H14N5O4,413.63,N/A,652.17,Alkaloid
Cholesterol,C12H2N1O6,847.5,5.0,301.28,Neurotransmitter
Ethanol,C9H13N4O5,273.13,4.84,843.091,Alkaloid
Serotonin,C8H20N5O1,333.48,N/A,302.318,Alcohol
Glucose,C4H38N4O6,189.01,5.23,462.43,Neurotransmitter
Caffeine,C5H31N2O5,836.1,8.46,902.039,Lipid
Urea,C8H35N3O5,625.68,10.25,436.232,Nucleotide
Glucose,C16H4N1O4,933.03,1.06,678.262,Amide
Glucose,C7H24N4O2,727.3,5.88,394.455,Lipid
Aspirin,C17H38N2O10,192.35,4.57,916.795,Carbohydrate
Dopamine,C6H13N4O5,219.97,N/A,109.69,Organic Compound
Adrenaline,C16H12N5O0,711.64,1.7,941.079,Alkaloid
Serotonin,C13H5N1O6,591.61,N/A,942.189,Amide
Dopamine,C8H26N1O8,761.32,13.2,614.082,Nucleotide
Cholesterol,C4H31N3O2,870.28,1.76,873.02,Neurotransmitter
Glucose,C4H20N1O4,272.68,13.51,498.505,Alcohol
Adrenaline,C12H32N1O3,846.03,N/A,347.737,Amide
Glucose,C2H30N2O5,492.68,N/A,631.249,Alkaloid
Cholesterol,C4H22N1O6,699.18,1.62,812.378,Nucleotide
Dopamine,C3H4N4O10,769.5,12.43,558.985,Alkaloid
Serotonin,C9H39N2O2,814.81,7.86,315.295,Neurotransmitter
Caffeine,C19H8N1O5,867.87,11.0,274.39,Lipid
Glucose,C5H7N0O8,258.99,4.57,475.37,Organic Compound
Cholesterol,C19H7N3O9,340.24,4.37,87.974,Alkaloid
Adrenaline,C18H11N0O3,394.42,N/A,378.878,Amide
Urea,C17H3N0O3,244.3,N/A,586.775,Hormone
Adenosine triphosphate,C16H3N4O7,379.21,2.24,335.703,Hormone
Adenosine triphosphate,C3H25N4O1,503.29,1.4,440.166,Alkaloid
Aspirin,C4H8N3O7,234.31,9.33,571.204,Amide
Aspirin,C12H1N5O6,75.51,7.59,508.954,Alkaloid
Urea,C2H5N3O0,929.67,9.17,943.647,Lipid
Cholesterol,C4H16N5O7,262.16,N/A,614.837,Alkaloid
Aspirin,C10H16N2O1,191.12,N/A,786.579,Neurotransmitter
Adenosine triphosphate,C16H22N1O3,679.13,N/A,977.138,Organic Compound
Adrenaline,C5H25N0O10,141.9,13.17,428.758,Organic Compound
Serotonin,C20H6N3O3,734.36,5.18,623.805,Amide
Glucose,C11H35N3O7,600.06,7.71,843.132,Alcohol
Aspirin,C10H22N3O3,895.63,1.06,688.335,Carbohydrate
Cholesterol,C1H17N4O8,566.9,7.75,701.856,Neurotransmitter
Glucose,C4H31N4O8,808.87,12.95,216.188,Alkaloid
Aspirin,C20H30N0O3,946.81,N/A,650.465,Neurotransmitter
Dopamine,C14H23N1O8,865.93,N/A,814.212,Nucleotide
Adenosine triphosphate,C3H20N1O1,596.37,N/A,999.148,Organic Compound
Adrenaline,C16H19N5O1,139.02,13.14,913.713,Organic Compound
Adrenaline,C18H16N5O7,907.06,11.24,94.935,Organic Compound
Dopamine,C16H30N2O1,886.29,N/A,226.121,Nucleotide
Ethanol,C2H2N1O7,832.24,12.7,30.287,Alcohol
Cholesterol,C14H8N4O2,986.94,1.42,871.389,Amide
Cholesterol,C3H12N4O10,318.36,N/A,640.071,Amide
Aspirin,C19H9N0O5,939.45,2.16,495.547,Alcohol
Adenosine triphosphate,C20H15N2O4,406.85,1.61,962.521,Hormone
Aspirin,C10H39N2O2,720.89,6.74,719.488,Neurotransmitter
Ethanol,C13H38N1O0,289.52,9.4,455.499,Organic Compound
Ethanol,C4H7N5O6,650.96,13.93,114.911,Alkaloid
Glucose,C16H11N4O8,399.66,11.32,569.347,Hormone
Urea,C6H5N4O8,614.76,1.37,659.619,Organic Compound
Serotonin,C4H7N3O8,786.63,11.89,374.15,Alcohol
Glucose,C2H19N4O10,333.1,3.67,379.828,Hormone
Dopamine,C18H24N1O10,719.12,13.36,437.601,Alkaloid
Serotonin,C8H33N1O3,473.31,N/A,799.681,Lipid
Serotonin,C8H37N3O2,959.37,8.57,123.359,Amide
Caffeine,C16H17N1O9,375.83,10.5,498.451,Nucleotide
Aspirin,C12H15N1O6,836.41,4.3,996.2,Lipid
Aspirin,C20H18N1O1,361.59,2.37,527.077,Carbohydrate
Dopamine,C19H33N5O4,738.11,1.55,374.975,Organic Compound
Urea,C14H38N3O8,963.98,N/A,6.442,Hormone
Glucose,C8H13N3O1,283.23,N/A,772.656,Alkaloid
Urea,C14H27N4O4,82.71,13.39,193.706,Amide
Caffeine,C12H34N2O6,546.83,7.2,273.673,Amide
Aspirin,C8H20N4O7,135.36,N/A,784.023,Alkaloid
Urea,C8H17N2O4,818.74,7.54,556.855,Hormone
Cholesterol,C9H30N5O0,430.45,N/A,325.837,Neurotransmitter
Serotonin,C9H1N5O8,114.42,6.86,758.103,Carbohydrate
Caffeine,C18H20N5O6,628.81,9.27,639.59,Nucleotide
Ethanol,C3H10N4O9,180.38,6.54,784.567,Neurotransmitter
Adenosine triphosphate,C14H6N3O5,314.53,5.35,429.127,Alcohol
Urea,C1H11N1O6,375.17,1.88,90.704,Carbohydrate
Cholesterol,C5H32N4O3,399.1,6.37,8.357,Alkaloid
Caffeine,C5H18N2O7,121.21,2.86,340.709,Carbohydrate
Adrenaline,C12H32N2O0,260.68,2.95,546.65,Neurotransmitter
Cholesterol,C8H4N3O3,948.71,N/A,90.437,Amide
Cholesterol,C1H20N1O5,809.42,1.85,835.816,Alkaloid
Dopamine,C3H6N0O0,176.54,3.03,330.37,Organic Compound
Urea,C3H21N3O10,582.49,12.92,433.604,Alkaloid
Cholesterol,C6H16N2O9,494.35,N/A,983.198,Lipid
Ethanol,C2H22N1O7,758.33,N/A,214.245,Neurotransmitter
Dopamine,C14H40N1O10,341.91,8.99,125.33,Amide
Caffeine,C6H29N2O10,91.68,4.1,417.992,Carbohydrate
Adenosine triphosphate,C6H36N2O7,367.2,6.15,401.218,Carbohydrate
Aspirin,C7H1N3O3,110.85,3.32,401.484,Hormone
Adrenaline,C5H12N1O2,111.66,4.29,955.838,Organic Compound
Caffeine,C2H11N0O9,192.97,12.73,175.227,Nucleotide
Adenosine triphosphate,C16H19N1O9,602.72,N/A,929.438,Lipid
Ethanol,C6H28N0O1,541.72,13.76,433.92,Alkaloid
Caffeine,C2H2N4O8,254.57,5.43,590.929,Neurotransmitter
Caffeine,C15H9N0O1,515.42,N/A,501.213,Nucleotide
Glucose,C2H21N0O10,834.63,N/A,587.403,Alcohol
Glucose,C4H15N4O4,907.69,5.85,442.647,Lipid
Ethanol,C14H29N0O0,584.2,5.41,117.51,Nucleotide
Adenosine triphosphate,C8H18N4O5,949.45,N/A,545.762,Alcohol
Glucose,C5H19N4O4,813.21,2.08,680.215,Hormone
Adrenaline,C1H12N0O9,353.91,N/A,131.563,Hormone
Glucose,C18H36N2O9,331.45,11.19,409.057,Neurotransmitter
Dopamine,C15H27N2O7,872.36,1.3,557.714,Alcohol
Glucose,C17H13N3O0,770.61,N/A,420.01,Organic Compound
Dopamine,C3H22N0O7,657.26,10.32,517.049,Organic Compound
Urea,C17H28N1O4,57.12,4.21,422.659,Amide
Caffeine,C4H21N4O0,799.49,3.37,457.048,Hormone
Dopamine,C16H4N2O10,785.38,N/A,681.478,Alkaloid
Urea,C10H40N0O10,432.26,N/A,542.05,Hormone
Adenosine triphosphate,C20H29N4O7,832.09,12.03,56.693,Alkaloid
