compound,formula,mw,pka,solubility_mg_ml,class
Adrenaline,C18H12N0O6,552.49,11.24,190.399,Alkaloid
Adenosine triphosphate,C10H13N5O9,748.93,5.06,528.794,Hormone
Aspirin,C10H22N4O1,822.93,N/A,654.14,Alkaloid
Urea,C2H20N0O10,634.77,5.46,206.201,Nucleotide
Dopamine,C12H13N4O7,618.58,9.69,933.631,Alkaloid
Cholesterol,C17H24N3O0,882.9,10.73,989.794,Carbohydrate
Caffeine,C5H32N5O1,223.62,9.82,354.503,Amide
Glucose,C20H29N2O9,314.4,2.26,980.61,Neurotransmitter
Adrenaline,C6H38N4O2,246.36,N/A,313.831,Hormone
Urea,C1H6N0O9,688.34,1.63,306.444,Hormone
Serotonin,C17H12N1O6,372.23,N/A,219.335,Organic Compound
Ethanol,C10H39N4O5,488.93,3.78,570.486,Alcohol
Adrenaline,C7H39N4O4,318.02,3.53,883.323,Alkaloid
Urea,C18H29N1O3,358.5,8.45,521.354,Organic Compound
Caffeine,C6H24N4O5,907.6,N/A,98.493,Alkaloid
Adenosine triphosphate,C1H32N1O9,112.72,N/A,816.01,Amide
Dopamine,C8H11N1O1,292.74,N/A,574.827,Alkaloid
Adrenaline,C9H35N2O8,92.32,9.55,164.907,Lipid
Serotonin,C13H33N0O5,273.45,2.61,828.079,Organic Compound
Glucose,C5H14N4O5,891.04,6.59,534.707,Carbohydrate
Adenosine triphosphate,C17H40N4O9,889.73,2.07,601.321,Alcohol
Glucose,C14H37N4O1,742.52,5.0,130.583,Lipid
Glucose,C9H32N3O0,857.35,10.99,67.914,Organic Compound
Glucose,C6H12N2O1,268.13,2.85,777.884,Alkaloid
Serotonin,C10H24N3O10,658.66,N/A,477.921,Carbohydrate
Ethanol,C20H32N1O1,131.9,7.11,748.505,Neurotransmitter
Serotonin,C2H35N0O0,844.04,3.29,214.053,Nucleotide
Adrenaline,C11H12N5O4,391.43,6.95,756.808,Alkaloid
Ethanol,C13H9N0O6,311.24,N/A,940.427,Alkaloid
Urea,C3H4N3O6,655.25,2.66,477.612,Amide
Aspirin,C7H34N4O0,50.99,10.31,313.569,Lipid
Urea,C10H29N2O10,166.73,5.59,817.663,Lipid
Ethanol,C12H30N3O4,593.78,8.2,135.679,Carbohydrate
Cholesterol,C18H28N3O6,648.15,5.7,34.608,Lipid
Dopamine,C18H6N1O8,435.81,2.53,718.132,Organic Compound
Caffeine,C16H25N2O0,894.54,13.65,702.876,Neurotransmitter
Glucose,C16H30N3O5,439.11,N/A,697.445,Carbohydrate
Adrenaline,C10H31N3O7,283.14,8.97,714.872,Amide
Adenosine triphosphate,C11H17N3O8,156.27,3.39,222.908,Neurotransmitter
Ethanol,C15H15N1O0,731.42,9.74,320.936,Amide
Adenosine triphosphate,C2H22N1O5,611.53,1.38,935.498,Alkaloid
Aspirin,C7H4N4O1,962.3,N/A,71.616,Neurotransmitter
Urea,C9H23N5O10,118.12,8.04,338.906,Hormone
Adrenaline,C19H31N4O2,827.98,6.48,311.362,Amide
Cholesterol,C14H19N2O7,773.12,13.6,435.407,Alcohol
Adrenaline,C7H37N0O8,560.96,4.92,101.165,Alkaloid
Urea,C4H23N4O1,695.34,N/A,861.125,Hormone
Cholesterol,C7H17N5O3,358.58,9.97,363.563,Organic Compound
Serotonin,C19H31N3O3,569.68,13.95,125.893,Alcohol
Adenosine triphosphate,C14H25N4O7,961.75,11.41,70.342,Amide
Urea,C11H31N4O9,447.89,5.49,659.534,Neurotransmitter
Adrenaline,C14H9N2O4,501.34,2.36,282.137,Nucleotide
Aspirin,C15H37N3O0,578.52,12.65,470.956,Alkaloid
Adrenaline,C12H15N0O2,645.96,N/A,534.724,Hormone
Ethanol,C8H9N2O10,658.74,12.22,342.447,Lipid
Adenosine triphosphate,C11H1N0O10,568.21,N/A,640.177,Hormone
Dopamine,C5H37N3O3,306.0,6.63,936.458,Hormone
Ethanol,C1H39N0O0,692.7,2.27,110.073,Neurotransmitter
Dopamine,C2H37N3O2,621.14,7.37,948.712,Alkaloid
Serotonin,C3H19N3O1,382.94,N/A,445.546,Alcohol
Urea,C18H13N4O10,749.53,5.78,316.664,Alcohol
Aspirin,C11H12N1O6,960.47,N/A,580.784,Nucleotide
Glucose,C12H21N5O3,526.13,10.82,713.093,Alkaloid
Caffeine,C6H33N3O3,708.66,7.51,410.291,Neurotransmitter
Ethanol,C9H29N4O2,620.52,13.89,795.146,Hormone
Dopamine,C6H5N1O3,377.96,2.73,518.99,Nucleotide
Ethanol,C7H17N2O9,393.29,3.22,778.059,Neurotransmitter
Glucose,C15H3N0O2,811.8,13.96,947.81,Alkaloid
Cholesterol,C19H24N4O7,972.42,7.22,561.687,Organic Compound
Serotonin,C10H37N2O8,233.24,7.64,202.489,Hormone
Ethanol,C13H28N2O8,811.65,12.5,940.137,Lipid
Serotonin,C14H35N3O1,775.73,N/A,640.791,Nucleotide
Ethanol,C1H20N1O1,883.1,N/A,718.26,Lipid
Urea,C3H25N2O6,94.5,1.21,974.512,Alcohol
Caffeine,C9H5N0O6,850.75,N/A,41.488,Nucleotide
Adenosine triphosphate,C17H22N4O10,939.08,5.97,301.728,Lipid
Dopamine,C9H22N5O8,541.51,4.01,684.19,Nucleotide
Glucose,C6H35N1O4,693.11,N/A,179.095,Organic Compound
Ethanol,C17H6N4O5,211.83,N/A,915.677,Neurotransmitter
Glucose,C14H3N2O10,924.72,8.44,305.327,Nucleotide
Dopamine,C9H3N5O3,151.23,11.42,575.225,Nucleotide
Urea,C16H8N5O10,993.15,10.89,250.385,Organic Compound
Ethanol,C9H19N3O8,125.45,10.36,953.867,Neurotransmitter
Caffeine,C8H9N4O4,388.3,N/A,527.111,Alcohol
Ethanol,C5H28N0O9,316.35,N/A,61.528,Hormone
Dopamine,C11H2N5O1,161.15,8.24,548.763,Carbohydrate
Caffeine,C1H16N4O1,451.13,N/A,153.133,Neurotransmitter
Adenosine triphosphate,C9H21N1O0,742.19,5.53,194.698,Alcohol
Aspirin,C11H30N3O3,451.4,12.26,114.242,Amide
Cholesterol,C20H7N3O5,623.34,13.19,385.26,Hormone
Dopamine,C3H19N1O5,243.17,12.18,909.141,Nucleotide
Aspirin,C17H34N1O9,400.12,8.34,503.146,Hormone
Ethanol,C12H16N2O2,634.47,10.78,842.311,Nucleotide
Glucose,C5H22N5O10,916.28,2.53,64.066,Neurotransmitter
Caffeine,C17H22N5O4,395.53,7.41,197.567,Alkaloid
Aspirin,C4H4N0O1,398.12,1.4,104.993,Nucleotide
Aspirin,C10H39N0O4,587.53,6.33,528.544,Neurotransmitter
Adenosine triphosphate,C19H25N2O6,253.72,5.52,448.599,Lipid
Adrenaline,C7H17N0O9,588.36,13.23,33.609,Lipid
Adenosine triphosphate,C6H1N2O5,730.62,4.44,889.871,Amide
Adenosine triphosphate,C19H29N4O7,970.07,6.25,190.019,Carbohydrate
Serotonin,C1H28N5O8,112.53,N/A,101.557,Carbohydrate
Caffeine,C17H11N5O8,961.7,10.53,595.374,Organic Compound
Adrenaline,C2H38N5O7,537.4,N/A,876.105,Lipid
Serotonin,C6H34N1O5,949.16,1.88,537.593,Organic Compound
Caffeine,C16H31N5O9,652.79,3.34,759.65,Carbohydrate
Adenosine triphosphate,C4H1N0O9,743.46,13.64,568.142,Lipid
Glucose,C12H11N0O2,586.94,9.22,786.876,Hormone
Adenosine triphosphate,C18H10N0O10,789.29,9.79,723.924,Carbohydrate
Dopamine,C12H25N5O3,269.46,5.46,892.95,Lipid
Serotonin,C6H25N0O8,896.99,10.28,871.155,Hormone
Ethanol,C2H3N1O3,415.68,2.86,5.81,Lipid
Dopamine,C15H12N3O7,156.41,11.39,930.838,Lipid
Serotonin,C5H4N1O1,113.43,9.44,618.64,Alkaloid
Aspirin,C8H26N0O2,581.54,2.62,322.224,Carbohydrate
Urea,C19H24N4O0,501.19,N/A,881.421,Nucleotide
Adrenaline,C10H23N4O9,483.01,7.77,16.358,Nucleotide
Cholesterol,C15H24N4O3,410.46,8.27,258.525,Alcohol
Ethanol,C5H1N4O2,603.51,N/A,304.733,Nucleotide
Dopamine,C13H21N3O8,984.46,8.15,94.932,Amide
Ethanol,C20H35N3O1,148.35,5.39,31.111,Alcohol
Glucose,C13H3N4O0,452.33,N/A,115.704,Amide
Glucose,C17H18N5O7,341.25,5.1,124.173,Hormone
