compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C14H8N5O9,270.32,4.41,53.179,Alcohol
Adrenaline,C2H11N3O3,225.34,13.93,768.233,Hormone
Dopamine,C9H22N2O3,859.06,10.47,97.487,Neurotransmitter
Dopamine,C17H5N4O9,677.27,6.31,101.486,Lipid
Glucose,C16H20N4O7,96.73,1.35,316.153,Alcohol
Aspirin,C6H8N1O2,562.83,2.11,24.491,Hormone
Caffeine,C19H20N0O3,497.02,10.48,44.54,Amide
Urea,C19H8N3O8,811.29,N/A,240.022,Carbohydrate
Ethanol,C4H6N5O3,74.76,3.55,266.396,Carbohydrate
Adrenaline,C3H13N3O0,94.75,1.05,154.625,Alcohol
Serotonin,C18H36N2O0,115.09,1.21,625.65,Amide
Adrenaline,C17H36N2O1,401.96,1.29,998.719,Neurotransmitter
Serotonin,C19H23N4O0,559.88,8.04,405.459,Organic Compound
Glucose,C7H23N0O8,509.4,4.37,787.389,Nucleotide
Urea,C11H2N3O2,211.36,4.78,465.625,Amide
Urea,C3H32N5O7,972.7,N/A,564.379,Alcohol
Ethanol,C6H35N2O7,395.94,7.42,270.502,Hormone
Serotonin,C19H24N3O10,544.26,10.63,525.229,Hormone
Glucose,C6H34N3O2,974.22,10.49,354.367,Alcohol
Adrenaline,C9H22N0O3,455.02,7.02,87.848,Carbohydrate
Caffeine,C9H11N4O3,763.09,7.75,39.185,Amide
Ethanol,C10H17N4O3,257.86,6.17,234.162,Carbohydrate
Adrenaline,C4H6N2O6,514.51,10.54,930.871,Lipid
Cholesterol,C11H33N0O6,755.04,N/A,410.91,Organic Compound
Adenosine triphosphate,C1H15N4O6,958.46,6.29,68.817,Hormone
Caffeine,C1H32N2O0,168.95,6.94,838.448,Amide
Glucose,C14H18N1O7,716.43,7.53,984.545,Carbohydrate
Caffeine,C5H25N2O7,218.18,N/A,330.824,Neurotransmitter
Ethanol,C9H23N4O10,631.09,6.54,220.119,Nucleotide
Serotonin,C1H15N2O10,51.19,8.41,30.607,Lipid
Glucose,C9H27N0O6,152.64,2.57,573.484,Alkaloid
Dopamine,C18H24N1O9,852.84,11.18,924.667,Alcohol
Adenosine triphosphate,C14H35N1O7,680.02,10.75,699.268,Lipid
Serotonin,C11H26N2O1,171.13,11.29,920.276,Carbohydrate
Urea,C11H20N1O0,955.49,9.18,560.268,Nucleotide
Serotonin,C15H36N5O6,992.22,N/A,937.339,Nucleotide
Glucose,C15H30N2O4,422.18,3.08,272.421,Carbohydrate
Adrenaline,C9H33N3O10,617.95,N/A,452.991,Alcohol
Cholesterol,C15H36N0O8,624.75,5.87,738.826,Alkaloid
Serotonin,C4H12N1O0,741.45,5.16,939.563,Neurotransmitter
Urea,C4H39N5O10,60.05,2.4,532.255,Organic Compound
Adrenaline,C8H1N5O1,85.28,13.77,658.219,Nucleotide
Ethanol,C3H27N3O7,692.26,1.49,981.758,Hormone
Serotonin,C13H32N3O10,544.78,1.68,354.381,Alkaloid
Glucose,C8H21N4O6,238.17,5.99,221.176,Alcohol
Serotonin,C15H36N3O8,365.64,N/A,797.787,Hormone
Serotonin,C12H12N1O4,307.36,6.95,431.6,Carbohydrate
Dopamine,C6H14N3O10,223.99,N/A,200.322,Hormone
Dopamine,C18H22N2O2,68.81,11.3,912.814,Alcohol
Aspirin,C18H2N5O3,259.59,3.4,597.695,Neurotransmitter
Glucose,C17H20N5O2,760.57,3.05,255.48,Neurotransmitter
Adrenaline,C16H22N1O6,579.55,7.88,235.867,Neurotransmitter
Serotonin,C9H40N2O4,443.99,N/A,415.703,Alcohol
Caffeine,C19H9N1O1,728.08,N/A,609.285,Nucleotide
Urea,C9H26N1O1,394.27,N/A,967.164,Alcohol
Cholesterol,C17H26N3O2,582.8,5.76,203.118,Carbohydrate
Adenosine triphosphate,C18H30N0O3,629.24,N/A,355.597,Alcohol
Glucose,C15H22N5O0,431.03,3.03,838.462,Neurotransmitter
Dopamine,C18H36N2O6,189.12,10.84,369.711,Organic Compound
Cholesterol,C15H35N3O2,141.75,11.15,847.791,Alkaloid
