compound,formula,mw,pka,solubility_mg_ml,class
Urea,C14H32N3O1,633.03,8.48,785.567,Lipid
Cholesterol,C6H31N0O9,924.56,10.65,147.794,Neurotransmitter
Adenosine triphosphate,C16H18N3O8,381.55,13.73,204.329,Hormone
Adrenaline,C10H32N5O1,170.54,10.45,664.12,Amide
Caffeine,C18H35N0O8,192.2,12.95,811.498,Hormone
Caffeine,C17H36N2O7,115.67,3.22,123.573,Amide
Serotonin,C8H40N1O9,470.17,10.23,311.029,Lipid
Urea,C15H24N0O0,317.36,8.73,249.869,Alcohol
Aspirin,C9H33N3O8,649.64,6.73,402.591,Alcohol
Dopamine,C2H1N5O3,141.85,11.66,267.478,Lipid
Urea,C13H15N0O10,659.16,N/A,430.965,Lipid
Dopamine,C10H36N4O4,121.93,N/A,396.047,Amide
Glucose,C9H17N1O4,886.2,N/A,340.353,Alcohol
Urea,C6H2N3O9,51.42,12.97,578.505,Organic Compound
Ethanol,C7H9N3O6,290.29,13.92,329.468,Alcohol
Aspirin,C6H1N1O3,619.82,12.14,129.839,Neurotransmitter
Glucose,C3H29N0O5,746.45,13.67,374.346,Neurotransmitter
Urea,C9H9N1O9,628.68,3.48,408.597,Lipid
Cholesterol,C4H36N1O3,346.46,4.24,66.583,Hormone
Caffeine,C7H34N2O9,64.62,N/A,255.986,Amide
Adrenaline,C16H36N2O5,999.24,N/A,678.402,Organic Compound
Adrenaline,C9H29N2O3,688.14,13.76,17.258,Alcohol
Serotonin,C12H29N2O9,331.43,11.59,521.878,Nucleotide
Urea,C20H38N3O1,821.03,9.08,921.478,Alcohol
Adenosine triphosphate,C13H21N4O1,796.85,N/A,132.884,Alkaloid
Adenosine triphosphate,C2H26N2O9,155.33,10.95,283.694,Alcohol
Ethanol,C5H31N1O8,951.3,3.2,924.117,Lipid
Adenosine triphosphate,C16H30N0O3,79.58,1.07,417.127,Nucleotide
Adrenaline,C20H38N1O3,880.53,10.79,431.334,Hormone
Ethanol,C11H13N0O7,54.08,2.53,840.723,Amide
Adrenaline,C9H26N5O0,319.44,8.65,281.786,Carbohydrate
Ethanol,C2H9N2O6,840.81,N/A,403.401,Organic Compound
Urea,C3H3N4O1,888.87,9.9,539.891,Lipid
Caffeine,C13H13N1O0,455.98,10.12,251.393,Hormone
Aspirin,C19H38N1O2,422.52,5.54,81.223,Alcohol
Adrenaline,C18H8N4O10,272.72,11.72,937.979,Neurotransmitter
Ethanol,C9H32N0O8,268.1,12.15,471.098,Organic Compound
Adenosine triphosphate,C18H38N5O1,960.62,13.04,445.115,Organic Compound
Serotonin,C6H10N3O10,168.86,13.92,343.661,Carbohydrate
Cholesterol,C6H39N1O7,168.09,1.88,797.069,Carbohydrate
Dopamine,C17H4N3O1,589.04,13.98,924.069,Amide
Glucose,C19H25N0O4,451.71,N/A,532.483,Alkaloid
Caffeine,C9H35N4O0,564.99,13.55,690.473,Neurotransmitter
Serotonin,C11H6N1O8,439.5,10.8,40.226,Nucleotide
Ethanol,C13H11N4O9,76.68,N/A,894.872,Neurotransmitter
Cholesterol,C14H28N0O5,962.65,1.03,786.163,Carbohydrate
Glucose,C7H9N3O0,438.03,12.45,199.114,Organic Compound
Glucose,C15H11N2O10,235.62,12.05,148.993,Alcohol
Cholesterol,C17H27N0O1,271.39,11.63,891.952,Amide
Aspirin,C14H30N3O2,65.86,6.38,305.572,Organic Compound
Dopamine,C1H31N5O4,82.62,2.21,100.46,Amide
Urea,C1H1N1O5,762.55,12.83,50.277,Neurotransmitter
Cholesterol,C9H22N4O3,453.74,12.77,518.025,Organic Compound
Ethanol,C2H38N2O3,722.94,9.37,292.136,Nucleotide
Serotonin,C13H29N0O2,530.29,13.29,365.025,Neurotransmitter
Adrenaline,C19H29N5O2,880.91,8.79,440.715,Alkaloid
Glucose,C9H19N2O3,336.86,N/A,87.432,Carbohydrate
Cholesterol,C5H34N2O8,867.07,7.48,282.13,Hormone
Ethanol,C4H6N4O6,73.84,4.47,248.271,Organic Compound
Glucose,C14H40N1O1,603.47,7.38,159.743,Alcohol
Ethanol,C13H4N1O5,482.07,5.36,477.005,Carbohydrate
Dopamine,C1H33N2O8,355.64,8.07,721.244,Neurotransmitter
Adrenaline,C11H1N4O3,785.1,1.91,592.646,Hormone
Caffeine,C7H27N4O4,265.85,1.48,818.436,Alkaloid
Dopamine,C5H4N5O8,821.87,2.91,412.329,Neurotransmitter
Cholesterol,C10H16N4O9,991.28,4.6,169.735,Organic Compound
Adrenaline,C20H15N4O8,102.88,8.78,974.509,Hormone
Dopamine,C1H33N0O2,276.83,13.62,353.697,Nucleotide
Aspirin,C1H25N3O5,51.55,2.0,614.818,Alkaloid
Urea,C11H9N4O9,157.97,12.27,500.751,Amide
Aspirin,C11H9N3O7,733.87,2.76,392.59,Lipid
Urea,C17H1N2O0,126.07,13.22,428.769,Nucleotide
Adenosine triphosphate,C19H38N1O6,162.55,N/A,53.709,Amide
Glucose,C18H10N2O2,543.22,5.76,401.206,Neurotransmitter
Adrenaline,C17H26N3O6,233.1,9.53,55.325,Organic Compound
Glucose,C4H13N1O9,886.08,N/A,810.169,Lipid
Dopamine,C16H6N4O10,482.77,2.55,38.856,Alcohol
Adenosine triphosphate,C4H14N3O5,765.32,3.38,663.184,Lipid
Cholesterol,C2H1N4O6,268.85,6.03,931.009,Lipid
Adenosine triphosphate,C15H3N0O8,872.88,13.57,210.444,Nucleotide
Dopamine,C3H10N1O2,650.33,4.52,650.764,Neurotransmitter
Caffeine,C8H11N3O10,856.31,N/A,864.894,Neurotransmitter
Glucose,C18H19N1O2,587.36,11.24,532.141,Lipid
Aspirin,C18H30N0O1,565.47,N/A,690.221,Carbohydrate
Adenosine triphosphate,C15H7N1O1,759.55,6.52,106.69,Organic Compound
Adenosine triphosphate,C19H23N0O5,829.28,8.7,799.847,Neurotransmitter
Caffeine,C19H15N5O10,271.78,12.08,694.865,Alcohol
Caffeine,C7H18N1O4,73.24,12.9,364.036,Nucleotide
Aspirin,C1H37N4O6,485.32,11.97,964.444,Alcohol
Serotonin,C6H23N5O7,757.64,N/A,591.186,Alkaloid
Caffeine,C20H28N5O7,426.91,N/A,757.543,Alcohol
Cholesterol,C12H1N5O5,479.43,10.67,840.024,Amide
Cholesterol,C1H5N0O5,448.34,7.57,734.155,Carbohydrate
Serotonin,C11H10N3O5,200.0,5.51,955.776,Alcohol
Caffeine,C8H31N3O8,986.62,4.89,564.028,Amide
Serotonin,C15H20N1O5,777.39,8.47,212.491,Alcohol
Dopamine,C10H34N1O6,493.62,9.22,399.212,Amide
Caffeine,C2H16N0O9,77.81,3.46,525.174,Amide
Glucose,C7H13N3O0,340.3,N/A,159.161,Alkaloid
Glucose,C8H17N2O8,416.29,1.09,304.332,Amide
Ethanol,C17H15N5O3,885.49,N/A,195.821,Alkaloid
Glucose,C9H16N0O6,689.52,5.69,677.452,Neurotransmitter
Ethanol,C12H35N2O2,423.02,11.31,38.976,Lipid
Dopamine,C19H1N1O3,154.12,4.7,63.584,Organic Compound
Cholesterol,C13H10N5O6,394.54,7.29,359.289,Neurotransmitter
Urea,C1H1N1O3,387.65,N/A,407.429,Amide
Serotonin,C18H9N3O2,123.08,N/A,928.601,Neurotransmitter
Urea,C15H12N5O10,855.14,5.83,219.109,Alcohol
Dopamine,C10H12N1O7,575.45,6.61,473.052,Hormone
Aspirin,C5H37N2O1,317.29,8.33,204.358,Alkaloid
Urea,C8H6N4O1,969.5,7.13,573.568,Hormone
Adenosine triphosphate,C13H4N5O7,455.73,11.82,326.469,Hormone
Glucose,C18H7N5O0,929.99,11.93,661.011,Lipid
Urea,C3H12N5O0,504.29,N/A,738.912,Amide
Cholesterol,C3H23N2O2,657.78,N/A,804.638,Nucleotide
Adenosine triphosphate,C15H5N3O10,422.14,14.0,824.826,Hormone
Cholesterol,C15H23N1O2,572.85,5.62,246.255,Alkaloid
Caffeine,C6H1N1O1,208.34,5.77,680.508,Neurotransmitter
Adenosine triphosphate,C15H11N3O2,240.87,8.2,400.075,Neurotransmitter
Aspirin,C8H28N5O4,987.7,12.85,996.262,Carbohydrate
Urea,C13H25N3O7,866.72,N/A,453.865,Hormone
Dopamine,C11H26N5O2,338.94,5.82,580.645,Organic Compound
Glucose,C3H21N0O8,685.76,4.75,657.58,Alcohol
Ethanol,C4H12N1O9,772.22,2.42,62.076,Carbohydrate
Adrenaline,C10H17N5O0,669.45,3.05,973.384,Hormone
Cholesterol,C1H38N2O0,337.53,2.26,927.11,Amide
Serotonin,C9H9N1O9,300.29,1.21,538.163,Hormone
Adenosine triphosphate,C14H3N2O5,976.69,N/A,721.777,Nucleotide
Aspirin,C5H3N1O4,286.79,4.86,156.645,Organic Compound
Serotonin,C17H28N4O7,748.35,13.38,772.692,Alkaloid
Urea,C20H26N0O1,460.28,9.66,535.124,Hormone
Ethanol,C17H24N0O5,281.27,N/A,987.038,Organic Compound
Ethanol,C14H6N4O10,709.56,11.71,588.094,Amide
Dopamine,C19H12N1O3,988.65,4.79,235.701,Neurotransmitter
Adenosine triphosphate,C16H2N2O2,93.23,12.79,396.549,Lipid
Dopamine,C1H7N2O9,585.1,6.86,136.691,Neurotransmitter
Ethanol,C7H4N1O5,341.03,N/A,458.819,Amide
Serotonin,C14H32N0O9,722.63,1.4,444.283,Neurotransmitter
Adrenaline,C15H5N0O4,629.49,N/A,641.141,Lipid
Dopamine,C4H34N2O5,67.43,12.97,688.547,Lipid
Glucose,C4H38N4O1,141.03,6.42,812.522,Carbohydrate
Adrenaline,C11H8N2O0,75.1,11.31,353.799,Alcohol
Serotonin,C17H26N3O8,651.09,5.84,115.987,Neurotransmitter
Ethanol,C8H27N2O2,273.49,2.97,399.283,Alkaloid
Glucose,C4H27N1O2,969.27,1.79,520.942,Alkaloid
Aspirin,C16H28N1O0,523.2,1.72,228.55,Hormone
Serotonin,C20H40N3O5,885.48,13.01,594.923,Alkaloid
Adenosine triphosphate,C14H9N5O1,952.6,5.41,109.077,Hormone
Caffeine,C1H5N5O7,840.55,10.11,276.766,Alkaloid
Adrenaline,C17H26N1O6,689.69,N/A,929.972,Neurotransmitter
Urea,C15H28N3O1,777.87,2.42,660.968,Organic Compound
Urea,C11H37N5O3,612.68,8.87,971.061,Organic Compound
Adrenaline,C9H2N4O6,221.84,N/A,812.12,Alkaloid
Aspirin,C15H39N0O3,457.45,12.74,241.914,Lipid
Glucose,C11H4N4O9,85.83,3.29,828.733,Nucleotide
Adenosine triphosphate,C16H38N3O1,768.8,7.62,474.238,Amide
Adrenaline,C9H19N3O4,972.25,13.81,765.691,Nucleotide
Serotonin,C16H36N3O6,347.54,N/A,305.434,Alkaloid
Serotonin,C19H12N5O2,114.1,10.81,26.999,Amide
Cholesterol,C15H20N1O0,944.68,N/A,881.914,Lipid
Urea,C8H24N4O4,285.51,6.86,48.811,Carbohydrate
Cholesterol,C15H23N2O5,353.09,N/A,915.189,Lipid
Ethanol,C4H13N5O6,851.45,6.74,216.453,Hormone
Caffeine,C13H18N0O1,368.5,12.41,458.723,Hormone
Ethanol,C16H17N3O10,116.02,6.91,88.741,Alcohol
Adrenaline,C4H18N3O3,475.68,6.26,4.081,Organic Compound
Serotonin,C20H25N2O10,583.32,13.33,556.309,Amide
Adrenaline,C3H37N2O9,894.06,N/A,472.636,Lipid
Caffeine,C20H9N0O0,525.67,9.06,525.421,Hormone
Glucose,C14H16N4O6,572.76,9.12,129.068,Nucleotide
Adrenaline,C19H35N1O8,693.26,1.69,386.765,Nucleotide
Adenosine triphosphate,C12H35N4O6,978.73,8.58,618.988,Neurotransmitter
Dopamine,C12H33N2O1,979.12,3.66,228.485,Organic Compound
Serotonin,C17H12N5O2,635.08,7.32,753.489,Nucleotide
Cholesterol,C18H10N1O5,833.53,N/A,375.176,Organic Compound
Serotonin,C7H25N1O3,793.72,5.18,231.942,Neurotransmitter
Dopamine,C16H33N4O5,693.32,9.93,315.82,Hormone
Urea,C8H13N0O10,221.35,10.61,340.18,Neurotransmitter
Aspirin,C12H28N4O8,345.28,N/A,371.525,Carbohydrate
Cholesterol,C16H9N3O8,723.7,4.24,186.706,Carbohydrate
Adrenaline,C4H22N4O2,327.75,12.76,759.293,Carbohydrate
Ethanol,C11H8N0O5,377.38,7.57,116.143,Hormone
Dopamine,C6H11N5O6,657.56,2.9,927.372,Organic Compound
Serotonin,C9H3N0O4,846.92,10.54,746.511,Nucleotide
Caffeine,C14H13N3O3,224.36,7.05,943.439,Neurotransmitter
Ethanol,C14H38N2O2,919.71,N/A,334.685,Alcohol
Aspirin,C6H28N4O3,66.41,13.89,994.475,Carbohydrate
Adenosine triphosphate,C8H7N5O10,920.82,6.3,3.957,Alcohol
Cholesterol,C19H8N3O2,160.56,N/A,791.089,Nucleotide
Dopamine,C16H38N3O3,645.6,N/A,555.507,Alkaloid
Caffeine,C11H2N4O4,473.56,1.63,584.618,Alkaloid
Adrenaline,C18H12N1O4,549.91,7.26,469.339,Neurotransmitter
Adenosine triphosphate,C4H15N3O6,763.99,7.33,310.196,Organic Compound
Dopamine,C15H33N1O4,228.04,5.04,492.308,Alkaloid
Aspirin,C18H38N0O4,969.3,10.51,927.577,Lipid
Caffeine,C14H33N2O6,96.32,11.29,21.542,Lipid
Urea,C6H34N5O2,712.52,13.65,940.438,Alcohol
Adenosine triphosphate,C10H24N1O7,600.45,11.61,663.771,Hormone
Dopamine,C2H29N5O1,648.44,N/A,558.66,Neurotransmitter
Ethanol,C10H38N1O0,696.85,3.51,502.621,Lipid
Urea,C3H21N5O10,608.98,8.41,396.098,Hormone
Aspirin,C18H26N3O5,992.71,7.46,300.397,Hormone
Glucose,C3H9N5O6,562.63,8.27,308.651,Lipid
Caffeine,C17H37N1O7,865.01,9.52,201.904,Hormone
Ethanol,C3H15N3O1,968.47,9.22,464.549,Hormone
Aspirin,C7H37N0O8,103.5,N/A,786.059,Alkaloid
Caffeine,C1H20N5O9,583.52,N/A,708.132,Lipid
Cholesterol,C16H23N0O0,206.87,11.93,578.586,Neurotransmitter
Cholesterol,C14H33N0O5,395.38,4.0,197.767,Alkaloid
Serotonin,C4H34N4O5,522.11,3.73,680.214,Hormone
Cholesterol,C17H32N1O4,621.37,2.93,807.198,Carbohydrate
Serotonin,C18H37N2O0,98.66,4.81,981.277,Lipid
Aspirin,C10H5N5O5,479.37,5.96,765.11,Carbohydrate
Urea,C4H22N4O9,83.28,N/A,85.03,Neurotransmitter
Adenosine triphosphate,C20H36N0O5,927.28,6.83,286.884,Hormone
Cholesterol,C8H11N4O7,962.44,11.92,543.161,Lipid
Ethanol,C6H3N2O0,435.29,9.29,387.353,Carbohydrate
Serotonin,C18H32N0O1,731.74,N/A,778.454,Lipid
Glucose,C20H29N1O4,542.01,8.79,504.608,Carbohydrate
Glucose,C20H6N5O0,327.72,6.06,132.119,Neurotransmitter
Adrenaline,C20H22N2O1,857.63,9.08,485.816,Neurotransmitter
Caffeine,C2H6N5O2,99.21,N/A,227.328,Alcohol
Serotonin,C3H7N3O0,67.27,1.12,113.234,Lipid
Glucose,C5H39N1O4,839.44,11.31,783.46,Nucleotide
Ethanol,C2H18N1O4,239.57,9.82,656.508,Lipid
Urea,C8H15N0O10,81.69,7.65,752.955,Alcohol
Ethanol,C16H2N2O9,507.1,12.92,155.315,Nucleotide
Serotonin,C7H32N5O5,501.15,8.31,73.356,Carbohydrate
Dopamine,C18H34N2O9,631.89,N/A,602.068,Amide
Aspirin,C14H25N2O8,535.91,8.15,767.666,Carbohydrate
Ethanol,C17H33N1O7,929.41,8.15,466.547,Neurotransmitter
Cholesterol,C5H3N4O6,771.84,1.81,837.905,Organic Compound
Cholesterol,C3H9N3O10,407.73,2.28,973.023,Lipid
Urea,C8H1N5O4,70.9,10.93,65.33,Alkaloid
Dopamine,C3H11N0O7,97.1,12.53,856.209,Lipid
Adrenaline,C4H30N0O8,691.65,9.21,692.002,Nucleotide
Urea,C8H4N1O6,725.48,8.6,815.283,Alkaloid
Glucose,C18H12N2O5,956.15,1.45,982.115,Nucleotide
Aspirin,C10H14N2O0,851.57,4.05,960.625,Neurotransmitter
Dopamine,C14H28N4O7,620.11,6.71,689.429,Amide
Adenosine triphosphate,C7H33N1O2,972.18,7.32,988.936,Hormone
Serotonin,C16H16N2O9,811.59,3.11,746.452,Organic Compound
Cholesterol,C13H7N5O7,227.55,N/A,705.768,Neurotransmitter
Adrenaline,C8H27N4O0,753.17,12.69,739.217,Amide
Urea,C6H13N1O3,738.52,2.48,832.661,Carbohydrate
Ethanol,C18H25N0O3,605.66,6.56,35.249,Alcohol
Adenosine triphosphate,C4H34N5O10,601.0,3.49,728.872,Nucleotide
Serotonin,C2H40N0O1,313.79,9.39,44.321,Carbohydrate
Adrenaline,C20H17N1O7,216.74,13.13,277.224,Lipid
Aspirin,C18H12N0O0,894.11,N/A,512.069,Amide
Caffeine,C2H2N3O3,731.33,12.16,690.534,Lipid
Cholesterol,C9H30N3O5,991.86,11.17,160.272,Lipid
Adenosine triphosphate,C12H8N0O2,874.47,10.12,708.221,Lipid
Caffeine,C6H30N1O7,215.84,11.97,572.804,Organic Compound
Ethanol,C9H1N3O8,117.5,5.11,935.287,Hormone
Adrenaline,C17H20N0O5,543.19,6.68,191.865,Lipid
Dopamine,C15H6N2O0,754.15,6.77,305.294,Alcohol
Adenosine triphosphate,C4H21N5O4,528.08,N/A,658.295,Organic Compound
Adrenaline,C1H8N5O10,641.58,7.83,332.403,Alkaloid
Adenosine triphosphate,C3H3N4O6,122.99,10.96,507.221,Carbohydrate
Aspirin,C7H14N4O6,416.35,N/A,805.207,Lipid
Adenosine triphosphate,C15H36N2O9,475.4,10.87,559.361,Amide
Caffeine,C14H16N3O10,649.71,9.2,436.2,Carbohydrate
Ethanol,C8H28N0O1,688.27,N/A,917.425,Nucleotide
Aspirin,C19H10N0O7,826.15,2.92,912.127,Alkaloid
Cholesterol,C15H19N3O0,947.84,6.03,925.627,Lipid
Dopamine,C19H19N0O0,888.88,11.46,716.447,Lipid
Aspirin,C3H3N0O10,878.07,12.42,77.961,Carbohydrate
Glucose,C5H7N4O6,909.26,N/A,364.382,Alcohol
Urea,C2H34N4O2,285.99,2.03,921.111,Alkaloid
Urea,C13H18N4O2,714.4,1.99,857.917,Organic Compound
Caffeine,C20H3N3O2,958.13,2.37,885.024,Alkaloid
Adrenaline,C9H40N2O1,75.18,3.51,23.574,Alkaloid
Aspirin,C20H26N2O3,334.11,10.0,777.577,Neurotransmitter
Glucose,C14H28N3O8,135.11,6.15,222.798,Neurotransmitter
Urea,C6H21N4O0,503.01,6.32,385.8,Carbohydrate
Cholesterol,C1H17N3O4,585.18,2.78,2.922,Neurotransmitter
Adrenaline,C18H22N5O10,194.69,10.85,232.166,Alcohol
Serotonin,C1H10N4O4,975.75,10.33,610.211,Lipid
Adrenaline,C8H28N4O5,699.23,N/A,639.474,Alkaloid
Dopamine,C20H9N5O7,638.83,3.18,499.732,Lipid
Dopamine,C9H26N2O8,676.21,12.33,808.145,Neurotransmitter
Serotonin,C8H8N3O2,262.55,11.1,415.716,Carbohydrate
Serotonin,C5H12N0O5,977.44,12.58,194.09,Nucleotide
