compound,formula,mw,pka,solubility_mg_ml,class
Adrenaline,C18H14N5O6,805.55,2.78,612.08,Neurotransmitter
Urea,C13H33N5O6,82.8,13.41,347.49,Alkaloid
Aspirin,C20H21N4O6,96.47,5.99,2.779,Carbohydrate
Glucose,C3H20N0O9,765.95,6.57,895.291,Hormone
Serotonin,C16H10N3O2,289.71,N/A,229.716,Carbohydrate
Caffeine,C8H2N5O5,365.75,9.86,917.459,Nucleotide
Dopamine,C15H14N5O4,335.39,N/A,72.648,Lipid
Adenosine triphosphate,C10H24N1O2,615.57,7.19,710.963,Hormone
Caffeine,C13H8N5O6,59.38,3.62,309.429,Alcohol
Glucose,C6H10N2O3,235.49,N/A,558.711,Organic Compound
Glucose,C20H14N3O3,952.91,11.81,458.698,Neurotransmitter
Dopamine,C17H32N1O7,955.73,13.01,197.751,Lipid
Glucose,C20H24N1O6,335.85,9.11,832.778,Amide
Dopamine,C1H31N2O9,499.14,N/A,475.574,Alcohol
Cholesterol,C5H20N4O4,544.98,11.8,997.452,Lipid
Ethanol,C2H36N1O7,353.49,N/A,335.616,Amide
Urea,C4H15N4O1,357.5,N/A,242.061,Organic Compound
Glucose,C2H35N2O0,858.01,6.14,749.302,Alcohol
Caffeine,C5H5N2O4,422.93,9.7,176.339,Neurotransmitter
Cholesterol,C2H23N2O9,215.47,6.64,133.525,Neurotransmitter
Glucose,C15H26N0O0,963.41,11.31,7.981,Carbohydrate
Adrenaline,C3H11N4O7,961.26,5.46,240.397,Hormone
Aspirin,C2H23N3O7,534.47,9.05,893.507,Lipid
Dopamine,C17H11N5O3,521.03,11.25,921.161,Amide
Adrenaline,C7H4N1O0,428.31,N/A,355.43,Amide
Caffeine,C9H39N3O3,546.34,N/A,205.611,Carbohydrate
Caffeine,C9H36N4O2,728.96,5.66,4.042,Alkaloid
Aspirin,C9H7N0O9,535.7,4.43,882.077,Alkaloid
Aspirin,C3H12N4O2,55.5,8.84,172.522,Alkaloid
Cholesterol,C6H2N4O10,648.1,N/A,9.459,Alkaloid
Serotonin,C18H9N5O6,80.92,8.18,331.645,Amide
Glucose,C2H13N2O5,917.68,9.52,636.479,Amide
Aspirin,C16H29N4O0,207.04,9.41,824.904,Neurotransmitter
Cholesterol,C14H25N1O9,79.42,9.91,404.968,Alcohol
Adenosine triphosphate,C1H13N5O1,164.31,N/A,164.238,Carbohydrate
Aspirin,C1H21N3O8,555.36,1.79,682.739,Alkaloid
Glucose,C12H12N2O10,554.82,2.07,905.988,Organic Compound
Dopamine,C3H6N5O2,113.04,11.15,866.62,Amide
Urea,C16H24N2O10,193.14,N/A,782.658,Alkaloid
Adenosine triphosphate,C3H20N1O7,238.05,12.57,995.029,Alcohol
Caffeine,C13H11N0O9,884.78,8.69,761.157,Amide
Urea,C5H38N0O2,921.74,11.59,924.775,Alcohol
Dopamine,C9H35N3O3,786.54,N/A,472.369,Hormone
Glucose,C1H26N1O3,477.93,11.14,291.188,Carbohydrate
Urea,C5H13N1O7,939.98,N/A,706.69,Hormone
Serotonin,C10H6N2O10,756.21,5.93,421.603,Organic Compound
Aspirin,C7H25N1O0,657.5,11.23,950.305,Organic Compound
Glucose,C17H3N2O10,372.31,9.64,506.261,Alcohol
Dopamine,C9H8N0O1,819.63,7.3,504.77,Lipid
Adrenaline,C2H35N5O7,629.75,7.17,925.474,Alkaloid
Aspirin,C17H8N2O3,534.06,2.24,2.49,Amide
Ethanol,C13H37N2O7,82.58,13.83,416.395,Nucleotide
Serotonin,C11H14N0O6,860.89,N/A,684.546,Carbohydrate
Dopamine,C6H12N5O3,468.94,5.51,643.192,Alkaloid
Aspirin,C19H36N4O9,517.69,5.71,37.701,Lipid
Adenosine triphosphate,C13H12N5O4,839.29,N/A,921.353,Hormone
Adrenaline,C13H27N0O9,217.24,8.25,965.75,Hormone
Dopamine,C5H14N5O6,150.95,13.94,482.263,Alkaloid
Adenosine triphosphate,C17H35N5O8,847.37,8.13,101.597,Lipid
Ethanol,C14H21N1O10,266.54,N/A,512.319,Amide
Glucose,C15H20N4O6,894.03,N/A,384.0,Hormone
Glucose,C20H7N4O10,510.41,N/A,549.244,Carbohydrate
Dopamine,C10H2N0O9,61.6,6.4,327.935,Nucleotide
Serotonin,C3H2N3O2,773.32,N/A,876.16,Hormone
Ethanol,C20H29N2O10,669.87,1.34,538.756,Alcohol
Ethanol,C10H11N0O1,643.02,8.6,20.781,Lipid
Urea,C20H30N0O1,544.7,11.88,892.478,Neurotransmitter
Aspirin,C2H36N4O7,827.85,9.28,479.805,Hormone
Aspirin,C9H2N5O6,636.36,4.04,375.305,Amide
Adrenaline,C10H3N5O2,557.41,5.75,427.724,Alcohol
Caffeine,C18H19N4O4,372.1,9.32,436.459,Alcohol
