compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C20H30N4O8,453.52,9.34,860.717,Organic Compound
Glucose,C2H4N5O1,484.97,N/A,792.351,Alkaloid
Ethanol,C3H36N2O8,192.63,N/A,450.08,Alkaloid
Ethanol,C15H4N0O9,789.55,12.15,787.566,Hormone
Cholesterol,C6H17N5O5,615.39,2.23,22.718,Amide
Adrenaline,C15H22N3O1,945.35,N/A,320.627,Organic Compound
Serotonin,C6H24N4O0,449.58,5.22,492.471,Amide
Caffeine,C3H22N1O9,448.41,12.36,971.673,Alcohol
Dopamine,C3H23N2O1,677.84,3.12,892.306,Organic Compound
Glucose,C17H7N4O9,134.03,N/A,734.771,Hormone
Adenosine triphosphate,C18H9N4O5,257.3,3.9,337.804,Amide
Urea,C3H32N1O0,940.47,11.57,432.835,Alcohol
Cholesterol,C19H3N0O3,636.7,N/A,728.821,Alcohol
Glucose,C9H37N1O5,118.46,12.01,47.463,Lipid
Aspirin,C4H37N4O5,246.66,11.68,39.897,Neurotransmitter
Dopamine,C2H3N2O9,524.64,13.93,690.153,Lipid
Glucose,C11H18N2O7,560.94,N/A,529.521,Alcohol
Caffeine,C10H1N1O7,858.82,7.44,825.388,Lipid
Glucose,C5H30N5O1,116.28,9.38,930.397,Nucleotide
Cholesterol,C13H28N2O10,821.5,3.53,339.119,Alcohol
Ethanol,C3H16N5O4,823.28,3.76,603.349,Neurotransmitter
Cholesterol,C16H2N1O9,303.3,8.85,814.663,Carbohydrate
Adenosine triphosphate,C15H40N3O0,266.74,2.23,720.483,Hormone
Ethanol,C3H40N5O9,63.49,12.2,613.137,Alcohol
Serotonin,C17H20N1O7,483.9,5.46,732.342,Alcohol
Aspirin,C20H36N3O2,832.6,10.68,449.525,Alkaloid
Aspirin,C1H4N5O8,376.05,11.1,518.294,Amide
Adrenaline,C1H3N4O0,870.94,13.03,410.582,Neurotransmitter
Serotonin,C10H10N1O6,947.9,13.04,698.202,Alcohol
Adenosine triphosphate,C1H25N2O1,884.46,9.64,158.298,Amide
Aspirin,C19H4N2O9,503.57,1.02,906.105,Alcohol
Dopamine,C20H29N5O7,915.9,N/A,997.22,Lipid
Adenosine triphosphate,C11H13N3O4,349.75,3.29,772.278,Neurotransmitter
Adenosine triphosphate,C4H16N5O1,583.64,1.36,196.771,Alkaloid
Dopamine,C10H10N2O7,541.29,12.45,553.967,Lipid
Cholesterol,C7H2N3O10,631.94,7.73,166.654,Amide
Adrenaline,C17H33N4O4,436.86,5.29,94.819,Amide
Cholesterol,C3H4N4O7,893.45,10.44,204.966,Neurotransmitter
Adenosine triphosphate,C3H15N2O1,210.36,N/A,325.528,Carbohydrate
Adenosine triphosphate,C8H23N1O4,653.06,9.41,412.281,Alcohol
Cholesterol,C1H35N0O2,251.55,N/A,32.284,Hormone
Urea,C19H25N1O7,414.45,5.67,60.323,Alcohol
Adenosine triphosphate,C15H28N3O9,194.52,13.14,334.316,Amide
Cholesterol,C18H2N2O5,377.45,3.94,970.747,Lipid
Cholesterol,C9H36N1O10,894.4,4.27,271.092,Neurotransmitter
Adrenaline,C12H18N2O5,505.9,11.73,180.63,Neurotransmitter
Glucose,C18H2N4O2,363.08,1.87,571.592,Neurotransmitter
Glucose,C15H9N2O7,270.07,N/A,991.295,Carbohydrate
Aspirin,C6H14N0O2,121.42,N/A,703.015,Amide
Adrenaline,C12H27N0O4,536.54,3.88,384.142,Organic Compound
Caffeine,C6H29N3O8,261.25,N/A,726.895,Alcohol
Serotonin,C20H32N0O2,763.77,N/A,234.943,Amide
Serotonin,C20H24N4O5,938.03,N/A,469.794,Alkaloid
Dopamine,C15H9N3O4,460.97,10.2,627.139,Alcohol
Caffeine,C20H13N1O4,75.39,13.85,882.308,Alkaloid
Glucose,C7H30N4O10,794.84,13.66,300.308,Lipid
Aspirin,C15H23N1O8,348.8,13.49,750.093,Carbohydrate
Glucose,C20H9N4O4,65.51,10.1,2.951,Alcohol
Adrenaline,C9H11N3O9,496.91,10.19,909.792,Neurotransmitter
Glucose,C5H6N1O0,779.41,N/A,475.541,Nucleotide
Adrenaline,C10H19N0O6,421.0,5.08,893.875,Carbohydrate
Dopamine,C9H22N1O2,979.79,13.88,570.159,Alcohol
Adrenaline,C17H18N5O4,103.5,7.32,564.595,Lipid
Dopamine,C8H16N1O7,991.75,7.41,993.523,Hormone
Serotonin,C16H30N2O3,894.29,9.79,602.926,Carbohydrate
Dopamine,C2H32N4O0,369.59,6.16,402.432,Hormone
Urea,C1H5N2O5,210.57,9.91,140.93,Nucleotide
Ethanol,C10H9N5O6,501.17,N/A,623.966,Nucleotide
Ethanol,C14H4N1O0,222.29,2.0,540.888,Alkaloid
Serotonin,C4H28N1O5,998.75,3.93,647.883,Alkaloid
Aspirin,C6H12N4O3,540.0,8.45,661.438,Alcohol
Adenosine triphosphate,C12H39N3O6,945.73,13.15,425.382,Amide
Adenosine triphosphate,C12H11N3O0,260.21,N/A,457.214,Lipid
Adrenaline,C2H27N2O6,740.94,3.37,715.25,Carbohydrate
Ethanol,C7H40N1O5,161.92,N/A,659.731,Alcohol
Aspirin,C13H11N0O3,359.6,N/A,236.189,Nucleotide
Serotonin,C13H20N2O3,880.78,2.06,209.209,Nucleotide
Caffeine,C3H10N4O4,349.65,2.88,707.41,Alcohol
Urea,C13H19N0O5,127.68,1.78,86.346,Alkaloid
Glucose,C19H40N0O6,800.96,12.64,858.005,Alcohol
Glucose,C6H33N0O5,670.45,N/A,748.846,Lipid
Dopamine,C12H37N0O6,336.05,5.76,132.025,Hormone
Urea,C10H18N0O3,352.62,8.18,202.527,Alcohol
Cholesterol,C19H37N2O1,308.55,2.11,619.584,Carbohydrate
Glucose,C4H28N0O6,218.02,N/A,459.007,Organic Compound
Adrenaline,C11H26N4O0,224.14,13.59,472.876,Hormone
Cholesterol,C9H29N3O0,190.7,N/A,645.724,Neurotransmitter
