compound,formula,mw,pka,solubility_mg_ml,class
Adrenaline,C11H8N4O0,78.07,6.51,339.021,Alkaloid
Serotonin,C17H30N3O6,198.5,N/A,855.953,Organic Compound
Adenosine triphosphate,C5H32N5O3,879.04,2.5,883.603,Hormone
Urea,C7H20N1O0,538.3,8.94,343.18,Lipid
Adenosine triphosphate,C6H13N4O7,57.92,N/A,473.508,Nucleotide
Glucose,C9H24N5O7,661.02,9.82,352.557,Carbohydrate
Ethanol,C10H29N0O4,261.16,13.08,89.068,Carbohydrate
Serotonin,C1H5N1O1,129.7,2.86,50.735,Lipid
Dopamine,C10H2N5O7,525.52,N/A,590.186,Hormone
Cholesterol,C6H5N0O5,696.92,13.7,963.584,Hormone
Glucose,C15H27N4O0,566.65,4.65,370.801,Amide
Ethanol,C20H21N5O1,656.17,5.91,836.204,Neurotransmitter
Cholesterol,C20H6N4O2,760.41,6.27,870.94,Amide
Dopamine,C3H26N3O5,215.06,5.28,346.978,Amide
Ethanol,C16H4N3O9,59.87,2.28,885.486,Alkaloid
Adenosine triphosphate,C17H35N0O3,51.49,N/A,822.133,Organic Compound
Caffeine,C11H15N5O0,217.63,N/A,909.935,Nucleotide
Cholesterol,C2H4N4O2,296.76,6.27,654.933,Hormone
Serotonin,C15H15N5O0,63.23,4.8,866.344,Alkaloid
Adenosine triphosphate,C3H12N4O8,533.48,8.31,863.808,Alkaloid
Cholesterol,C1H40N5O4,662.7,13.93,876.039,Alkaloid
Dopamine,C6H14N3O5,180.54,3.25,253.737,Lipid
Glucose,C12H35N5O1,440.34,N/A,755.049,Alcohol
Glucose,C3H9N1O0,334.62,1.28,78.941,Organic Compound
Urea,C14H9N1O2,893.25,8.58,43.867,Amide
Adenosine triphosphate,C14H40N1O8,328.68,N/A,840.814,Alcohol
Adrenaline,C9H37N3O5,655.57,3.65,735.871,Nucleotide
Ethanol,C15H34N0O2,932.92,4.54,156.286,Hormone
Serotonin,C5H21N5O10,846.16,4.47,656.332,Alkaloid
Dopamine,C7H33N0O5,341.84,7.5,406.792,Nucleotide
Cholesterol,C16H27N1O2,82.15,6.93,852.331,Nucleotide
Adenosine triphosphate,C19H5N1O1,972.53,13.28,748.163,Nucleotide
Serotonin,C5H8N1O9,302.36,1.52,241.359,Carbohydrate
Glucose,C12H36N0O10,645.16,13.6,772.472,Neurotransmitter
Adenosine triphosphate,C8H12N3O5,635.85,1.08,771.723,Carbohydrate
Caffeine,C15H5N0O3,755.96,5.53,545.221,Lipid
Caffeine,C11H38N5O10,624.1,10.46,692.915,Alkaloid
Dopamine,C8H16N3O0,90.04,5.24,299.994,Organic Compound
Adrenaline,C16H26N4O6,445.61,12.99,815.396,Alcohol
Glucose,C4H23N0O2,341.73,N/A,7.708,Carbohydrate
Adenosine triphosphate,C17H40N0O10,249.85,6.54,739.172,Neurotransmitter
Cholesterol,C3H13N2O3,809.83,5.51,798.113,Neurotransmitter
Dopamine,C5H33N2O8,610.77,1.27,485.694,Hormone
Caffeine,C6H9N0O5,485.44,N/A,397.736,Neurotransmitter
Ethanol,C18H11N2O9,638.59,9.14,492.836,Neurotransmitter
Adenosine triphosphate,C3H28N4O4,183.49,8.41,522.501,Nucleotide
Caffeine,C10H25N1O8,213.9,5.38,84.09,Carbohydrate
Ethanol,C9H2N5O7,608.71,N/A,962.318,Alcohol
Aspirin,C13H7N2O5,542.88,10.25,505.138,Alcohol
Glucose,C20H36N2O0,855.79,8.15,69.507,Amide
Dopamine,C16H5N3O3,423.6,12.16,272.579,Carbohydrate
Caffeine,C17H28N2O5,836.33,12.01,644.751,Carbohydrate
Caffeine,C6H22N5O8,593.19,N/A,932.856,Amide
Ethanol,C19H7N3O5,621.67,3.21,898.285,Hormone
Dopamine,C19H7N3O0,481.3,3.84,375.349,Alcohol
Ethanol,C10H3N4O2,853.69,5.99,828.97,Nucleotide
Serotonin,C7H31N4O5,514.8,N/A,751.249,Organic Compound
Caffeine,C1H9N2O2,589.4,11.62,302.939,Nucleotide
Cholesterol,C15H26N5O0,67.53,N/A,578.19,Neurotransmitter
Urea,C15H26N0O1,345.24,3.01,269.658,Neurotransmitter
Glucose,C6H6N4O7,228.43,9.21,727.925,Alcohol
Dopamine,C4H20N2O1,349.74,8.95,113.908,Nucleotide
Adenosine triphosphate,C18H27N0O8,960.45,N/A,696.702,Nucleotide
Adenosine triphosphate,C6H28N2O0,471.93,7.99,675.929,Amide
Glucose,C1H5N0O3,455.24,N/A,182.907,Nucleotide
Cholesterol,C17H38N3O1,821.35,4.24,215.483,Organic Compound
Serotonin,C5H16N1O3,690.43,8.5,258.322,Amide
Cholesterol,C18H38N1O9,746.66,4.9,86.008,Carbohydrate
Serotonin,C17H4N4O7,650.04,10.86,424.62,Alkaloid
Glucose,C18H2N0O8,780.31,8.78,740.786,Carbohydrate
Urea,C18H13N3O3,52.61,11.3,256.401,Lipid
Glucose,C2H18N0O8,514.64,N/A,906.664,Carbohydrate
Cholesterol,C18H6N0O7,926.62,13.92,245.518,Hormone
Adenosine triphosphate,C17H15N4O7,614.06,N/A,863.19,Alkaloid
Dopamine,C5H27N1O8,874.01,12.73,385.65,Carbohydrate
Aspirin,C3H40N1O1,726.17,12.19,669.731,Organic Compound
Cholesterol,C5H6N1O4,249.58,1.48,440.581,Alcohol
Dopamine,C3H36N2O6,332.42,2.94,342.129,Carbohydrate
Caffeine,C4H32N4O2,584.39,N/A,318.47,Alkaloid
Ethanol,C11H31N2O5,827.42,3.49,297.372,Hormone
Glucose,C1H13N5O0,806.89,4.92,254.652,Carbohydrate
Aspirin,C15H22N4O1,888.97,13.09,850.307,Hormone
Adenosine triphosphate,C10H18N0O2,743.56,10.57,311.473,Hormone
Caffeine,C10H40N3O6,353.7,2.97,2.58,Lipid
Caffeine,C4H5N4O4,864.59,7.63,754.614,Lipid
Glucose,C14H31N5O9,749.89,9.34,437.288,Alkaloid
Serotonin,C11H17N2O3,830.29,13.32,336.919,Carbohydrate
Dopamine,C15H1N1O4,942.28,11.41,368.346,Neurotransmitter
Caffeine,C15H26N3O9,510.07,9.07,408.382,Neurotransmitter
Adrenaline,C17H3N1O10,399.12,7.7,122.93,Organic Compound
Adenosine triphosphate,C8H23N2O8,879.55,6.68,149.048,Carbohydrate
Cholesterol,C16H32N4O0,614.49,2.87,928.895,Lipid
Serotonin,C15H32N1O0,117.17,9.48,195.434,Amide
Dopamine,C8H13N0O3,117.39,13.21,304.544,Nucleotide
Dopamine,C18H27N1O3,780.04,8.64,184.162,Carbohydrate
Glucose,C14H29N1O2,877.67,6.32,25.114,Lipid
Cholesterol,C7H21N1O10,400.55,3.81,23.494,Amide
Urea,C8H9N4O5,696.95,5.33,731.743,Amide
Adrenaline,C19H32N4O3,142.32,N/A,540.145,Nucleotide
Serotonin,C15H4N4O5,82.39,4.46,446.354,Lipid
Cholesterol,C14H16N3O2,207.38,12.58,645.257,Amide
Adenosine triphosphate,C1H10N5O6,897.57,2.95,528.865,Lipid
Glucose,C8H39N3O6,745.23,5.01,357.436,Lipid
Caffeine,C19H21N0O5,308.12,13.08,162.058,Amide
Urea,C5H14N3O8,111.23,9.37,715.451,Alcohol
Serotonin,C10H35N0O10,983.82,7.22,363.431,Alcohol
Serotonin,C9H28N1O9,926.12,1.7,523.615,Neurotransmitter
Aspirin,C16H18N3O9,608.0,11.31,619.804,Lipid
Aspirin,C19H24N0O5,629.39,4.62,908.739,Neurotransmitter
Glucose,C6H24N4O4,751.01,N/A,857.954,Amide
Dopamine,C16H31N3O10,119.74,6.14,336.589,Alkaloid
Adrenaline,C17H15N1O6,419.42,13.21,653.719,Nucleotide
Glucose,C2H36N1O10,642.82,13.92,864.292,Alkaloid
Caffeine,C10H8N3O8,702.16,2.77,22.515,Alkaloid
Adrenaline,C16H37N4O7,475.85,9.51,369.823,Alkaloid
Glucose,C13H3N4O10,81.56,13.38,824.769,Hormone
Caffeine,C12H31N3O3,504.94,9.81,260.685,Neurotransmitter
Adrenaline,C12H26N3O0,388.3,6.63,796.407,Carbohydrate
Urea,C11H9N4O7,686.87,N/A,109.39,Hormone
Urea,C2H3N0O0,780.59,N/A,729.65,Neurotransmitter
Glucose,C15H22N0O8,975.19,N/A,147.293,Alcohol
Glucose,C17H26N5O1,221.13,12.52,514.999,Lipid
Adenosine triphosphate,C20H14N1O6,864.66,6.16,808.417,Amide
Caffeine,C16H37N2O9,259.97,7.48,512.949,Organic Compound
Cholesterol,C5H1N3O1,601.45,12.61,120.391,Alkaloid
Dopamine,C6H40N4O5,259.14,12.28,663.89,Hormone
Caffeine,C14H36N4O5,579.81,13.77,747.112,Neurotransmitter
Ethanol,C19H18N2O10,313.13,6.93,651.161,Organic Compound
Adenosine triphosphate,C8H3N3O4,966.32,13.64,895.962,Alcohol
Dopamine,C11H28N2O7,889.77,10.17,999.879,Nucleotide
Urea,C18H22N1O5,67.98,12.72,982.859,Amide
Dopamine,C15H22N4O8,363.97,9.37,885.425,Carbohydrate
Glucose,C20H36N0O4,65.91,6.74,926.822,Carbohydrate
Caffeine,C9H40N4O6,94.9,2.75,283.05,Carbohydrate
Aspirin,C12H2N0O0,691.79,4.07,751.941,Carbohydrate
Dopamine,C16H27N3O4,920.67,6.5,600.47,Hormone
Caffeine,C12H8N0O8,430.19,4.62,747.582,Amide
