compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C19H27N3O9,473.58,N/A,732.843,Nucleotide
Cholesterol,C1H19N1O2,109.86,10.19,852.069,Carbohydrate
Caffeine,C9H16N4O0,949.95,7.36,953.249,Organic Compound
Caffeine,C1H24N5O2,123.96,5.28,262.756,Lipid
Ethanol,C10H6N0O6,699.93,N/A,209.801,Nucleotide
Glucose,C20H9N0O9,459.78,2.17,67.875,Neurotransmitter
Aspirin,C2H21N5O1,161.62,1.29,700.028,Lipid
Adenosine triphosphate,C9H8N3O5,477.23,2.14,299.757,Alkaloid
Adrenaline,C10H33N2O6,121.93,11.13,916.998,Hormone
Ethanol,C10H8N3O10,84.67,3.59,627.76,Organic Compound
Cholesterol,C9H35N5O2,302.08,2.85,517.363,Organic Compound
Adenosine triphosphate,C13H25N5O3,575.64,7.28,678.217,Lipid
Serotonin,C7H4N5O3,917.86,3.54,74.79,Hormone
Adrenaline,C1H12N3O1,892.45,9.77,513.906,Nucleotide
Urea,C5H18N0O7,525.8,1.42,645.328,Carbohydrate
Serotonin,C12H37N4O4,490.23,13.89,955.913,Amide
Cholesterol,C4H12N0O6,748.8,11.22,720.301,Nucleotide
Glucose,C10H29N2O2,465.53,9.68,357.369,Lipid
Adrenaline,C19H10N5O4,750.36,N/A,339.339,Alcohol
Ethanol,C12H32N2O5,947.65,4.12,692.961,Nucleotide
Ethanol,C10H12N3O0,232.02,5.56,853.362,Organic Compound
Urea,C20H36N3O7,928.23,1.04,496.806,Amide
Glucose,C19H3N1O5,280.88,6.13,28.057,Lipid
Aspirin,C18H31N5O8,548.43,7.98,662.157,Neurotransmitter
Aspirin,C13H12N2O0,709.02,4.72,888.685,Alkaloid
Dopamine,C7H22N5O1,786.69,11.23,470.596,Amide
Glucose,C1H34N0O1,188.67,8.22,997.751,Organic Compound
Caffeine,C19H3N5O3,220.15,5.43,491.183,Alcohol
Cholesterol,C4H16N0O1,476.12,2.52,696.539,Carbohydrate
Urea,C20H3N5O1,846.83,10.25,314.374,Alcohol
Caffeine,C2H3N5O0,610.45,N/A,799.441,Nucleotide
Aspirin,C20H26N5O0,979.74,11.29,330.752,Carbohydrate
Caffeine,C19H38N4O0,526.59,1.54,924.215,Alkaloid
Serotonin,C10H34N3O2,948.71,8.51,738.681,Hormone
Glucose,C9H10N0O1,117.3,1.8,172.721,Carbohydrate
Cholesterol,C18H38N5O3,396.57,3.69,10.236,Alkaloid
Ethanol,C6H9N0O10,779.08,9.52,351.079,Alcohol
Serotonin,C13H28N4O8,606.56,12.52,552.638,Lipid
Glucose,C10H1N5O9,122.43,N/A,91.282,Organic Compound
Urea,C12H40N3O3,162.96,N/A,500.451,Alcohol
Glucose,C20H20N5O1,545.66,9.97,749.709,Alcohol
Serotonin,C10H2N4O8,903.07,5.87,658.021,Neurotransmitter
Ethanol,C16H37N0O9,717.55,N/A,601.609,Nucleotide
Ethanol,C5H7N3O6,191.99,4.08,285.736,Nucleotide
Glucose,C4H1N1O10,119.82,8.96,117.362,Carbohydrate
Ethanol,C3H20N5O10,271.65,8.45,128.429,Alkaloid
Serotonin,C11H40N4O0,838.66,1.98,896.624,Nucleotide
Urea,C7H29N0O8,445.4,N/A,505.716,Amide
Ethanol,C10H20N3O4,354.92,9.92,170.984,Neurotransmitter
Dopamine,C4H32N1O1,636.83,N/A,355.953,Nucleotide
