cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_74500,Epithelial,117.27,21,79.0
CELL_30385,Leukocyte,109.55,26,83.77
CELL_98436,Erythrocyte,32.09,21,77.16
CELL_71901,Fibroblast,22.87,18,96.18
CELL_48341,Myocyte,27.92,29,80.46
CELL_86742,Fibroblast,71.17,21,84.65
CELL_39430,Stem Cell,59.58,21,81.24
CELL_93610,Erythrocyte,117.13,29,83.13
CELL_85232,Myocyte,39.94,8,66.46
CELL_50093,Myocyte,89.75,25,50.84
CELL_44133,Stem Cell,45.13,22,55.13
CELL_34568,Leukocyte,70.74,34,58.07
CELL_20444,Erythrocyte,104.7,19,83.09
CELL_40660,Epithelial,54.48,7,78.07
CELL_73144,Leukocyte,45.65,11,66.64
CELL_51234,Leukocyte,64.01,27,87.94
CELL_24268,Fibroblast,51.24,18,72.02
CELL_28725,Myocyte,29.19,13,85.73
CELL_38258,Neuron,85.77,31,52.4
CELL_65192,Erythrocyte,113.86,45,70.61
CELL_20700,Fibroblast,17.31,17,58.34
CELL_90689,Fibroblast,100.89,38,55.44
CELL_95046,Myocyte,20.12,17,91.61
CELL_95836,Leukocyte,91.99,39,75.38
CELL_82232,Leukocyte,113.04,5,94.79
CELL_17749,Leukocyte,33.39,27,60.03
CELL_18560,Fibroblast,15.51,31,68.27
CELL_53978,Erythrocyte,89.2,28,85.6
CELL_70997,Leukocyte,107.76,26,58.3
CELL_32192,Leukocyte,92.06,36,91.66
CELL_76625,Fibroblast,88.92,11,52.41
CELL_84129,Myocyte,5.83,44,61.9
CELL_14141,Epithelial,11.79,26,76.97
CELL_53076,Myocyte,23.73,38,56.32
CELL_82582,Leukocyte,13.31,24,56.65
CELL_26627,Erythrocyte,78.87,9,97.61
CELL_69532,Fibroblast,66.15,46,61.4
CELL_42820,Epithelial,18.96,43,81.6
CELL_60196,Leukocyte,47.32,50,90.12
CELL_99854,Fibroblast,119.99,35,68.11
CELL_40495,Myocyte,68.79,25,58.15
CELL_61321,Fibroblast,40.31,14,82.45
CELL_64212,Myocyte,46.71,37,62.88
CELL_41770,Erythrocyte,115.59,11,66.82
CELL_31082,Fibroblast,116.73,29,69.96
CELL_45952,Stem Cell,81.35,41,57.09
CELL_75732,Fibroblast,72.13,43,50.0
CELL_48150,Leukocyte,73.46,12,91.75
CELL_37367,Fibroblast,85.7,9,62.96
CELL_87774,Myocyte,60.28,6,96.82
CELL_86880,Neuron,52.39,16,69.4
CELL_98283,Myocyte,27.37,34,82.97
CELL_54664,Erythrocyte,116.54,46,65.79
CELL_16725,Stem Cell,24.65,49,78.78
CELL_73940,Fibroblast,93.3,32,83.33
CELL_63205,Stem Cell,12.5,21,83.74
CELL_91027,Fibroblast,44.74,45,54.78
CELL_42652,Epithelial,34.61,10,76.5
CELL_31517,Stem Cell,73.74,35,64.46
CELL_44439,Leukocyte,97.96,27,53.21
CELL_14125,Stem Cell,107.15,12,51.91
CELL_72802,Myocyte,116.92,20,55.55
CELL_27165,Leukocyte,101.0,35,92.99
CELL_38107,Stem Cell,30.0,25,52.79
CELL_94566,Neuron,16.67,42,75.83
CELL_21348,Fibroblast,34.17,15,55.55
CELL_71925,Myocyte,46.12,29,50.52
CELL_40586,Epithelial,80.95,45,95.93
CELL_38633,Leukocyte,107.63,23,83.06
CELL_75262,Myocyte,39.16,21,95.46
CELL_43800,Neuron,27.63,13,63.0
CELL_11078,Erythrocyte,101.55,9,90.87
CELL_60328,Erythrocyte,117.78,32,71.53
CELL_83775,Fibroblast,75.01,50,59.53
CELL_33874,Myocyte,24.79,15,92.22
CELL_69769,Myocyte,21.09,46,86.35
CELL_52480,Fibroblast,40.55,37,80.88
CELL_89181,Stem Cell,49.82,26,56.59
CELL_72843,Fibroblast,13.59,39,59.88
CELL_20993,Epithelial,107.85,44,67.65
CELL_73400,Stem Cell,105.57,35,51.34
CELL_66620,Epithelial,105.65,12,50.62
CELL_68866,Erythrocyte,112.03,43,53.81
CELL_93776,Fibroblast,76.63,34,95.32
CELL_45020,Stem Cell,35.96,48,92.47
CELL_41719,Myocyte,44.64,7,61.49
CELL_34760,Erythrocyte,80.21,42,90.94
CELL_81447,Leukocyte,113.22,33,52.32
CELL_57728,Neuron,74.4,38,98.22
CELL_52736,Leukocyte,91.52,24,98.26
CELL_48328,Fibroblast,78.06,9,61.07
CELL_42347,Epithelial,38.36,17,90.22
CELL_95284,Leukocyte,76.81,11,88.56
CELL_87595,Erythrocyte,92.5,32,54.14
CELL_62436,Fibroblast,91.19,20,82.42
CELL_71046,Erythrocyte,75.81,50,81.41
CELL_66085,Neuron,115.04,27,92.34
CELL_15254,Neuron,108.24,50,86.4
CELL_72938,Fibroblast,70.59,31,64.94
CELL_55957,Stem Cell,96.59,23,51.22
CELL_52567,Stem Cell,24.8,11,66.18
CELL_54661,Leukocyte,53.31,45,76.25
CELL_72965,Leukocyte,9.98,40,77.93
CELL_77719,Myocyte,58.31,23,55.76
CELL_40645,Stem Cell,61.64,9,81.98
CELL_96374,Fibroblast,54.21,50,87.88
CELL_70379,Leukocyte,41.39,19,77.77
CELL_94372,Stem Cell,38.39,22,73.0
CELL_32947,Leukocyte,79.5,14,78.91
CELL_70211,Neuron,42.01,18,82.31
CELL_23024,Leukocyte,48.59,47,64.56
CELL_62561,Erythrocyte,36.56,5,63.18
CELL_97574,Myocyte,41.6,28,99.3
CELL_27768,Fibroblast,107.21,31,82.1
CELL_58176,Erythrocyte,26.96,37,81.08
CELL_38311,Erythrocyte,33.27,39,56.77
CELL_44863,Stem Cell,108.29,8,80.81
CELL_36705,Fibroblast,34.22,28,95.48
CELL_23763,Epithelial,117.48,24,83.84
CELL_53487,Stem Cell,99.46,26,58.65
CELL_31248,Stem Cell,86.3,22,95.26
CELL_36467,Epithelial,102.21,22,74.51
CELL_38870,Myocyte,34.19,16,74.72
CELL_70440,Erythrocyte,61.53,32,66.75
CELL_91818,Leukocyte,61.56,49,62.04
CELL_58454,Leukocyte,57.67,13,62.11
CELL_18934,Neuron,22.31,41,54.41
CELL_78405,Fibroblast,102.23,34,84.54
CELL_85788,Stem Cell,80.29,35,55.33
CELL_90150,Neuron,53.76,36,66.05
CELL_26723,Epithelial,43.34,42,88.65
CELL_35908,Stem Cell,115.77,9,69.4
CELL_91726,Fibroblast,46.05,12,79.7
CELL_60382,Erythrocyte,75.19,32,52.68
CELL_68823,Neuron,46.11,40,71.94
CELL_33369,Neuron,71.66,30,68.46
CELL_42591,Myocyte,113.66,12,56.95
CELL_83924,Fibroblast,48.93,8,94.36
CELL_20724,Myocyte,77.51,31,65.6
CELL_55926,Leukocyte,72.76,11,75.41
CELL_96223,Epithelial,67.82,30,65.13
CELL_54753,Myocyte,6.34,32,98.39
CELL_20198,Myocyte,56.62,32,85.84
CELL_10440,Epithelial,23.03,18,67.28
