cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_64810,Leukocyte,66.57,22,71.76
CELL_33273,Myocyte,110.16,16,83.4
CELL_73085,Epithelial,53.8,35,80.53
CELL_98419,Epithelial,90.98,28,80.98
CELL_76554,Epithelial,107.25,13,76.1
CELL_36666,Erythrocyte,118.57,40,53.37
CELL_30206,Myocyte,55.07,15,92.13
CELL_23054,Neuron,76.93,34,53.29
CELL_78424,Fibroblast,78.35,27,63.77
CELL_34979,Erythrocyte,65.62,50,92.38
CELL_45066,Epithelial,25.5,18,68.28
CELL_88723,Stem Cell,57.74,30,62.82
CELL_12330,Myocyte,6.86,21,79.99
CELL_69107,Epithelial,79.77,5,98.35
CELL_35960,Myocyte,106.2,18,92.11
CELL_22934,Neuron,13.1,34,83.36
CELL_64331,Epithelial,110.15,8,95.91
CELL_68670,Fibroblast,26.96,16,66.45
CELL_75612,Neuron,36.23,34,89.91
CELL_46045,Stem Cell,72.74,19,59.04
CELL_12379,Leukocyte,88.47,13,53.39
CELL_53302,Stem Cell,43.66,40,61.72
CELL_21067,Leukocyte,98.62,17,87.01
CELL_16003,Myocyte,59.27,17,94.9
CELL_17523,Erythrocyte,7.74,21,88.61
CELL_99057,Fibroblast,31.7,43,89.36
CELL_44614,Epithelial,43.27,39,94.85
CELL_98130,Fibroblast,55.37,34,78.96
CELL_39669,Fibroblast,102.38,45,85.42
CELL_77494,Erythrocyte,94.58,22,86.23
CELL_35552,Myocyte,70.11,42,54.91
CELL_53434,Fibroblast,112.33,26,62.27
CELL_20080,Epithelial,47.06,34,64.45
CELL_46423,Epithelial,52.66,42,79.2
CELL_23647,Erythrocyte,25.95,39,80.54
CELL_86414,Epithelial,77.67,26,76.81
CELL_80824,Myocyte,110.89,39,82.15
CELL_75716,Leukocyte,103.21,27,70.26
CELL_90244,Stem Cell,33.2,43,50.31
CELL_46389,Fibroblast,24.53,26,86.05
CELL_58017,Fibroblast,57.32,18,98.96
CELL_91185,Stem Cell,48.14,22,73.72
CELL_27452,Epithelial,62.06,5,91.63
CELL_58107,Epithelial,61.02,8,58.95
CELL_56597,Leukocyte,112.36,47,76.89
CELL_51469,Erythrocyte,67.98,37,63.17
CELL_79818,Epithelial,11.1,50,52.28
CELL_97035,Epithelial,39.65,27,59.92
CELL_24407,Erythrocyte,63.85,32,87.44
