cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_17744,Neuron,41.83,17,76.39
CELL_78908,Stem Cell,90.78,6,74.01
CELL_54787,Stem Cell,7.9,37,57.49
CELL_70393,Myocyte,43.74,14,59.15
CELL_37456,Leukocyte,63.79,19,76.15
CELL_75122,Stem Cell,58.99,9,92.2
CELL_32303,Epithelial,19.13,25,60.27
CELL_20461,Stem Cell,88.65,41,74.66
CELL_12960,Myocyte,51.83,28,73.27
CELL_80291,Stem Cell,32.73,11,90.92
CELL_94127,Stem Cell,20.12,49,68.5
CELL_81545,Neuron,109.94,40,63.52
CELL_90361,Epithelial,66.81,24,69.71
CELL_49256,Neuron,115.8,50,79.08
CELL_29677,Stem Cell,119.91,16,58.07
CELL_63339,Stem Cell,73.54,47,87.52
CELL_48714,Neuron,88.66,29,55.07
CELL_81824,Neuron,95.22,33,68.93
CELL_89894,Leukocyte,90.2,19,92.44
CELL_32902,Stem Cell,102.99,36,81.53
CELL_47088,Epithelial,84.01,27,61.97
CELL_19030,Fibroblast,113.19,9,65.76
CELL_67180,Leukocyte,49.63,43,54.37
CELL_67893,Neuron,16.81,34,92.58
CELL_80494,Myocyte,62.76,45,76.36
CELL_68418,Leukocyte,25.28,5,70.44
CELL_78849,Epithelial,57.81,30,66.77
CELL_42818,Myocyte,95.89,36,87.05
CELL_28140,Erythrocyte,50.1,15,84.05
CELL_92830,Fibroblast,66.31,16,85.3
CELL_65746,Stem Cell,69.24,34,51.38
CELL_84188,Erythrocyte,88.88,44,62.41
CELL_72247,Neuron,36.54,38,75.2
CELL_44938,Neuron,14.08,15,58.73
CELL_90711,Myocyte,58.88,34,73.59
CELL_62335,Myocyte,87.1,7,79.94
CELL_83326,Stem Cell,13.0,43,76.69
CELL_18041,Erythrocyte,102.91,24,51.88
CELL_76297,Leukocyte,42.81,48,88.92
CELL_71824,Leukocyte,90.77,48,78.81
CELL_48089,Myocyte,48.25,22,65.74
CELL_99523,Neuron,34.18,19,83.18
CELL_57821,Neuron,112.75,40,62.36
CELL_47227,Fibroblast,111.04,34,76.95
CELL_77281,Epithelial,37.09,24,69.54
CELL_22301,Neuron,67.07,26,54.37
CELL_94357,Erythrocyte,61.01,14,70.83
CELL_31268,Neuron,110.71,19,76.64
CELL_95210,Epithelial,36.67,5,78.35
CELL_55473,Neuron,38.29,43,67.7
CELL_10113,Stem Cell,35.79,47,76.06
CELL_63421,Stem Cell,9.15,47,70.31
CELL_33125,Stem Cell,61.62,38,96.59
CELL_61953,Stem Cell,105.35,25,57.63
CELL_29696,Fibroblast,55.22,20,85.46
CELL_67781,Myocyte,88.91,40,67.86
CELL_33016,Myocyte,116.47,22,55.87
CELL_29206,Epithelial,111.69,18,75.5
CELL_68785,Stem Cell,104.1,35,93.98
CELL_58579,Epithelial,76.21,35,63.97
CELL_47500,Leukocyte,13.59,22,62.31
CELL_71893,Fibroblast,58.39,45,93.41
CELL_33630,Myocyte,45.86,16,64.97
CELL_34565,Stem Cell,49.44,10,84.57
CELL_70503,Erythrocyte,61.79,13,62.18
CELL_77961,Neuron,40.2,19,94.15
CELL_38798,Leukocyte,58.01,22,62.59
CELL_66849,Fibroblast,55.44,8,54.13
CELL_77138,Erythrocyte,82.72,31,77.07
CELL_88663,Stem Cell,18.33,5,65.1
CELL_51363,Erythrocyte,71.0,45,70.88
CELL_92497,Leukocyte,95.5,7,93.12
CELL_11954,Neuron,64.6,17,69.64
CELL_96735,Erythrocyte,42.1,5,90.99
CELL_43933,Stem Cell,94.67,43,83.63
CELL_78275,Neuron,5.28,23,73.43
CELL_17994,Stem Cell,74.11,29,99.98
CELL_90416,Fibroblast,47.34,22,91.41
CELL_65853,Myocyte,44.77,8,52.18
CELL_80487,Stem Cell,101.32,32,67.09
CELL_85589,Neuron,97.02,22,80.02
CELL_78888,Stem Cell,70.41,25,92.49
CELL_83796,Stem Cell,5.06,8,89.7
CELL_55349,Leukocyte,34.89,5,50.55
CELL_13006,Myocyte,25.65,35,86.16
CELL_40380,Erythrocyte,61.66,50,86.94
CELL_67447,Epithelial,34.65,6,82.38
CELL_12075,Myocyte,97.82,6,68.18
CELL_16375,Neuron,89.66,38,89.8
CELL_46863,Erythrocyte,115.17,34,80.5
CELL_51822,Erythrocyte,58.71,50,52.72
CELL_33011,Epithelial,18.48,6,89.66
CELL_66629,Epithelial,96.42,34,86.47
CELL_10016,Leukocyte,45.03,5,56.92
CELL_25360,Fibroblast,117.74,49,94.63
CELL_22393,Leukocyte,37.92,31,55.77
CELL_43745,Neuron,22.67,11,63.58
CELL_78258,Fibroblast,69.81,46,67.21
CELL_73981,Fibroblast,91.36,34,60.91
CELL_93155,Neuron,18.43,24,67.2
CELL_51135,Neuron,36.75,41,62.44
CELL_21321,Fibroblast,86.39,49,71.01
CELL_35041,Myocyte,28.89,16,76.14
CELL_69493,Neuron,109.58,35,61.41
CELL_72389,Myocyte,83.81,10,93.45
CELL_37973,Fibroblast,35.54,43,86.97
CELL_57268,Neuron,19.3,25,60.43
CELL_65245,Epithelial,75.18,27,71.27
CELL_54250,Stem Cell,67.23,48,80.81
CELL_45571,Myocyte,76.54,8,74.42
CELL_64745,Myocyte,68.93,22,77.94
CELL_71730,Fibroblast,17.75,43,64.46
CELL_84387,Neuron,14.46,11,59.38
CELL_65412,Fibroblast,31.56,26,91.91
CELL_10361,Fibroblast,72.36,23,54.18
CELL_67289,Myocyte,119.44,6,72.15
CELL_23625,Erythrocyte,50.22,22,85.19
CELL_18466,Stem Cell,81.45,21,80.35
CELL_70152,Stem Cell,8.82,36,87.34
CELL_48594,Myocyte,107.38,46,58.76
CELL_95196,Epithelial,50.09,47,59.92
CELL_68086,Leukocyte,80.95,21,56.15
CELL_44524,Epithelial,56.45,10,62.45
CELL_83287,Erythrocyte,75.04,24,56.45
CELL_47346,Erythrocyte,44.31,41,78.2
CELL_79577,Erythrocyte,100.94,24,61.14
CELL_59064,Fibroblast,31.78,47,67.95
CELL_39057,Leukocyte,85.34,9,95.18
CELL_54596,Leukocyte,70.93,27,93.44
CELL_50449,Epithelial,36.53,24,60.5
CELL_63776,Neuron,29.63,33,74.42
CELL_39797,Fibroblast,17.87,48,93.8
CELL_34765,Myocyte,18.22,43,63.24
CELL_13806,Stem Cell,57.34,18,53.09
CELL_63856,Myocyte,62.59,15,92.3
CELL_86769,Myocyte,37.64,38,73.19
CELL_34571,Stem Cell,51.05,29,62.05
CELL_66328,Neuron,97.46,50,91.47
CELL_27992,Epithelial,69.62,30,68.41
CELL_18740,Epithelial,116.63,14,85.49
CELL_35574,Leukocyte,102.17,22,87.09
CELL_80913,Stem Cell,58.77,32,58.17
CELL_29120,Neuron,39.31,19,61.69
CELL_87294,Erythrocyte,118.81,43,81.38
CELL_26222,Neuron,73.95,24,79.17
CELL_86589,Myocyte,39.76,45,75.37
CELL_19454,Neuron,105.73,15,89.22
CELL_71494,Epithelial,59.5,44,75.38
CELL_84900,Erythrocyte,95.44,31,55.24
CELL_30200,Stem Cell,101.82,17,91.69
CELL_63423,Leukocyte,37.08,46,61.34
CELL_19201,Erythrocyte,103.57,39,60.9
CELL_74385,Stem Cell,62.88,41,91.58
CELL_66195,Leukocyte,102.45,29,79.21
CELL_98646,Epithelial,25.48,8,89.61
CELL_40165,Stem Cell,25.85,11,87.86
CELL_18039,Fibroblast,36.33,43,68.03
CELL_82272,Stem Cell,42.69,37,79.56
CELL_26477,Leukocyte,56.94,41,96.51
CELL_86489,Neuron,75.5,18,97.1
CELL_62301,Erythrocyte,8.51,39,58.6
CELL_29691,Erythrocyte,119.42,39,50.86
CELL_48364,Erythrocyte,98.76,39,71.42
CELL_91960,Erythrocyte,110.62,32,86.58
CELL_93644,Leukocyte,94.43,16,81.56
CELL_79313,Neuron,85.16,47,76.19
CELL_53782,Fibroblast,92.9,25,73.87
CELL_49023,Epithelial,96.17,39,75.83
CELL_73025,Erythrocyte,47.35,16,53.13
CELL_30867,Leukocyte,44.1,33,76.34
CELL_75784,Myocyte,75.55,25,58.04
CELL_91918,Erythrocyte,56.15,13,72.34
CELL_16012,Epithelial,45.21,23,85.81
CELL_11751,Fibroblast,39.49,41,51.28
CELL_24542,Erythrocyte,16.35,32,85.88
CELL_82465,Myocyte,36.75,22,76.7
CELL_62308,Myocyte,94.03,37,68.4
CELL_86712,Fibroblast,119.1,27,76.42
CELL_34518,Leukocyte,96.28,22,84.49
CELL_50875,Fibroblast,96.68,12,81.25
CELL_98131,Epithelial,116.49,32,69.6
CELL_55326,Fibroblast,85.35,47,67.16
CELL_60216,Leukocyte,25.16,46,76.89
CELL_42109,Epithelial,97.09,43,99.67
CELL_74905,Stem Cell,93.84,25,92.37
CELL_70347,Leukocyte,21.19,50,84.75
CELL_18573,Leukocyte,27.79,12,74.58
CELL_80638,Erythrocyte,92.0,5,89.97
CELL_14491,Stem Cell,57.53,8,74.55
CELL_35119,Stem Cell,99.72,15,76.28
CELL_42006,Erythrocyte,80.28,46,65.14
CELL_62212,Stem Cell,75.55,46,61.14
CELL_13537,Neuron,70.46,31,57.1
CELL_13688,Epithelial,7.23,11,70.47
CELL_64821,Leukocyte,50.4,12,80.81
CELL_29382,Epithelial,28.33,19,59.04
CELL_39627,Leukocyte,47.65,46,74.84
CELL_81349,Neuron,46.6,32,86.56
CELL_39692,Neuron,79.51,5,82.06
CELL_19810,Myocyte,69.65,8,72.14
CELL_25797,Neuron,72.67,39,71.14
CELL_44031,Myocyte,79.81,26,92.96
CELL_85694,Epithelial,89.44,5,56.45
CELL_86209,Neuron,79.31,9,64.77
CELL_81759,Epithelial,70.84,16,53.24
CELL_44659,Leukocyte,115.82,46,73.79
CELL_80291,Myocyte,92.83,24,57.14
CELL_98505,Stem Cell,113.97,21,66.77
CELL_35554,Epithelial,77.42,13,77.28
CELL_63518,Leukocyte,73.67,36,81.79
CELL_14207,Myocyte,19.54,17,92.18
CELL_86773,Stem Cell,47.02,22,86.75
CELL_70139,Fibroblast,94.66,50,99.27
CELL_41635,Stem Cell,32.59,45,75.29
CELL_46647,Neuron,100.88,45,86.85
CELL_28693,Neuron,36.11,44,81.85
CELL_78685,Neuron,119.19,40,97.91
CELL_55083,Epithelial,101.98,16,62.63
CELL_92928,Fibroblast,20.03,9,79.5
CELL_78833,Fibroblast,79.87,11,61.72
CELL_82287,Erythrocyte,79.4,17,99.93
CELL_60245,Stem Cell,108.28,19,57.58
CELL_76352,Neuron,32.99,28,64.86
CELL_94703,Epithelial,46.09,12,78.48
CELL_17527,Erythrocyte,61.99,38,55.98
CELL_99922,Stem Cell,24.91,48,66.67
CELL_78586,Erythrocyte,93.42,22,60.42
CELL_29196,Epithelial,52.82,9,81.38
CELL_86645,Neuron,46.27,10,76.37
CELL_93149,Leukocyte,100.56,19,73.14
CELL_40587,Erythrocyte,57.43,5,50.25
CELL_81129,Myocyte,62.42,7,55.25
CELL_57340,Fibroblast,17.38,43,67.34
CELL_17719,Epithelial,97.48,27,63.58
CELL_27530,Leukocyte,16.3,34,87.82
CELL_32545,Epithelial,116.4,31,91.05
CELL_79924,Stem Cell,97.15,33,92.39
CELL_83399,Neuron,25.15,38,71.94
CELL_42955,Stem Cell,84.31,39,72.9
CELL_85802,Fibroblast,48.85,28,68.7
CELL_32187,Stem Cell,115.1,27,73.88
CELL_73505,Myocyte,25.29,32,65.89
CELL_88771,Fibroblast,81.11,32,92.82
CELL_94004,Leukocyte,63.35,6,86.73
CELL_59756,Myocyte,21.01,50,62.95
CELL_40164,Epithelial,119.32,39,89.87
CELL_51692,Erythrocyte,40.63,7,73.99
CELL_89836,Erythrocyte,6.8,19,94.97
CELL_67624,Leukocyte,71.35,14,91.7
CELL_79851,Stem Cell,22.77,35,72.33
CELL_52448,Stem Cell,39.13,32,59.59
CELL_80661,Fibroblast,102.66,13,93.45
CELL_50386,Fibroblast,105.33,9,82.42
CELL_91427,Stem Cell,61.87,41,81.67
CELL_95008,Leukocyte,89.72,30,85.09
CELL_61373,Myocyte,56.92,21,97.48
CELL_51779,Erythrocyte,52.67,12,62.74
CELL_96301,Epithelial,74.82,23,63.42
CELL_97018,Stem Cell,32.92,9,61.95
CELL_84348,Myocyte,96.63,23,54.76
CELL_68269,Erythrocyte,109.48,8,58.36
CELL_83937,Stem Cell,24.82,6,80.28
CELL_85481,Neuron,35.12,32,57.51
CELL_93667,Stem Cell,27.1,17,95.89
CELL_41115,Erythrocyte,60.53,41,76.82
CELL_31832,Fibroblast,29.31,44,51.07
CELL_83152,Fibroblast,10.28,30,96.62
CELL_99703,Stem Cell,41.46,43,77.46
CELL_22825,Erythrocyte,17.7,46,63.94
CELL_48693,Leukocyte,23.07,45,85.85
CELL_88128,Neuron,10.81,43,87.09
CELL_96762,Erythrocyte,29.51,24,70.28
CELL_92571,Epithelial,63.97,18,69.15
CELL_61442,Epithelial,47.3,17,95.93
