cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_80113,Erythrocyte,55.34,20,59.08
CELL_98191,Fibroblast,95.47,32,51.23
CELL_25026,Myocyte,45.02,15,69.18
CELL_84461,Fibroblast,62.32,42,52.41
CELL_38308,Myocyte,18.19,40,70.5
CELL_99831,Erythrocyte,68.95,12,73.38
CELL_89401,Epithelial,7.02,33,86.76
CELL_96215,Myocyte,98.42,20,65.92
CELL_60177,Erythrocyte,14.73,20,60.23
CELL_13018,Myocyte,5.31,25,82.59
CELL_17384,Stem Cell,53.18,38,82.65
CELL_64563,Myocyte,9.74,12,90.01
CELL_14510,Stem Cell,72.46,38,54.64
CELL_69258,Myocyte,13.93,30,70.45
CELL_59682,Leukocyte,84.62,43,86.03
CELL_48389,Stem Cell,38.71,23,52.8
CELL_76163,Erythrocyte,117.45,10,90.21
CELL_18558,Myocyte,70.59,17,89.76
CELL_25633,Stem Cell,107.43,8,56.0
CELL_76498,Stem Cell,93.28,25,86.6
CELL_17439,Erythrocyte,83.23,16,67.57
CELL_20783,Leukocyte,60.28,14,98.11
CELL_24462,Leukocyte,14.59,34,71.38
CELL_34914,Myocyte,13.46,21,76.72
CELL_32942,Neuron,105.62,24,69.45
CELL_12596,Fibroblast,53.78,5,93.18
CELL_98088,Epithelial,19.51,49,86.0
CELL_53832,Stem Cell,99.0,6,89.43
CELL_92265,Fibroblast,58.51,32,61.3
CELL_17470,Erythrocyte,110.54,33,73.48
CELL_72899,Myocyte,18.42,50,79.07
CELL_38160,Erythrocyte,67.7,31,54.45
CELL_35595,Leukocyte,43.48,23,84.13
CELL_54162,Epithelial,19.37,43,96.52
CELL_39625,Leukocyte,59.3,10,96.79
CELL_60167,Epithelial,13.95,29,67.82
CELL_65728,Stem Cell,34.69,6,51.93
CELL_22299,Epithelial,68.71,49,80.54
CELL_71998,Fibroblast,6.08,9,50.36
CELL_50512,Myocyte,100.09,10,85.18
CELL_59629,Erythrocyte,60.18,8,73.61
CELL_54137,Erythrocyte,90.31,40,64.96
CELL_88455,Leukocyte,23.67,40,94.71
CELL_99177,Erythrocyte,18.56,30,52.34
CELL_48439,Leukocyte,66.58,42,56.28
CELL_65371,Fibroblast,5.3,16,73.29
CELL_39261,Erythrocyte,30.1,35,59.92
CELL_27437,Fibroblast,17.68,26,91.24
CELL_62143,Epithelial,55.02,12,53.37
CELL_83894,Epithelial,59.15,48,80.72
CELL_20902,Stem Cell,68.73,38,68.54
