cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_21452,Neuron,77.57,32,69.72
CELL_30277,Erythrocyte,91.66,19,58.12
CELL_23165,Stem Cell,40.53,15,81.31
CELL_79253,Leukocyte,68.16,48,62.98
CELL_84982,Stem Cell,87.28,38,53.61
CELL_53562,Erythrocyte,79.13,50,53.3
CELL_34162,Fibroblast,74.92,31,85.73
CELL_91281,Stem Cell,100.11,49,68.96
CELL_72505,Leukocyte,91.95,41,78.16
CELL_84533,Leukocyte,69.44,49,56.93
CELL_45411,Erythrocyte,48.71,20,96.45
CELL_97447,Neuron,102.52,23,76.54
CELL_79258,Erythrocyte,115.66,34,88.35
CELL_21018,Neuron,33.76,14,76.11
CELL_41017,Stem Cell,89.56,12,55.14
CELL_85274,Stem Cell,30.55,21,94.15
CELL_68289,Stem Cell,93.21,20,95.57
CELL_37225,Erythrocyte,20.68,6,67.93
CELL_62612,Stem Cell,95.8,37,90.45
CELL_31850,Erythrocyte,21.97,41,52.28
CELL_84848,Epithelial,35.5,38,88.99
CELL_64830,Erythrocyte,68.29,49,82.71
CELL_90699,Neuron,80.24,12,64.59
CELL_88124,Epithelial,75.31,20,68.92
CELL_62908,Stem Cell,37.77,35,81.86
CELL_30072,Neuron,87.25,27,85.35
CELL_89118,Neuron,85.3,10,99.22
CELL_89806,Erythrocyte,53.52,36,76.93
CELL_43466,Neuron,32.34,23,68.58
CELL_32739,Fibroblast,118.83,42,81.41
CELL_42106,Fibroblast,41.82,40,86.45
CELL_78038,Fibroblast,40.48,47,81.69
CELL_40004,Fibroblast,94.07,36,62.14
CELL_95880,Epithelial,34.16,18,71.66
CELL_34023,Stem Cell,111.16,11,64.09
CELL_65962,Myocyte,38.77,47,58.67
CELL_52117,Erythrocyte,13.89,13,87.05
CELL_29932,Epithelial,37.47,23,66.28
CELL_74582,Epithelial,80.89,30,80.97
CELL_89342,Epithelial,43.07,26,93.49
CELL_65949,Stem Cell,99.24,10,59.5
CELL_14066,Leukocyte,29.38,31,69.91
CELL_69671,Erythrocyte,73.39,50,66.04
