cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_85458,Fibroblast,83.87,44,74.55
CELL_73648,Neuron,71.53,16,50.02
CELL_68310,Stem Cell,113.54,14,51.52
CELL_57794,Myocyte,80.38,40,84.13
CELL_52771,Leukocyte,70.86,20,73.86
CELL_57778,Myocyte,114.2,47,96.57
CELL_49543,Myocyte,102.22,11,88.01
CELL_92636,Neuron,100.22,24,79.9
CELL_95839,Myocyte,6.44,39,99.69
CELL_32557,Neuron,51.9,19,66.96
CELL_33042,Leukocyte,27.91,8,94.1
CELL_66267,Erythrocyte,116.07,6,90.9
CELL_72164,Stem Cell,107.63,31,76.94
CELL_48868,Fibroblast,92.49,10,75.24
CELL_15127,Leukocyte,109.15,32,86.73
CELL_12274,Leukocyte,34.86,40,79.47
CELL_55865,Myocyte,86.32,39,51.29
CELL_97714,Fibroblast,84.55,31,63.32
CELL_49157,Fibroblast,88.51,25,78.45
CELL_36695,Erythrocyte,74.29,49,71.31
CELL_19760,Neuron,40.79,26,72.94
CELL_59907,Epithelial,71.89,29,79.68
CELL_34012,Leukocyte,33.61,7,68.59
CELL_90971,Erythrocyte,79.24,20,90.8
CELL_89279,Fibroblast,116.29,5,95.88
CELL_51736,Myocyte,15.28,6,96.63
CELL_99928,Neuron,83.94,6,50.3
CELL_17843,Fibroblast,55.29,16,57.67
CELL_32296,Myocyte,60.5,36,86.96
CELL_36578,Neuron,109.17,30,98.22
CELL_41317,Myocyte,41.21,9,93.05
CELL_72075,Neuron,10.03,47,78.22
CELL_23045,Leukocyte,46.01,29,51.19
CELL_71446,Neuron,32.89,30,61.09
CELL_64527,Erythrocyte,61.45,45,64.36
CELL_21738,Epithelial,116.2,44,88.35
CELL_59113,Erythrocyte,112.67,22,76.38
CELL_56370,Epithelial,6.8,44,69.85
CELL_99216,Epithelial,67.0,14,87.88
CELL_64246,Epithelial,20.24,13,91.3
CELL_59267,Stem Cell,9.21,31,66.29
CELL_78142,Epithelial,102.23,32,85.19
CELL_57032,Neuron,71.61,12,80.04
CELL_29643,Neuron,44.76,30,53.12
CELL_62368,Stem Cell,90.95,14,94.83
CELL_32875,Neuron,38.18,15,79.47
CELL_85222,Stem Cell,41.79,28,67.97
CELL_20963,Myocyte,15.22,49,53.56
CELL_66756,Epithelial,39.39,28,97.01
CELL_96166,Erythrocyte,46.99,15,88.52
CELL_34122,Myocyte,59.63,41,60.37
CELL_27514,Epithelial,37.44,49,97.98
CELL_69725,Leukocyte,59.46,12,92.01
CELL_81833,Erythrocyte,61.73,30,80.85
CELL_48750,Leukocyte,9.19,23,75.49
CELL_73048,Fibroblast,90.32,39,62.92
CELL_83374,Neuron,66.85,9,57.9
CELL_25730,Leukocyte,90.66,33,86.4
CELL_77745,Fibroblast,98.41,37,97.22
CELL_65559,Stem Cell,77.41,38,61.25
CELL_79660,Leukocyte,39.34,13,89.46
CELL_75285,Leukocyte,109.26,29,81.91
CELL_10212,Fibroblast,70.69,34,55.23
CELL_97556,Neuron,93.3,20,58.95
CELL_21033,Erythrocyte,104.28,7,85.95
CELL_71277,Stem Cell,65.58,6,99.91
CELL_59693,Leukocyte,39.41,9,52.86
CELL_65269,Leukocyte,45.43,45,87.6
CELL_78224,Fibroblast,61.49,29,77.24
CELL_17289,Erythrocyte,19.91,25,69.72
CELL_89474,Neuron,40.9,20,92.63
CELL_32318,Stem Cell,76.03,10,82.7
CELL_83017,Myocyte,109.73,14,99.95
CELL_51484,Myocyte,61.33,22,64.39
CELL_33609,Erythrocyte,33.71,23,52.5
CELL_40407,Stem Cell,116.97,8,76.3
CELL_83675,Myocyte,11.62,11,57.3
