cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_67489,Neuron,21.36,21,95.88
CELL_32963,Epithelial,64.93,41,88.61
CELL_77703,Myocyte,95.26,10,60.25
CELL_59564,Fibroblast,98.14,20,57.65
CELL_69852,Erythrocyte,69.39,16,73.49
CELL_87610,Erythrocyte,93.79,6,73.2
CELL_67188,Stem Cell,47.14,18,85.8
CELL_96276,Fibroblast,108.39,30,74.6
CELL_78524,Fibroblast,107.71,6,88.92
CELL_78364,Epithelial,118.24,9,50.92
CELL_62756,Leukocyte,33.79,50,82.41
CELL_62454,Neuron,112.09,8,80.59
CELL_58373,Fibroblast,31.92,11,54.68
CELL_76098,Erythrocyte,81.01,39,72.66
CELL_79097,Stem Cell,104.33,19,88.03
CELL_73817,Stem Cell,19.64,44,69.72
CELL_75883,Erythrocyte,56.65,48,89.8
CELL_92679,Stem Cell,101.09,16,82.46
CELL_36651,Leukocyte,50.83,10,79.78
CELL_19276,Myocyte,16.08,9,90.32
CELL_79161,Myocyte,112.36,37,59.29
CELL_59354,Fibroblast,39.49,6,92.26
CELL_62091,Epithelial,30.58,28,74.58
CELL_45763,Epithelial,28.69,13,61.16
CELL_36315,Epithelial,43.4,40,82.71
CELL_14390,Myocyte,41.62,24,86.3
CELL_97405,Stem Cell,32.95,25,69.43
CELL_14135,Fibroblast,6.16,26,67.39
CELL_97731,Fibroblast,90.95,23,51.94
CELL_88235,Leukocyte,15.59,18,96.21
CELL_92094,Neuron,17.8,11,64.94
CELL_47222,Erythrocyte,24.53,48,83.92
CELL_77027,Stem Cell,54.58,46,62.03
CELL_30887,Neuron,80.26,44,82.42
CELL_88083,Erythrocyte,55.24,6,68.29
CELL_87101,Leukocyte,104.22,40,58.95
CELL_65304,Stem Cell,78.9,26,85.57
CELL_39408,Neuron,22.61,12,79.6
CELL_40262,Myocyte,55.63,43,94.11
CELL_80039,Erythrocyte,113.89,23,62.72
CELL_20788,Stem Cell,69.43,22,86.41
CELL_74220,Epithelial,51.07,30,99.82
CELL_70544,Epithelial,98.82,48,96.53
CELL_42336,Leukocyte,101.71,5,61.0
CELL_77014,Erythrocyte,91.15,23,96.78
CELL_38355,Stem Cell,110.89,47,80.7
CELL_12573,Myocyte,89.91,14,98.09
CELL_50124,Erythrocyte,64.58,15,70.94
CELL_33443,Fibroblast,68.78,23,73.3
CELL_83971,Stem Cell,94.84,24,69.44
CELL_67040,Stem Cell,61.43,5,85.55
CELL_83741,Leukocyte,109.65,16,90.32
CELL_89465,Neuron,31.69,42,52.22
CELL_69168,Stem Cell,50.73,38,73.52
CELL_69978,Erythrocyte,84.71,9,89.9
CELL_39769,Epithelial,90.08,9,96.13
CELL_65858,Fibroblast,55.45,31,99.62
CELL_12819,Myocyte,109.15,20,50.75
CELL_91657,Epithelial,67.46,7,61.9
CELL_84902,Myocyte,35.19,40,52.88
CELL_58412,Epithelial,20.53,32,86.05
CELL_86130,Neuron,91.84,31,52.9
CELL_84676,Fibroblast,49.7,7,68.23
CELL_94661,Neuron,88.32,44,91.53
CELL_21525,Neuron,110.48,47,76.53
CELL_43096,Leukocyte,82.12,11,77.08
CELL_42505,Neuron,97.98,25,76.21
CELL_57388,Erythrocyte,17.37,36,69.74
CELL_11611,Stem Cell,60.78,41,86.99
CELL_96402,Erythrocyte,17.64,18,61.76
CELL_28512,Epithelial,110.19,33,72.13
CELL_69753,Neuron,81.67,8,55.08
CELL_72766,Stem Cell,16.55,42,94.06
CELL_51778,Stem Cell,57.64,16,78.26
CELL_67966,Neuron,6.92,41,90.52
CELL_10687,Epithelial,21.07,16,75.27
CELL_82362,Stem Cell,54.33,18,62.12
CELL_66083,Myocyte,92.75,35,82.86
CELL_63267,Fibroblast,95.25,16,92.06
CELL_40980,Leukocyte,35.15,36,52.86
CELL_31466,Stem Cell,96.55,6,96.58
CELL_29362,Neuron,100.98,42,96.83
CELL_66284,Myocyte,31.98,16,73.64
CELL_90475,Leukocyte,74.77,13,61.11
CELL_84942,Stem Cell,114.03,40,64.26
CELL_61359,Leukocyte,22.73,35,94.07
CELL_91183,Fibroblast,83.59,15,69.42
CELL_34619,Epithelial,88.07,45,53.0
CELL_71781,Epithelial,79.73,6,85.11
CELL_83196,Fibroblast,101.87,38,89.26
CELL_15716,Myocyte,63.1,34,55.35
CELL_52625,Stem Cell,111.13,42,57.13
CELL_63944,Myocyte,13.45,26,75.8
CELL_32557,Epithelial,35.44,37,59.83
CELL_82006,Myocyte,108.33,49,84.88
CELL_32039,Epithelial,47.55,9,74.93
CELL_91546,Leukocyte,84.6,32,98.61
CELL_97082,Myocyte,44.79,34,94.74
CELL_83497,Myocyte,54.23,18,60.6
CELL_93291,Fibroblast,70.5,5,99.55
CELL_59604,Fibroblast,44.09,25,65.41
CELL_45296,Neuron,16.87,38,56.28
CELL_20867,Fibroblast,108.62,29,85.48
CELL_23591,Fibroblast,69.86,36,67.0
CELL_40803,Fibroblast,25.12,37,54.07
CELL_35000,Neuron,65.95,14,94.45
CELL_38132,Epithelial,50.21,9,51.82
CELL_43774,Leukocyte,102.97,37,64.64
CELL_90790,Myocyte,14.22,20,96.48
CELL_88757,Leukocyte,119.7,9,88.08
CELL_76336,Neuron,30.66,43,53.87
CELL_15606,Stem Cell,50.35,9,90.92
CELL_63246,Stem Cell,96.91,39,98.44
CELL_82395,Neuron,97.13,8,74.21
CELL_58896,Leukocyte,88.26,25,84.3
CELL_94923,Leukocyte,96.62,26,71.29
CELL_73312,Myocyte,82.53,48,65.06
CELL_60171,Leukocyte,109.88,40,60.42
CELL_60015,Erythrocyte,13.7,19,86.68
CELL_88999,Erythrocyte,75.5,36,53.52
CELL_26765,Epithelial,35.33,17,92.13
CELL_15194,Leukocyte,113.66,31,62.05
CELL_77661,Epithelial,7.78,26,91.59
CELL_57420,Myocyte,116.34,23,83.34
CELL_57068,Leukocyte,39.82,49,53.38
CELL_26057,Stem Cell,8.85,41,54.22
CELL_69345,Neuron,31.68,45,89.46
CELL_86538,Fibroblast,107.98,27,57.75
CELL_34850,Stem Cell,15.92,44,59.75
CELL_80765,Fibroblast,106.0,30,62.7
CELL_87640,Myocyte,49.88,9,85.9
CELL_76507,Stem Cell,81.78,5,83.95
CELL_38606,Leukocyte,82.08,24,54.26
CELL_53696,Leukocyte,72.51,33,76.7
CELL_54957,Neuron,8.05,44,89.18
CELL_92970,Erythrocyte,109.3,42,51.37
CELL_92640,Fibroblast,29.65,16,68.57
CELL_41991,Leukocyte,108.23,41,81.98
CELL_52946,Stem Cell,17.32,17,52.97
CELL_22694,Leukocyte,97.55,33,86.56
CELL_29781,Erythrocyte,99.82,11,57.72
CELL_37192,Neuron,111.7,20,96.03
CELL_63158,Neuron,101.83,10,74.8
CELL_98975,Erythrocyte,29.67,48,93.54
CELL_27152,Epithelial,39.93,22,56.73
CELL_64403,Neuron,87.9,25,84.34
CELL_81491,Myocyte,37.58,13,78.34
CELL_47293,Epithelial,19.89,49,81.98
CELL_95517,Epithelial,93.23,31,61.54
CELL_22884,Erythrocyte,26.53,23,59.02
CELL_16050,Neuron,34.58,47,99.54
CELL_12974,Leukocyte,79.21,43,62.02
CELL_45681,Myocyte,108.92,50,80.29
CELL_70348,Erythrocyte,115.33,39,98.02
CELL_67579,Myocyte,65.56,18,65.59
CELL_54762,Fibroblast,113.72,17,88.34
