cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_23786,Myocyte,11.17,27,55.61
CELL_57219,Myocyte,7.61,25,98.09
CELL_47726,Stem Cell,88.38,17,92.42
CELL_34029,Fibroblast,108.15,33,82.18
CELL_85956,Stem Cell,80.78,9,59.14
CELL_33413,Fibroblast,81.87,23,52.35
CELL_56695,Leukocyte,118.04,27,99.57
CELL_58280,Epithelial,110.61,40,94.89
CELL_66721,Neuron,21.38,47,63.52
CELL_30457,Epithelial,14.18,32,55.47
CELL_37219,Neuron,111.26,39,74.47
CELL_25245,Erythrocyte,69.41,24,87.06
CELL_73129,Erythrocyte,116.51,48,65.59
CELL_82440,Epithelial,89.82,13,64.57
CELL_46274,Neuron,108.12,44,65.17
CELL_24244,Erythrocyte,37.99,14,70.84
CELL_87483,Stem Cell,12.52,34,95.89
CELL_92827,Fibroblast,59.65,44,72.19
CELL_62452,Neuron,59.76,13,90.91
CELL_97571,Leukocyte,63.67,46,97.14
CELL_81290,Myocyte,55.11,20,55.1
CELL_52318,Leukocyte,74.84,30,96.22
CELL_49352,Neuron,55.0,35,86.86
CELL_67893,Epithelial,85.97,41,50.19
CELL_44523,Fibroblast,85.15,26,98.28
CELL_15368,Myocyte,65.95,45,62.86
CELL_20883,Leukocyte,48.59,45,77.87
CELL_71600,Myocyte,55.27,7,91.82
CELL_62242,Neuron,52.5,47,83.64
CELL_50348,Fibroblast,6.11,41,70.6
CELL_98653,Stem Cell,91.89,30,68.39
CELL_22823,Myocyte,74.04,26,82.05
CELL_99769,Myocyte,33.35,21,76.5
CELL_14747,Leukocyte,61.13,29,70.57
CELL_62130,Neuron,70.6,43,88.2
CELL_47549,Erythrocyte,35.3,33,62.48
CELL_70325,Neuron,73.07,47,85.96
CELL_12328,Myocyte,46.31,26,93.97
CELL_39956,Myocyte,84.93,38,76.31
CELL_64409,Leukocyte,69.33,20,62.6
CELL_60500,Erythrocyte,11.21,28,65.63
CELL_76093,Epithelial,84.02,32,73.09
CELL_48618,Neuron,59.6,11,68.1
CELL_17465,Stem Cell,32.12,11,79.21
CELL_26921,Stem Cell,55.61,22,81.92
CELL_83447,Fibroblast,42.71,13,79.12
CELL_56606,Neuron,118.71,46,90.33
CELL_96785,Leukocyte,93.88,12,88.87
CELL_39283,Myocyte,62.79,22,93.94
CELL_63537,Fibroblast,98.96,27,66.03
CELL_30711,Stem Cell,21.97,40,56.25
CELL_36711,Fibroblast,28.1,31,92.5
CELL_63356,Myocyte,74.26,50,74.57
CELL_68775,Myocyte,70.01,42,96.84
CELL_10372,Erythrocyte,98.73,9,97.72
CELL_47982,Neuron,111.2,15,72.24
CELL_63705,Leukocyte,44.5,49,79.44
CELL_69220,Neuron,119.15,34,83.72
CELL_65335,Fibroblast,91.29,50,99.66
CELL_96931,Neuron,89.3,31,87.1
CELL_44220,Myocyte,40.23,14,84.66
CELL_14314,Neuron,109.91,39,66.74
CELL_63299,Myocyte,111.12,26,58.71
CELL_30773,Stem Cell,94.46,30,57.03
CELL_20187,Erythrocyte,83.88,29,93.38
CELL_62560,Leukocyte,108.19,26,67.46
CELL_63484,Myocyte,87.75,33,68.95
CELL_83545,Erythrocyte,46.62,23,84.78
CELL_72544,Fibroblast,78.69,15,72.37
CELL_23901,Neuron,82.39,17,95.37
CELL_68250,Leukocyte,81.27,48,85.54
CELL_69581,Stem Cell,66.71,46,69.72
CELL_93647,Stem Cell,97.55,14,87.78
CELL_94052,Erythrocyte,62.9,5,60.63
CELL_32113,Fibroblast,14.12,49,53.17
CELL_66290,Erythrocyte,79.39,29,91.8
CELL_81313,Epithelial,107.29,6,99.74
CELL_43542,Stem Cell,78.51,8,72.41
CELL_71620,Fibroblast,116.85,11,76.49
CELL_48458,Epithelial,82.43,39,94.04
CELL_26887,Neuron,58.24,20,62.57
CELL_48213,Epithelial,7.02,32,62.2
CELL_11444,Fibroblast,75.52,43,91.71
CELL_34237,Stem Cell,52.72,6,67.41
CELL_16792,Neuron,13.96,18,68.32
CELL_11846,Fibroblast,79.97,25,66.2
CELL_76471,Stem Cell,98.57,15,93.62
CELL_93615,Neuron,35.66,38,75.96
CELL_61591,Epithelial,27.09,15,55.49
CELL_78605,Epithelial,79.8,5,56.04
CELL_20574,Stem Cell,47.11,27,82.23
CELL_11406,Myocyte,91.97,47,53.66
CELL_85386,Epithelial,29.1,50,51.52
