cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_51113,Stem Cell,23.45,32,53.11
CELL_32313,Leukocyte,41.83,43,92.64
CELL_41827,Leukocyte,56.53,39,87.02
CELL_34594,Myocyte,50.1,12,80.88
CELL_81051,Erythrocyte,99.5,50,71.07
CELL_31168,Fibroblast,29.4,17,83.38
CELL_43065,Leukocyte,43.54,41,67.72
CELL_63259,Myocyte,84.64,13,65.09
CELL_77845,Leukocyte,61.26,18,59.63
CELL_17198,Fibroblast,84.0,32,63.47
CELL_64651,Neuron,21.75,41,75.79
CELL_73055,Leukocyte,54.89,5,88.78
CELL_63025,Erythrocyte,54.72,6,55.53
CELL_70539,Stem Cell,87.18,7,84.06
CELL_15674,Leukocyte,21.3,28,66.29
CELL_62734,Leukocyte,81.14,41,63.67
CELL_82587,Leukocyte,97.48,34,57.05
CELL_35919,Stem Cell,118.6,14,97.34
CELL_16621,Stem Cell,112.67,44,54.11
CELL_92422,Erythrocyte,37.39,35,72.06
CELL_74519,Stem Cell,49.92,40,98.03
CELL_72837,Leukocyte,66.96,39,91.45
CELL_18855,Erythrocyte,76.79,43,69.09
CELL_53887,Epithelial,7.08,28,80.18
CELL_29815,Stem Cell,64.11,38,71.09
CELL_57254,Erythrocyte,66.4,12,61.69
CELL_69298,Epithelial,77.3,29,63.51
CELL_60893,Neuron,117.47,32,62.52
CELL_11742,Epithelial,91.68,46,70.87
CELL_62673,Erythrocyte,25.21,34,63.66
CELL_10287,Fibroblast,34.58,33,86.93
CELL_62347,Leukocyte,5.86,27,65.71
CELL_89129,Fibroblast,12.02,45,84.7
CELL_50815,Myocyte,9.53,21,86.64
CELL_13490,Leukocyte,5.45,48,54.03
CELL_35097,Myocyte,23.33,36,57.17
CELL_49694,Epithelial,108.53,18,93.56
CELL_23639,Stem Cell,97.18,37,58.63
CELL_46820,Stem Cell,14.88,50,70.42
CELL_88553,Stem Cell,107.07,33,79.62
CELL_87654,Leukocyte,39.43,45,59.96
CELL_40698,Epithelial,88.14,19,71.23
CELL_44213,Neuron,79.65,8,57.73
CELL_14224,Myocyte,20.54,44,99.1
CELL_21290,Erythrocyte,36.85,33,65.93
CELL_34832,Fibroblast,109.1,28,59.25
CELL_41626,Leukocyte,81.7,19,93.58
CELL_96733,Neuron,85.3,18,71.25
CELL_26140,Fibroblast,63.96,8,74.39
CELL_40480,Epithelial,81.79,15,56.28
CELL_39127,Myocyte,112.44,13,70.75
CELL_88497,Stem Cell,58.56,47,87.47
CELL_62164,Neuron,108.87,13,95.25
CELL_11493,Neuron,94.99,14,78.89
CELL_94920,Myocyte,43.19,33,62.37
CELL_96465,Myocyte,104.56,19,51.78
CELL_26734,Neuron,53.19,11,64.12
CELL_92427,Leukocyte,110.64,40,87.84
CELL_15009,Epithelial,118.6,21,53.66
CELL_20162,Fibroblast,82.92,12,61.61
CELL_18681,Epithelial,38.32,46,54.16
CELL_12156,Neuron,12.17,19,84.92
CELL_64480,Epithelial,6.8,30,74.94
CELL_46109,Fibroblast,39.92,23,91.12
CELL_40685,Fibroblast,113.86,43,53.68
CELL_15011,Fibroblast,34.29,44,80.68
CELL_13740,Leukocyte,71.88,7,72.17
CELL_38780,Fibroblast,103.82,16,76.59
CELL_49080,Myocyte,101.22,10,56.48
CELL_58857,Epithelial,14.83,38,58.09
CELL_86746,Myocyte,37.53,28,52.0
CELL_15469,Epithelial,30.84,39,68.67
CELL_10916,Leukocyte,8.25,50,95.09
CELL_22088,Erythrocyte,66.67,42,64.23
CELL_70709,Epithelial,33.55,17,58.17
CELL_97775,Leukocyte,68.39,44,75.27
CELL_88405,Myocyte,59.56,44,56.87
CELL_64825,Fibroblast,113.23,49,62.22
CELL_90394,Neuron,119.19,20,67.38
CELL_88344,Epithelial,22.76,21,98.22
CELL_42723,Stem Cell,27.01,35,75.38
CELL_79750,Myocyte,117.35,23,80.3
CELL_24514,Erythrocyte,90.88,39,71.04
CELL_31636,Neuron,13.17,13,71.14
CELL_61172,Leukocyte,6.62,45,81.86
CELL_76003,Neuron,24.8,9,91.6
CELL_72519,Erythrocyte,113.39,23,76.98
CELL_65713,Epithelial,93.86,48,80.87
CELL_24091,Epithelial,13.05,16,62.93
CELL_63936,Stem Cell,91.1,28,51.56
CELL_51074,Epithelial,71.75,38,65.28
CELL_41969,Myocyte,38.72,47,50.21
CELL_77075,Stem Cell,86.23,14,90.1
CELL_40944,Stem Cell,105.82,23,98.74
CELL_69081,Leukocyte,7.12,18,84.97
CELL_35553,Stem Cell,87.34,7,74.76
CELL_34131,Neuron,27.78,33,74.48
CELL_73867,Epithelial,92.0,29,99.89
CELL_46912,Myocyte,15.57,49,89.62
CELL_14358,Epithelial,95.66,28,58.87
CELL_62625,Stem Cell,83.91,35,56.05
CELL_30278,Erythrocyte,28.96,35,82.94
CELL_93767,Neuron,43.15,29,80.36
CELL_12931,Erythrocyte,67.16,7,82.82
CELL_70917,Myocyte,6.22,45,95.75
CELL_87658,Stem Cell,80.18,23,57.98
CELL_44376,Myocyte,112.94,15,81.11
CELL_63888,Stem Cell,113.62,15,82.65
CELL_82846,Neuron,47.65,13,64.61
CELL_76917,Stem Cell,56.23,10,94.27
CELL_97494,Fibroblast,101.71,42,74.72
CELL_62817,Erythrocyte,80.7,29,98.82
CELL_85632,Stem Cell,105.54,20,71.24
CELL_15936,Neuron,22.4,32,55.3
CELL_17805,Myocyte,18.98,13,83.47
CELL_88197,Epithelial,78.59,6,66.25
CELL_17558,Neuron,51.99,18,51.67
CELL_75897,Leukocyte,27.59,15,85.31
CELL_30732,Epithelial,107.75,13,60.69
CELL_67385,Epithelial,62.42,49,64.53
CELL_45620,Leukocyte,100.99,38,96.34
CELL_69111,Leukocyte,82.87,36,56.53
CELL_64349,Leukocyte,23.57,37,71.1
CELL_91113,Erythrocyte,104.27,31,50.17
CELL_54702,Fibroblast,75.04,46,50.98
CELL_36982,Leukocyte,114.52,23,78.84
CELL_89322,Stem Cell,80.3,34,65.23
CELL_12573,Fibroblast,74.87,24,67.91
CELL_63804,Stem Cell,77.14,50,83.9
CELL_98275,Erythrocyte,80.65,23,76.53
CELL_42525,Erythrocyte,32.07,16,69.47
CELL_30287,Epithelial,18.13,12,50.62
