cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_36857,Fibroblast,9.12,36,89.68
CELL_84244,Fibroblast,14.26,31,50.19
CELL_85561,Leukocyte,98.57,14,75.47
CELL_52608,Stem Cell,111.31,41,86.09
CELL_21530,Leukocyte,88.42,25,61.07
CELL_83840,Erythrocyte,24.27,11,52.47
CELL_62440,Fibroblast,67.15,28,54.0
CELL_66718,Erythrocyte,74.11,10,61.21
CELL_16337,Erythrocyte,90.65,9,71.47
CELL_63079,Epithelial,66.55,18,78.66
CELL_94929,Neuron,56.72,16,98.61
CELL_48520,Leukocyte,101.09,5,74.62
CELL_53408,Erythrocyte,79.37,42,78.82
CELL_88591,Myocyte,108.41,36,66.53
CELL_93441,Neuron,115.54,45,76.57
CELL_68617,Myocyte,84.86,13,50.24
CELL_76850,Neuron,52.06,27,50.38
CELL_69202,Fibroblast,75.75,16,75.34
CELL_73608,Erythrocyte,47.49,11,77.64
CELL_70296,Erythrocyte,80.64,39,86.04
CELL_79352,Epithelial,107.79,15,91.4
CELL_54943,Epithelial,14.83,31,66.82
CELL_13386,Epithelial,61.33,46,95.39
CELL_80135,Leukocyte,12.09,7,88.51
CELL_21032,Fibroblast,79.71,32,71.69
CELL_28295,Leukocyte,8.44,14,56.77
CELL_82579,Myocyte,38.63,16,72.4
CELL_74750,Stem Cell,80.45,19,70.53
CELL_53710,Erythrocyte,44.92,39,52.54
CELL_35026,Stem Cell,33.03,50,60.25
CELL_25051,Erythrocyte,91.41,10,95.76
CELL_87989,Erythrocyte,25.73,23,75.13
CELL_23042,Erythrocyte,54.92,7,63.67
CELL_53628,Erythrocyte,82.98,38,71.47
CELL_60899,Stem Cell,30.77,21,50.8
CELL_89000,Fibroblast,15.01,49,69.45
CELL_19047,Fibroblast,113.83,42,76.0
CELL_89375,Leukocyte,88.32,20,78.46
CELL_88390,Stem Cell,62.67,21,84.93
CELL_66572,Leukocyte,77.18,26,66.16
CELL_29420,Myocyte,90.74,26,65.94
CELL_91965,Stem Cell,117.39,38,70.89
CELL_56747,Stem Cell,109.12,25,83.35
CELL_26014,Leukocyte,41.24,20,94.43
CELL_56675,Fibroblast,118.43,17,84.99
CELL_75622,Erythrocyte,74.68,19,86.88
CELL_88948,Stem Cell,105.31,40,65.2
CELL_66753,Myocyte,83.65,46,94.62
CELL_18239,Epithelial,114.17,44,83.3
CELL_56307,Neuron,16.47,28,60.9
CELL_11082,Stem Cell,26.73,14,82.03
CELL_30649,Epithelial,45.7,39,50.61
CELL_58118,Leukocyte,117.93,28,99.57
CELL_29661,Leukocyte,118.3,34,59.09
CELL_95462,Myocyte,105.92,8,87.95
CELL_67260,Neuron,46.75,45,77.45
CELL_17596,Erythrocyte,52.57,40,76.3
CELL_73633,Neuron,119.55,8,88.22
CELL_44515,Epithelial,54.97,20,81.9
CELL_93661,Neuron,54.97,44,86.75
CELL_47778,Leukocyte,90.98,19,57.25
CELL_76018,Erythrocyte,102.0,22,70.03
CELL_16940,Fibroblast,70.82,37,65.13
CELL_26833,Myocyte,42.96,29,74.7
CELL_75026,Erythrocyte,119.98,8,89.62
CELL_57250,Myocyte,58.62,45,91.41
CELL_89984,Stem Cell,12.27,34,78.38
CELL_83834,Fibroblast,84.93,44,97.76
CELL_73253,Leukocyte,23.85,27,87.3
CELL_43541,Fibroblast,51.67,42,61.95
CELL_28077,Neuron,23.27,49,59.94
CELL_78177,Neuron,62.42,40,75.01
CELL_13328,Fibroblast,110.13,27,59.43
CELL_32110,Myocyte,44.7,28,69.45
CELL_22799,Stem Cell,96.78,16,84.37
CELL_42704,Fibroblast,95.58,12,74.88
CELL_74438,Neuron,26.79,7,90.11
CELL_89385,Myocyte,52.93,13,63.02
CELL_27402,Erythrocyte,55.28,35,81.05
CELL_11971,Stem Cell,41.61,6,75.79
CELL_31825,Fibroblast,7.76,42,84.66
CELL_24918,Leukocyte,60.42,50,66.82
CELL_27939,Myocyte,26.1,49,91.68
CELL_37446,Myocyte,65.87,46,84.12
CELL_55668,Erythrocyte,82.38,41,97.08
CELL_26833,Neuron,95.93,23,86.99
CELL_70245,Leukocyte,91.21,11,87.19
CELL_62820,Epithelial,14.89,37,72.29
CELL_86850,Neuron,49.36,34,72.2
CELL_74670,Leukocyte,86.2,10,68.78
CELL_60563,Myocyte,65.6,22,54.07
CELL_11967,Erythrocyte,95.61,38,53.48
CELL_65269,Stem Cell,13.56,28,91.33
CELL_45901,Neuron,38.71,48,89.41
CELL_87209,Myocyte,7.77,44,78.32
CELL_49365,Epithelial,60.82,15,67.35
CELL_81872,Erythrocyte,34.39,33,58.65
CELL_27609,Erythrocyte,7.53,29,79.02
CELL_62990,Erythrocyte,15.58,45,81.16
CELL_58858,Epithelial,106.48,39,59.37
CELL_53149,Stem Cell,17.66,32,79.75
CELL_86394,Epithelial,77.5,47,81.92
CELL_25547,Epithelial,99.87,46,75.26
CELL_27828,Stem Cell,52.74,27,57.91
CELL_82918,Leukocyte,52.97,22,69.68
CELL_57237,Neuron,71.03,30,83.55
CELL_15612,Myocyte,68.59,37,85.0
CELL_17007,Leukocyte,69.52,6,84.57
CELL_64079,Epithelial,6.29,32,76.4
CELL_53609,Myocyte,13.76,27,67.4
CELL_50432,Stem Cell,97.76,38,51.09
CELL_67759,Leukocyte,86.25,48,93.35
CELL_75044,Neuron,28.47,35,99.77
CELL_58359,Epithelial,59.2,14,89.36
CELL_20260,Leukocyte,45.66,14,95.12
CELL_59851,Leukocyte,80.29,15,69.43
CELL_21891,Epithelial,98.76,19,73.26
CELL_47578,Fibroblast,83.28,19,90.29
CELL_80962,Neuron,46.8,50,60.72
CELL_45819,Epithelial,43.53,22,90.57
CELL_50805,Fibroblast,43.15,33,67.37
CELL_63880,Stem Cell,105.28,32,55.27
CELL_58886,Fibroblast,48.36,34,58.68
CELL_72921,Fibroblast,31.66,10,76.22
CELL_18370,Fibroblast,117.93,45,62.34
CELL_18482,Neuron,11.78,37,90.18
CELL_60935,Stem Cell,105.65,21,64.78
CELL_16708,Myocyte,77.79,48,57.17
CELL_49604,Leukocyte,54.69,14,72.77
CELL_31990,Neuron,90.06,20,87.06
CELL_53216,Fibroblast,109.8,22,69.64
CELL_45923,Neuron,38.43,8,55.08
CELL_85765,Neuron,66.34,26,66.03
CELL_81617,Fibroblast,24.52,15,61.01
CELL_43201,Erythrocyte,105.42,11,54.33
CELL_71696,Myocyte,61.74,34,84.63
CELL_40721,Erythrocyte,56.0,27,60.16
CELL_31098,Erythrocyte,38.2,29,98.55
CELL_13528,Myocyte,87.06,32,60.12
CELL_54164,Leukocyte,101.7,6,52.46
CELL_23036,Stem Cell,33.2,44,53.06
CELL_16155,Leukocyte,10.43,41,72.07
CELL_71357,Myocyte,66.41,6,56.95
CELL_32168,Fibroblast,29.68,26,51.99
CELL_94608,Stem Cell,44.1,43,89.72
CELL_85041,Myocyte,61.95,46,82.73
CELL_10945,Neuron,53.86,34,70.08
CELL_46260,Erythrocyte,39.14,18,97.58
CELL_91874,Neuron,32.58,36,93.34
CELL_28493,Neuron,45.07,27,73.44
CELL_62526,Stem Cell,61.14,45,52.03
CELL_22918,Stem Cell,109.39,39,93.0
CELL_31187,Neuron,104.54,16,50.72
CELL_28751,Myocyte,84.08,40,68.9
CELL_25548,Fibroblast,42.82,48,78.67
CELL_31306,Myocyte,34.15,16,71.81
CELL_10059,Neuron,88.97,16,89.23
CELL_76529,Neuron,14.74,33,79.22
CELL_81596,Stem Cell,30.72,41,88.35
CELL_21813,Neuron,99.84,22,92.35
CELL_87493,Erythrocyte,99.12,6,58.24
CELL_72209,Leukocyte,113.92,11,72.53
CELL_67130,Epithelial,28.35,14,98.01
CELL_71230,Leukocyte,77.51,49,77.67
CELL_19925,Myocyte,57.07,22,97.13
CELL_10596,Myocyte,24.71,12,54.22
CELL_51044,Neuron,106.02,21,53.51
CELL_69859,Stem Cell,84.42,16,95.29
CELL_79054,Leukocyte,47.76,37,66.51
CELL_75710,Neuron,59.96,36,69.11
CELL_98781,Neuron,11.29,32,63.04
CELL_49554,Leukocyte,61.97,23,80.22
CELL_72966,Myocyte,28.5,31,87.4
CELL_90430,Leukocyte,54.57,41,89.22
CELL_26021,Leukocyte,32.0,19,50.97
CELL_27962,Leukocyte,39.5,12,93.54
CELL_98274,Stem Cell,70.29,16,81.86
CELL_37902,Fibroblast,109.24,21,94.96
CELL_18809,Stem Cell,53.03,17,79.6
CELL_23568,Leukocyte,66.09,34,97.73
CELL_99063,Epithelial,32.46,43,88.52
CELL_35878,Fibroblast,36.25,45,54.68
CELL_94649,Myocyte,77.02,6,58.66
CELL_59713,Myocyte,57.29,44,70.21
CELL_35189,Erythrocyte,8.17,9,97.01
CELL_36637,Epithelial,82.21,34,97.42
CELL_56073,Stem Cell,107.62,39,82.27
CELL_90212,Erythrocyte,89.83,47,93.65
CELL_14257,Epithelial,117.18,25,53.22
CELL_16440,Myocyte,44.74,48,93.22
CELL_50318,Fibroblast,25.81,39,54.61
CELL_85615,Epithelial,24.07,32,64.68
CELL_28782,Myocyte,37.92,22,91.85
CELL_46367,Erythrocyte,29.53,35,50.63
CELL_20994,Leukocyte,108.61,6,75.35
CELL_71303,Stem Cell,44.81,50,81.79
CELL_78993,Fibroblast,108.5,46,73.14
CELL_44472,Myocyte,42.15,38,96.62
CELL_90784,Leukocyte,37.87,20,87.74
CELL_40573,Myocyte,25.32,24,78.29
CELL_58237,Myocyte,5.88,12,96.67
CELL_20279,Erythrocyte,118.13,49,99.68
CELL_73221,Neuron,18.8,33,55.03
CELL_69265,Fibroblast,32.59,11,74.91
CELL_75751,Erythrocyte,119.05,6,90.69
CELL_97440,Epithelial,22.08,7,86.61
CELL_87925,Stem Cell,70.57,26,88.66
CELL_52849,Fibroblast,23.59,15,72.84
CELL_35862,Neuron,108.01,48,61.89
CELL_25453,Erythrocyte,17.26,49,98.14
CELL_16417,Epithelial,29.62,26,64.44
CELL_15084,Fibroblast,29.0,21,74.2
CELL_45120,Leukocyte,82.74,20,56.58
CELL_74954,Neuron,79.96,8,69.0
CELL_59033,Myocyte,68.39,26,99.37
CELL_37827,Leukocyte,81.29,16,91.37
CELL_17642,Erythrocyte,12.42,35,69.65
CELL_96014,Erythrocyte,117.94,49,50.69
CELL_82903,Stem Cell,116.97,42,99.53
CELL_90751,Stem Cell,73.79,9,68.69
CELL_79955,Erythrocyte,29.87,47,81.0
CELL_16969,Neuron,65.52,31,61.04
CELL_25833,Fibroblast,22.74,18,73.19
CELL_77957,Leukocyte,71.46,32,86.91
CELL_56965,Epithelial,10.16,38,62.64
CELL_19173,Neuron,49.9,7,51.78
CELL_78166,Neuron,68.39,17,78.37
CELL_93928,Stem Cell,21.13,9,56.98
CELL_95764,Myocyte,39.89,7,98.02
CELL_64877,Neuron,102.2,31,59.41
CELL_77231,Neuron,102.43,22,71.99
CELL_21841,Erythrocyte,65.8,20,56.45
CELL_53901,Stem Cell,72.52,21,69.06
CELL_82399,Erythrocyte,13.68,9,94.26
CELL_85235,Stem Cell,65.23,45,74.37
CELL_71798,Erythrocyte,42.3,5,94.08
CELL_57473,Erythrocyte,72.76,15,78.7
CELL_62009,Myocyte,92.24,18,85.73
CELL_70942,Leukocyte,102.91,14,68.46
CELL_49571,Neuron,24.26,29,62.6
CELL_50850,Stem Cell,16.97,41,68.0
CELL_73819,Fibroblast,82.32,50,94.59
CELL_30265,Fibroblast,85.45,19,70.22
CELL_18242,Myocyte,84.5,49,60.83
CELL_51277,Erythrocyte,92.32,45,58.27
CELL_71630,Neuron,10.24,43,59.21
CELL_29924,Stem Cell,71.92,18,74.1
CELL_37310,Stem Cell,115.24,45,54.46
CELL_68731,Fibroblast,43.19,30,73.48
CELL_38038,Myocyte,60.29,49,92.88
CELL_84487,Erythrocyte,6.22,30,99.36
CELL_15971,Epithelial,18.58,29,90.27
CELL_83730,Neuron,16.14,20,67.05
CELL_24498,Fibroblast,53.25,32,88.25
CELL_86880,Erythrocyte,21.82,35,51.1
CELL_13100,Neuron,86.93,11,94.23
CELL_60250,Erythrocyte,96.09,17,94.54
CELL_59626,Erythrocyte,108.25,47,89.83
CELL_47195,Erythrocyte,28.81,10,70.67
CELL_92169,Leukocyte,111.04,5,65.65
CELL_33413,Stem Cell,18.03,17,63.0
CELL_83308,Leukocyte,10.17,7,92.27
CELL_60531,Fibroblast,89.95,41,61.6
CELL_40794,Leukocyte,29.75,38,96.02
CELL_19379,Stem Cell,9.91,37,72.7
CELL_58254,Epithelial,74.02,19,93.26
CELL_19089,Neuron,68.44,26,87.92
CELL_25705,Epithelial,48.78,36,96.8
CELL_83017,Epithelial,76.54,17,54.58
CELL_95918,Epithelial,26.98,44,81.67
CELL_96316,Myocyte,22.16,25,64.01
CELL_12262,Erythrocyte,67.85,8,71.83
CELL_45918,Myocyte,34.69,10,84.88
CELL_23646,Erythrocyte,108.22,30,73.06
CELL_93078,Stem Cell,38.65,20,94.01
CELL_39298,Neuron,50.03,35,93.11
CELL_22485,Erythrocyte,82.48,17,71.22
CELL_14543,Fibroblast,8.72,31,56.16
CELL_18349,Leukocyte,11.4,11,50.15
CELL_99411,Myocyte,40.81,15,91.45
CELL_56499,Fibroblast,29.97,11,56.74
CELL_75893,Erythrocyte,71.97,24,94.35
CELL_68039,Stem Cell,84.49,32,99.18
CELL_63376,Stem Cell,31.03,47,93.19
CELL_36476,Erythrocyte,44.96,31,55.29
CELL_92512,Myocyte,51.54,28,54.49
CELL_19710,Epithelial,56.82,24,96.2
CELL_60150,Leukocyte,17.06,26,77.39
CELL_95460,Fibroblast,5.06,20,74.53
CELL_11246,Myocyte,72.3,46,71.84
CELL_71508,Erythrocyte,118.07,28,99.96
CELL_53580,Erythrocyte,103.36,24,93.21
CELL_37558,Fibroblast,19.96,36,93.64
CELL_24880,Myocyte,109.92,50,96.86
CELL_88563,Stem Cell,86.32,12,51.52
CELL_49073,Fibroblast,114.23,36,78.84
CELL_80609,Myocyte,91.15,35,63.88
CELL_91595,Fibroblast,43.62,46,67.66
CELL_45220,Stem Cell,72.42,27,56.83
CELL_86199,Myocyte,97.74,18,71.02
CELL_60199,Neuron,72.52,29,75.14
CELL_93450,Neuron,48.3,29,57.01
CELL_55015,Stem Cell,63.17,32,75.04
CELL_59014,Myocyte,112.5,38,86.42
CELL_29511,Epithelial,58.69,9,97.67
CELL_47342,Stem Cell,46.31,18,96.52
CELL_70525,Leukocyte,25.36,9,55.53
CELL_88756,Neuron,33.76,22,72.57
CELL_88578,Leukocyte,16.75,12,91.88
CELL_29768,Erythrocyte,28.11,16,85.84
CELL_67286,Neuron,11.59,8,73.33
CELL_50442,Fibroblast,35.67,46,85.17
CELL_42165,Epithelial,88.68,17,75.34
CELL_87991,Stem Cell,61.33,42,79.15
CELL_37389,Leukocyte,78.26,18,82.33
CELL_83361,Erythrocyte,9.11,21,82.49
CELL_86488,Leukocyte,5.51,11,98.24
CELL_77607,Fibroblast,67.24,46,79.12
CELL_38479,Fibroblast,60.37,11,68.22
CELL_88190,Erythrocyte,79.72,42,93.69
CELL_42972,Myocyte,47.5,11,86.35
CELL_42751,Fibroblast,97.8,25,70.52
CELL_90799,Fibroblast,10.45,17,66.74
CELL_99995,Epithelial,6.64,13,85.46
CELL_21699,Myocyte,116.09,38,58.45
CELL_51129,Neuron,40.31,6,91.51
CELL_95359,Fibroblast,32.64,20,51.9
CELL_10318,Fibroblast,57.5,15,89.06
CELL_36636,Stem Cell,36.04,36,91.86
CELL_66842,Erythrocyte,49.89,10,74.21
CELL_13151,Leukocyte,85.47,18,95.68
CELL_73393,Leukocyte,6.02,41,60.28
CELL_83364,Fibroblast,50.43,11,90.49
CELL_77733,Neuron,48.19,49,63.81
CELL_46765,Myocyte,63.85,19,84.13
CELL_26340,Leukocyte,57.07,44,66.76
CELL_58396,Stem Cell,38.84,47,58.03
CELL_42945,Fibroblast,18.7,11,92.54
CELL_81552,Neuron,110.03,36,69.91
